Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,year,award
1,Damian Lillard,22,POR,121,605,605,1.0,82,38.6,19.0,3.1,6.5,0.9,0.2,0.429,0.368,0.844,5.8,0.088,2013,roy
2,Anthony Davis,19,NOH,0,306,605,0.506,64,28.8,13.5,8.2,1.0,1.2,1.8,0.516,0.0,0.751,6.1,0.159,2013,roy
3,Bradley Beal,19,WAS,0,94,605,0.155,56,31.2,13.9,3.8,2.4,0.9,0.5,0.41,0.386,0.786,3.0,0.082,2013,roy
4,Andre Drummond,19,DET,0,36,605,0.06,60,20.7,7.9,7.6,0.5,1.0,1.6,0.608,0.5,0.371,4.5,0.172,2013,roy
5,Dion Waiters,21,CLE,0,21,605,0.035,61,28.8,14.7,2.4,3.0,1.0,0.3,0.412,0.31,0.746,0.9,0.026,2013,roy
6T,Harrison Barnes,20,GSW,0,8,605,0.013,81,25.4,9.2,4.1,1.2,0.6,0.2,0.439,0.359,0.758,2.8,0.065,2013,roy
6T,Chris Copeland,28,NYK,0,8,605,0.013,56,15.4,8.7,2.1,0.5,0.3,0.2,0.479,0.421,0.759,2.1,0.117,2013,roy
8,Michael Kidd-Gilchrist,19,CHA,0,3,605,0.005,78,26.0,9.0,5.8,1.5,0.7,0.9,0.458,0.222,0.749,2.1,0.051,2013,roy
9,Jonas Valančiūnas,20,TOR,0,2,605,0.003,62,23.9,8.9,6.0,0.7,0.3,1.3,0.557,,0.789,3.9,0.127,2013,roy
10,John Jenkins,21,ATL,0,1,605,0.002,61,14.8,6.1,1.5,0.9,0.2,0.2,0.446,0.384,0.843,1.7,0.091,2013,roy
