# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,year,award
1st,F,Bobby Jones,32.0,PHI,36.0,46.0,0.783,75.0,23.5,8.3,4.3,2.5,1.4,1.4,0.523,0.0,0.784,6.0,0.163,3.2,3.4,101.0,1984,all-defensive
1st,G,Sidney Moncrief,26.0,MIL,28.0,46.0,0.609,79.0,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,0.198,4.2,0.4,105.0,1984,all-defensive
1st,C,Tree Rollins,28.0,ATL,23.0,46.0,0.5,77.0,30.5,8.6,7.7,0.8,0.5,3.6,0.518,,0.621,5.5,0.113,3.8,2.3,103.0,1984,all-defensive
1st,G,Maurice Cheeks,27.0,PHI,22.0,46.0,0.478,75.0,33.3,12.7,2.7,6.4,2.3,0.3,0.55,0.4,0.733,7.3,0.141,3.4,1.6,105.0,1984,all-defensive
1st,F,Michael Cooper,27.0,LAL,22.0,46.0,0.478,82.0,29.1,9.0,3.2,5.9,1.4,0.8,0.497,0.314,0.838,6.5,0.13,2.6,1.7,107.0,1984,all-defensive
,,,,,,,,,,,,,,,,,,,,,,,1984,all-defensive
2nd,G,Dennis Johnson,29.0,BOS,19.0,46.0,0.413,80.0,33.3,13.2,3.5,4.2,1.2,0.7,0.437,0.125,0.852,5.7,0.102,3.2,0.6,106.0,1984,all-defensive
2nd,F,Larry Bird,27.0,BOS,17.0,46.0,0.37,79.0,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,0.215,5.6,2.0,101.0,1984,all-defensive
2nd,C,Kareem Abdul-Jabbar,36.0,LAL,15.0,46.0,0.326,80.0,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0.0,0.723,8.9,0.163,3.1,0.2,107.0,1984,all-defensive
2nd,F,Dan Roundfield,30.0,ATL,15.0,46.0,0.326,73.0,35.8,18.9,9.9,2.5,0.8,1.0,0.485,0.0,0.77,7.1,0.131,3.6,-0.1,105.0,1984,all-defensive
2nd,G,T.R. Dunn,28.0,DEN,13.0,46.0,0.283,80.0,33.8,5.7,7.2,2.9,2.2,0.4,0.47,0.0,0.731,4.1,0.073,2.1,1.2,110.0,1984,all-defensive
