Rank,Coach,Tm,First,Pts Won,Pts Max,Share,G,W,L,W/L%,year,award
1,Tom Heinsohn,BOS,29,29,51,0.569,82,68,14,0.829,1973,coy
2,Gene Shue,BAL,15,15,51,0.294,82,52,30,0.634,1973,coy
3T,Larry Costello,MIL,2,2,51,0.039,82,60,22,0.732,1973,coy
3T,Cotton Fitzsimmons,ATL,2,2,51,0.039,82,46,36,0.561,1973,coy
5T,Bob Cousy,KCO,1,1,51,0.02,82,36,46,0.439,1973,coy
5T,Red Holzman,NYK,1,1,51,0.02,82,57,25,0.695,1973,coy
5T,Dick Motta,CHI,1,1,51,0.02,82,51,31,0.622,1973,coy
