TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Sacramento Kings,68,791,10.3,1.0,780,292,693,42.1,52.3,4.2,8.5,3.5,0.3,40.5,75.9
Cleveland Cavaliers,70,500,6.5,0.9,466,166,415,40.0,49.2,7.6,11.2,7.0,1.8,39.0,55.2
Denver Nuggets,70,472,6.2,1.0,460,181,415,43.6,50.4,5.5,7.2,4.7,0.6,43.0,72.4
Brooklyn Nets,70,454,5.9,1.0,457,166,373,44.5,51.9,10.4,10.1,9.5,2.6,44.3,79.3
New York Knicks,68,481,6.4,0.9,445,162,413,39.2,46.7,7.7,7.7,7.3,1.2,39.9,51.7
Golden State Warriors,69,398,5.0,1.0,417,148,333,44.4,54.5,7.8,10.6,7.3,2.0,42.7,96.6
San Antonio Spurs,70,457,5.7,0.9,413,160,383,41.8,47.1,8.1,9.4,7.7,1.3,41.4,24.1
Philadelphia 76ers,70,448,5.8,0.9,407,148,375,39.5,45.5,9.8,9.4,9.2,2.9,39.7,31.0
New Orleans Pelicans,69,418,5.5,0.9,384,139,333,41.7,47.0,10.0,12.2,9.3,1.9,40.9,44.8
Dallas Mavericks,70,368,4.7,1.0,375,134,304,44.1,52.8,9.0,11.4,7.9,3.0,42.4,82.8
Detroit Pistons,70,364,4.6,1.0,373,140,301,46.5,52.0,10.2,8.8,9.9,1.6,46.7,89.7
Milwaukee Bucks,69,346,4.5,1.1,370,130,293,44.4,53.8,9.0,8.4,8.4,2.0,44.2,100.0
Miami Heat,70,381,5.1,1.0,370,133,325,40.9,52.5,3.9,11.3,3.9,0.5,38.3,65.5
Washington Wizards,70,423,5.3,0.9,367,140,348,40.2,46.1,8.3,12.3,7.3,2.8,38.5,20.7
Atlanta Hawks,69,421,5.3,0.8,353,116,335,34.6,40.4,11.6,10.7,9.7,1.9,37.3,0.0
Houston Rockets,69,322,4.1,1.0,336,124,273,45.4,54.2,8.7,8.1,8.7,1.6,45.7,93.1
Memphis Grizzlies,71,394,5.0,0.9,336,116,320,36.3,43.6,9.1,10.7,8.1,1.0,36.5,6.9
Toronto Raptors,70,393,5.0,0.8,334,128,333,38.4,42.9,8.4,8.7,8.1,1.8,38.9,3.4
Utah Jazz,70,351,4.4,0.9,318,114,280,40.7,48.4,8.5,12.8,8.5,1.1,39.9,27.6
Indiana Pacers,70,326,4.1,0.9,300,124,282,44.0,49.5,5.5,9.8,5.5,1.8,41.7,48.3
Orlando Magic,70,327,4.3,0.9,300,106,263,40.3,48.7,9.2,11.3,8.0,0.9,40.1,41.4
Phoenix Suns,69,308,4.0,0.9,289,113,247,45.7,51.6,7.5,13.3,6.5,1.0,42.9,58.6
Charlotte Hornets,69,290,3.9,0.9,273,100,242,41.3,49.8,7.6,10.7,7.2,1.7,39.7,62.1
Los Angeles Lakers,69,275,3.6,1.0,268,100,230,43.5,50.2,9.8,9.1,8.7,2.5,43.3,69.0
Portland Trail Blazers,70,312,4.0,0.9,268,96,237,40.5,46.6,9.9,16.0,8.7,1.9,37.8,13.8
Minnesota Timberwolves,70,276,3.6,0.9,236,93,223,41.7,48.4,5.1,14.9,4.0,0.7,37.7,10.3
LA Clippers,69,220,2.9,1.0,225,83,185,44.9,52.4,8.6,8.6,8.2,1.4,44.5,86.2
Oklahoma City Thunder,69,226,3.0,0.9,206,80,182,44.0,49.5,7.5,12.8,6.2,0.9,42.0,34.5
Boston Celtics,69,228,3.0,0.9,197,72,193,37.3,45.9,6.6,11.0,6.6,2.2,35.5,17.2
Chicago Bulls,70,188,2.4,0.9,172,65,156,41.7,47.1,10.1,11.2,9.6,4.3,39.9,37.9
