Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Atlanta Hawks,4,2,2,960,184,37,80,46.3,22,26,84.6,100,54.3,69,37.5,24,13.0,18,9.8,13,7.1
Boston Celtics,3,3,0,720,100,33,55,60.0,10,12,83.3,77,77.0,28,28.0,9,9.0,5,5.0,6,6.0
Brooklyn Nets,3,1,2,720,154,42,72,58.3,23,30,76.7,108,70.1,56,36.4,17,11.0,7,4.5,15,9.7
Charlotte Hornets,3,1,2,720,150,33,68,48.5,18,22,81.8,85,56.7,58,38.7,20,13.3,10,6.7,11,7.3
Chicago Bulls,4,2,2,985,207,47,100,47.0,22,25,88.0,115,55.6,78,37.7,17,8.2,14,6.8,13,6.3
Cleveland Cavaliers,3,1,2,720,171,37,85,43.5,10,16,62.5,84,49.1,68,39.8,20,11.7,6,3.5,8,4.7
Dallas Mavericks,3,3,0,720,120,33,67,49.3,13,18,72.2,82,68.3,38,31.7,18,15.0,5,4.2,9,7.5
Denver Nuggets,4,4,0,960,135,35,63,55.6,9,14,64.3,81,60.0,53,39.3,21,15.6,8,5.9,7,5.2
Detroit Pistons,4,2,2,960,194,36,82,43.9,27,33,81.8,99,51.0,72,37.1,23,11.9,15,7.7,17,8.8
Golden State Warriors,4,3,1,960,143,29,65,44.6,14,20,70.0,75,52.4,51,35.7,11,7.7,12,8.4,10,7.0
Houston Rockets,3,0,3,745,130,29,63,46.0,15,18,83.3,73,56.2,42,32.3,8,6.2,14,10.8,9,6.9
Indiana Pacers,3,2,1,720,181,44,83,53.0,11,14,78.6,100,55.2,77,42.5,23,12.7,7,3.9,7,3.9
LA Clippers,3,2,1,720,111,26,46,56.5,14,18,77.8,68,61.3,49,44.1,17,15.3,3,2.7,9,8.1
Los Angeles Lakers,4,2,2,985,179,42,84,50.0,25,36,69.4,107,59.8,59,33.0,11,6.1,9,5.0,18,10.1
Memphis Grizzlies,4,0,4,960,197,38,90,42.2,14,20,70.0,91,46.2,72,36.5,16,8.1,13,6.6,10,5.1
Miami Heat,4,1,3,960,163,36,79,45.6,17,22,77.3,91,55.8,64,39.3,15,9.2,5,3.1,11,6.7
Milwaukee Bucks,3,2,1,720,126,32,54,59.3,20,30,66.7,89,70.6,42,33.3,13,10.3,8,6.3,15,11.9
Minnesota Timberwolves,3,1,2,720,132,26,66,39.4,9,10,90.0,61,46.2,50,37.9,10,7.6,8,6.1,5,3.8
New Orleans Pelicans,3,2,1,720,116,31,62,50.0,7,12,58.3,74,63.8,37,31.9,5,4.3,9,7.8,6,5.2
New York Knicks,3,1,2,720,158,29,71,40.8,17,20,85.0,76,48.1,60,38.0,13,8.2,11,7.0,10,6.3
Oklahoma City Thunder,4,3,1,960,256,60,117,51.3,19,23,82.6,138,53.9,97,37.9,24,9.4,19,7.4,13,5.1
Orlando Magic,3,2,1,720,160,31,66,47.0,21,28,75.0,88,55.0,64,40.0,13,8.1,14,8.8,14,8.8
Philadelphia 76ers,3,2,1,720,136,37,62,59.7,32,36,88.9,109,80.1,42,30.9,10,7.4,8,5.9,18,13.2
Phoenix Suns,3,2,1,720,131,32,68,47.1,10,14,71.4,76,58.0,47,35.9,9,6.9,6,4.6,7,5.3
Portland Trail Blazers,4,1,3,960,195,45,98,45.9,22,25,88.0,116,59.5,65,33.3,8,4.1,11,5.6,12,6.2
Sacramento Kings,3,2,1,745,161,39,72,54.2,16,26,61.5,101,62.7,61,37.9,12,7.5,10,6.2,13,8.1
San Antonio Spurs,3,1,2,745,128,25,55,45.5,15,20,75.0,67,52.3,49,38.3,9,7.0,12,9.4,10,7.8
Toronto Raptors,4,1,3,985,187,25,83,30.1,19,22,86.4,72,38.5,74,39.6,11,5.9,14,7.5,11,5.9
Utah Jazz,4,1,3,960,209,37,93,39.8,16,20,80.0,92,44.0,85,40.7,22,10.5,15,7.2,10,4.8
Washington Wizards,3,1,2,720,129,35,75,46.7,15,22,68.2,91,70.5,33,25.6,9,7.0,7,5.4,11,8.5
