,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile,FTFreq%,TOVFreq%,SFFreq%,And OneFreq%,ScoreFreq%
22172,,Luka Doncic,DAL,15,27.1,127,114,0.9,,38,96,39.6,47.9,15.0,11.8,11.8,39.4,2022,iso,2.4,46.3,,,,,
22173,,Giannis Antetokounmpo,MIL,12,25.4,101,87,0.86,,34,77,44.2,44.2,13.9,11.9,9.9,43.6,2022,iso,2.0,36.6,,,,,
22174,,Jayson Tatum,BOS,24,17.7,114,86,0.75,,33,89,37.1,43.8,16.7,5.3,6.1,32.5,2022,iso,0.9,19.5,,,,,
22175,,James Harden,PHI,12,40.2,97,84,0.87,,23,69,33.3,43.5,16.5,13.4,12.4,36.1,2022,iso,1.0,39.0,,,,,
22176,,Jalen Brunson,DAL,18,20.1,74,79,1.07,,30,58,51.7,52.6,8.1,16.2,13.5,54.1,2022,iso,2.7,75.6,,,,,
22177,,Spencer Dinwiddie,DAL,18,31.2,78,74,0.95,,24,64,37.5,44.5,7.7,11.5,11.5,41.0,2022,iso,1.3,56.1,,,,,
22178,,Stephen Curry,GSW,22,11.6,63,71,1.13,,29,53,54.7,58.5,9.5,9.5,6.3,52.4,2022,iso,3.2,80.5,,,,,
22179,,Jaylen Brown,BOS,24,11.7,64,66,1.03,,26,50,52.0,57.0,10.9,10.9,10.9,50.0,2022,iso,0.0,68.3,,,,,
22180,,Jimmy Butler,MIA,17,12.7,51,53,1.04,,20,45,44.4,46.7,2.0,17.6,17.6,47.1,2022,iso,7.8,70.7,,,,,
22181,,Joel Embiid,PHI,10,26.0,60,52,0.87,,17,45,37.8,37.8,10.0,21.7,20.0,43.3,2022,iso,6.7,41.5,,,,,
22182,,Ja Morant,MEM,9,12.1,31,40,1.29,,16,27,59.3,66.7,6.5,12.9,12.9,58.1,2022,iso,6.5,95.1,,,,,
22183,,Jordan Poole,GSW,22,10.1,34,39,1.15,,16,29,55.2,58.6,8.8,11.8,11.8,52.9,2022,iso,5.9,85.4,,,,,
22184,,Pascal Siakam,TOR,6,27.2,37,38,1.03,,15,30,50.0,50.0,8.1,13.5,13.5,51.4,2022,iso,2.7,65.9,,,,,
22185,,Chris Paul,PHX,13,11.9,24,36,1.5,,16,23,69.6,76.1,0.0,4.2,4.2,70.8,2022,iso,0.0,100.0,,,,,
22186,,Anthony Edwards,MIN,6,27.0,38,36,0.95,,12,29,41.4,48.3,10.5,15.8,15.8,42.1,2022,iso,2.6,53.7,,,,,
22187,,Jrue Holiday,MIL,12,18.4,52,33,0.64,,14,47,29.8,31.9,5.8,3.8,3.8,30.8,2022,iso,0.0,9.8,,,,,
22188,,Kyrie Irving,BKN,4,27.7,23,27,1.17,,8,18,44.4,50.0,4.3,17.4,13.0,52.2,2022,iso,0.0,90.2,,,,,
22189,,Donovan Mitchell,UTA,6,14.4,24,27,1.13,,8,19,42.1,50.0,4.2,20.8,12.5,50.0,2022,iso,4.2,78.0,,,,,
22190,,Tyrese Maxey,PHI,12,9.8,22,25,1.14,,8,18,44.4,50.0,4.5,18.2,18.2,50.0,2022,iso,4.5,82.9,,,,,
22191,,Devin Booker,PHX,10,13.0,30,25,0.83,,9,24,37.5,39.6,10.0,13.3,13.3,40.0,2022,iso,3.3,30.0,,,,,
