bref_id,Player,Season,team,Offensive Archetype,Minutes,Games,Pos,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,NBA ID,boxLEBRON,boxOLEBRON,boxDLEBRON,year
toddis01,isaiah todd,2022-23,WAS,Low Minute,13,4,PF,21,-0.35,-0.2,-0.16,0.00,1630225.0,-0.32,-0.16,-0.16,2023
dotsode01,devon dotson,2022-23,WAS,Low Minute,53,6,PG,23,-0.36,-0.38,0.02,0.10,1629653.0,-0.48,-0.36,-0.12,2023
mcdanja02,jaden mcdaniels,2022-23,MIN,Athletic Finisher,1254,41,PF,22,-0.37,-1.5,1.12,1.60,1630183.0,-0.94,-1.4,0.46,2023
jacksis01,isaiah jackson,2022-23,IND,Roll + Cut Big,540,33,C,21,-0.37,-1.83,1.45,0.70,1630543.0,0.15,-1.36,1.51,2023
fultzma01,markelle fultz,2022-23,ORL,Primary Ball Handler,612,22,PG,24,-0.38,-0.68,0.3,0.80,1628365.0,0.21,-0.12,0.34,2023
tillmxa01,xavier tillman,2022-23,MEM,Roll + Cut Big,298,26,PF,24,-0.39,-0.51,0.12,0.40,1630214.0,-0.6,-0.63,0.03,2023
leverca01,caris levert,2022-23,CLE,Shot Creator,1251,40,SG,28,-0.4,-0.59,0.19,1.60,1627747.0,-0.34,-0.52,0.18,2023
iguodan01,andre iguodala,2022-23,GSW,Low Minute,42,3,SF,38,-0.42,-0.46,0.05,0.10,2738.0,-0.34,-0.42,0.07,2023
easonta01,tari eason,2022-23,HOU,Athletic Finisher,783,42,PF,21,-0.42,-0.98,0.56,1.00,1631106.0,-0.71,-1.23,0.51,2023
monkma01,malik monk,2022-23,SAC,Movement Shooter,912,40,SG,24,-0.43,0.98,-1.41,1.20,1628370.0,0.37,1.86,-1.49,2023
lawsoaj01,a.j. lawson,2022-23,MIN/DAL,Low Minute,17,7,SG,22,-0.43,0.09,-0.52,0.00,1630639.0,-0.31,0.12,-0.43,2023
monekch01,chima moneke,2022-23,SAC,Low Minute,8,2,SF,27,-0.43,-0.2,-0.23,0.00,1631320.0,-0.34,-0.2,-0.14,2023
prestja01,jason preston,2022-23,LAC,Low Minute,64,7,PG,23,-0.43,-0.11,-0.32,0.10,1630554.0,-0.21,-0.06,-0.15,2023
bazleda01,darius bazley,2022-23,OKC,Athletic Finisher,440,27,PF,22,-0.43,-1.59,1.16,0.60,1629647.0,0.07,-1.27,1.34,2023
nesmiaa01,aaron nesmith,2022-23,IND,Stationary Shooter,865,37,SF,23,-0.44,-0.93,0.49,1.10,1630174.0,-1.15,-1.21,0.06,2023
brownst02,sterling brown,2022-23,LAL,Low Minute,24,4,SG,27,-0.44,-0.27,-0.17,0.00,1628425.0,-0.49,-0.31,-0.18,2023
maxeyty01,tyrese maxey,2022-23,PHI,Primary Ball Handler,792,23,SG,22,-0.45,0.98,-1.42,1.00,1630178.0,0.09,1.17,-1.08,2023
gayru01,rudy gay,2022-23,UTA,Stationary Shooter,469,31,PF,36,-0.45,-0.9,0.45,0.60,200752.0,-1.32,-1.46,0.15,2023
noelne01,nerlens noel,2022-23,DET,Roll + Cut Big,142,12,C,28,-0.45,-1.43,0.98,0.20,203457.0,-0.24,-1.39,1.15,2023
mobleis01,isaiah mobley,2022-23,CLE,Low Minute,26,8,PF,23,-0.46,-0.23,-0.23,0.00,1630600.0,-0.58,-0.32,-0.26,2023
swideco01,cole swider,2022-23,LAL,Low Minute,32,4,SF,23,-0.46,-0.29,-0.17,0.00,1631306.0,-0.48,-0.29,-0.2,2023
baldwpa01,patrick baldwin jr.,2022-23,GSW,Stationary Shooter,115,13,SF,20,-0.47,-0.44,-0.03,0.10,1631116.0,-0.17,-0.1,-0.07,2023
hernawi01,willy hernangomez,2022-23,NOP,Roll + Cut Big,248,21,C,28,-0.47,0.01,-0.48,0.30,1626195.0,-0.46,-0.19,-0.28,2023
kolokch01,christian koloko,2022-23,TOR,Roll + Cut Big,624,40,C,22,-0.48,-2.22,1.74,0.80,1631132.0,-1.58,-2.71,1.13,2023
smithde03,dennis smith jr.,2022-23,CHO,Secondary Ball Handler,564,22,PG,25,-0.48,-1.8,1.32,0.70,1628372.0,-0.75,-1.48,0.73,2023
dortlu01,luguentz dort,2022-23,OKC,Stationary Shooter,1269,42,SG,23,-0.48,-0.3,-0.19,1.60,1629652.0,-0.58,-0.32,-0.25,2023
leesa01,saben lee,2022-23,PHI/PHO,Low Minute,39,4,PG,23,-0.49,-0.29,-0.19,0.00,1630240.0,-0.59,-0.34,-0.26,2023
smithja04,jalen smith,2022-23,IND,Stretch Big,844,42,PF,22,-0.5,-0.42,-0.09,1.00,1630188.0,0.1,-0.1,0.2,2023
achiupr01,precious achiuwa,2022-23,TOR,Stretch Big,343,19,C,23,-0.51,-0.32,-0.19,0.40,1630173.0,-0.19,-0.18,-0.01,2023
bitadgo01,goga bitadze,2022-23,IND,Roll + Cut Big,189,19,C,23,-0.51,-0.98,0.46,0.20,1629048.0,-1.03,-1.09,0.06,2023
primojo01,joshua primo,2022-23,SAS,Low Minute,93,4,SG,20,-0.52,-0.61,0.09,0.10,1630563.0,-0.48,-0.55,0.06,2023
terryda01,dalen terry,2022-23,CHI,Low Minute,53,15,SG,20,-0.52,-0.37,-0.15,0.10,1631207.0,-0.5,-0.4,-0.09,2023
lenal01,alex len,2022-23,SAC,Low Minute,40,10,C,29,-0.52,-0.44,-0.08,0.00,203458.0,-0.5,-0.42,-0.08,2023
