PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj,PLAYER_ID,TEAM_ID,FT_AST
Aaron Brooks,CHI,69,36,33,1108.0,1757,2116,180,17,369,458,215,0.102,0.122,201166,1610612741,19
Aaron Gordon,ORL,77,32,45,1857.0,2158,1413,128,10,221,302,147,0.059,0.068,203932,1610612753,11
Aaron Harrison,CHA,21,15,6,93.0,56,57,2,0,5,6,3,0.036,0.054,1626151,1610612766,1
Adreian Payne,MIN,52,18,34,486.0,740,443,29,5,60,73,38,0.039,0.051,203940,1610612750,4
Al Horford,ATL,82,48,34,2631.0,3908,3460,263,29,561,695,324,0.067,0.083,201143,1610612737,24
Al Jefferson,CHA,47,33,14,1096.0,725,993,70,8,143,176,86,0.097,0.119,2744,1610612766,13
Al-Farouq Aminu,POR,82,44,38,2341.0,2018,1804,138,15,261,361,169,0.068,0.084,202329,1610612757,17
Alan Anderson,WAS,13,8,5,192.0,133,136,14,0,19,24,11,0.105,0.083,101187,1610612764,1
Alan Williams,PHX,10,3,7,68.0,78,50,5,0,6,12,5,0.064,0.064,1626210,1610612756,0
Alec Burks,UTA,31,13,18,797.0,1008,1253,63,3,154,159,75,0.063,0.074,202692,1610612762,9
Alex Len,PHX,78,23,55,1821.0,2042,1557,97,8,215,232,106,0.048,0.052,203458,1610612756,3
Alex Stepheson,MEM,8,2,6,72.0,60,43,2,0,3,5,2,0.033,0.033,1627293,1610612763,0
Alexis Ajinca,NOP,59,20,39,861.0,1071,746,31,2,61,81,37,0.029,0.035,201582,1610612740,4
Allen Crabbe,POR,81,43,38,2105.0,1664,1839,99,19,220,258,135,0.059,0.081,203459,1610612757,19
Alonzo Gee,NOP,73,27,46,1632.0,1172,899,72,8,125,168,81,0.061,0.069,202087,1610612740,6
Amar'e Stoudemire,MIA,52,30,22,762.0,612,567,27,3,64,70,35,0.044,0.057,2405,1610612748,3
Amir Johnson,BOS,78,44,34,1777.0,2536,1753,135,22,243,326,165,0.053,0.065,101161,1610612738,10
Anderson Varejao,GSW,53,41,12,496.0,732,517,35,7,79,87,42,0.048,0.057,2760,1610612744,1
Andre Drummond,DET,81,43,38,2666.0,1686,1736,67,7,184,176,81,0.04,0.048,203083,1610612765,6
Andre Iguodala,GSW,65,59,6,1732.0,2140,2021,219,34,399,565,277,0.102,0.129,2738,1610612744,25
Andre Miller,SAS,39,20,19,461.0,865,922,87,13,175,215,109,0.101,0.126,1889,1610612759,10
Andre Roberson,OKC,70,48,22,1553.0,826,801,47,10,113,111,57,0.057,0.069,203460,1610612760,2
Andrea Bargnani,BKN,46,11,35,634.0,714,587,18,2,41,48,22,0.025,0.031,200745,1610612751,2
Andrew Bogut,GSW,70,62,8,1451.0,2128,1352,162,23,304,416,195,0.076,0.092,101106,1610612744,10
Andrew Goudelock,HOU,8,5,3,50.0,76,90,4,1,11,9,6,0.053,0.079,202726,1610612745,1
Andrew Nicholson,ORL,55,22,33,820.0,792,692,25,5,60,65,31,0.032,0.039,203094,1610612753,1
Andrew Wiggins,MIN,81,29,52,2845.0,1924,3021,164,35,371,416,221,0.085,0.115,203952,1610612750,18
Anthony Bennett,TOR,19,12,7,84.0,141,88,0,0,4,0,0,0.0,0.0,203461,1610612761,0
Anthony Brown,LAL,29,4,25,599.0,452,424,19,4,45,44,23,0.042,0.051,1626148,1610612747,1
Anthony Davis,NOP,61,24,37,2164.0,2654,2654,116,8,249,298,140,0.044,0.053,203076,1610612740,17
Anthony Morrow,OKC,68,46,22,926.0,475,693,24,3,59,68,31,0.051,0.065,201627,1610612760,4
Anthony Tolliver,DET,72,36,36,1341.0,1726,1096,52,9,149,144,74,0.03,0.043,201229,1610612765,11
Archie Goodwin,PHX,57,14,43,1114.0,1653,1940,118,18,245,302,153,0.071,0.093,203462,1610612756,15
Aron Baynes,DET,81,43,38,1233.0,843,929,51,8,127,134,65,0.06,0.077,203382,1610612765,7
Arron Afflalo,NYK,71,27,44,2371.0,2727,3098,144,25,363,382,194,0.053,0.071,201167,1610612752,25
Austin Rivers,LAC,67,42,25,1464.0,1820,2117,99,22,222,254,129,0.054,0.071,203085,1610612746,8
Avery Bradley,BOS,75,44,31,2507.0,1672,2369,157,19,303,388,194,0.094,0.116,202340,1610612738,16
Axel Toupane,DEN,21,9,12,305.0,205,188,15,3,26,45,23,0.073,0.112,1626253,1610612743,4
Ben McLemore,SAC,67,28,39,1418.0,1017,1087,78,12,137,193,98,0.077,0.096,203463,1610612758,7
Beno Udrih,MEM,44,26,18,708.0,1449,1520,116,14,269,292,146,0.08,0.101,2757,1610612763,15
Bismack Biyombo,TOR,81,55,26,1787.0,1784,932,28,6,73,68,34,0.016,0.019,202687,1610612761,4
