PLAYER,TEAM,GP,W,L,MIN,OREB,ContestedOREB,ContestedOREB%,OREBChances,OREBChance%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance
Aaron Brooks,CHI,46,25,21,793,21,5,23.8,89,23.6,6,25.3,13.7
Aaron Gordon,ORL,77,32,45,1857,154,113,73.4,318,48.4,6,49.4,5.7
Aaron Harrison,CHA,10,6,4,53,3,1,33.3,5,60.0,0,60.0,14.1
Adreian Payne,MIN,37,13,24,418,20,11,55.0,42,47.6,3,51.3,6.1
Al Horford,ATL,82,48,34,2631,148,87,58.8,329,45.0,4,45.5,7.3
Al Jefferson,CHA,47,33,14,1096,57,35,61.4,157,36.3,8,38.3,5.9
Al-Farouq Aminu,POR,82,44,38,2341,98,45,45.9,270,36.3,12,38.0,8.8
Alan Anderson,WAS,11,7,4,173,1,0,0.0,12,8.3,0,8.3,35.4
Alan Williams,PHX,8,3,5,65,14,10,71.4,30,46.7,2,50.0,4.9
Alec Burks,UTA,30,12,18,778,16,3,18.8,82,19.5,2,20.0,14.3
Alex Len,PHX,77,23,54,1819,178,113,63.5,424,42.0,9,42.9,5.9
Alex Stepheson,MEM,6,1,5,69,19,14,73.7,31,61.3,0,61.3,4.5
Alexis Ajinca,NOP,52,19,33,826,75,50,66.7,149,50.3,3,51.4,5.4
Allen Crabbe,POR,73,38,35,1914,27,7,25.9,113,23.9,3,24.5,14.5
Alonzo Gee,NOP,63,25,38,1493,60,28,46.7,175,34.3,1,34.5,7.5
Amar'e Stoudemire,MIA,49,28,21,731,65,53,81.5,153,42.5,0,42.5,4.7
Amir Johnson,BOS,76,43,33,1746,177,114,64.4,375,47.2,6,48.0,5.8
Anderson Varejao,GSW,44,35,9,437,37,21,56.8,90,41.1,3,42.5,5.9
Andre Drummond,DET,81,43,38,2665,395,287,72.7,700,56.4,7,57.0,4.8
Andre Iguodala,GSW,63,57,6,1684,52,25,48.1,121,43.0,2,43.7,12.1
Andre Miller,SAS,21,11,10,348,12,7,58.3,32,37.5,0,37.5,7.2
Andre Roberson,OKC,68,47,21,1516,79,52,65.8,213,37.1,8,38.5,7.3
Andrea Bargnani,BKN,37,7,30,565,28,16,57.1,55,50.9,0,50.9,7.2
Andrew Bogut,GSW,69,61,8,1434,121,91,75.2,202,59.9,3,60.8,5.1
Andrew Goudelock,HOU,2,1,1,13,1,1,100.0,3,33.3,0,33.3,28.9
Andrew Nicholson,ORL,51,20,31,803,34,14,41.2,86,39.5,4,41.5,8.3
Andrew Wiggins,MIN,75,27,48,2651,105,60,57.1,334,31.4,12,32.6,8.0
Anthony Bennett,TOR,12,7,5,65,6,5,83.3,15,40.0,0,40.0,5.6
Anthony Brown,LAL,24,4,20,581,9,2,22.2,43,20.9,3,22.5,17.5
Anthony Davis,NOP,61,24,37,2164,130,87,66.9,250,52.0,4,52.8,6.7
Anthony Morrow,OKC,35,25,10,596,10,3,30.0,32,31.3,0,31.3,14.5
Anthony Tolliver,DET,65,33,32,1267,39,10,25.6,98,39.8,3,41.1,13.3
Archie Goodwin,PHX,50,12,38,1068,27,13,48.1,134,20.1,10,21.8,8.4
Aron Baynes,DET,77,42,35,1189,140,97,69.3,337,41.5,4,42.0,5.4
Arron Afflalo,NYK,70,27,43,2341,23,7,30.4,150,15.3,6,16.0,15.3
Austin Rivers,LAC,55,35,20,1244,22,11,50.0,87,25.3,3,26.2,11.5
Avery Bradley,BOS,72,43,29,2415,48,13,27.1,152,31.6,5,32.7,13.2
Axel Toupane,DEN,17,6,11,252,8,2,25.0,21,38.1,0,38.1,12.2
Ben McLemore,SAC,56,24,32,1256,33,12,36.4,109,30.3,8,32.7,11.2
Beno Udrih,MEM,30,18,12,542,8,0,0.0,41,19.5,3,21.1,17.3
Bismack Biyombo,TOR,81,55,26,1787,180,131,72.8,439,41.0,11,42.1,5.2
Blake Griffin,LAC,35,22,13,1170,51,29,56.9,130,39.2,11,42.9,6.8
Boban Marjanovic,SAS,40,34,6,475,72,59,81.9,133,54.1,4,55.8,3.9
Bobby Portis,CHI,59,27,32,1079,123,80,65.0,276,44.6,8,45.9,5.6
Bojan Bogdanovic,BKN,77,20,57,2058,36,14,38.9,184,19.6,11,20.8,13.3
Boris Diaw,SAS,71,62,9,1316,58,27,46.6,157,36.9,5,38.2,8.8
Bradley Beal,WAS,53,27,26,1652,41,19,46.3,138,29.7,6,31.1,14.1
Brandan Wright,MEM,11,6,5,206,14,11,78.6,35,40.0,0,40.0,5.9
Branden Dawson,LAC,2,2,0,15,2,1,50.0,4,50.0,0,50.0,8.8
Brandon Bass,LAL,66,16,50,1342,104,57,54.8,248,41.9,6,43.0,7.7
Brandon Jennings,ORL,39,19,20,726,16,5,31.3,44,36.4,0,36.4,15.7
Brandon Knight,PHX,50,16,34,1803,36,11,30.6,125,28.8,7,30.5,15.8
Brandon Rush,GSW,61,53,8,996,21,8,38.1,64,32.8,2,33.9,12.1
Brian Roberts,POR,28,13,15,333,6,0,0.0,16,37.5,0,37.5,24.8
Briante Weber,MIA,7,3,4,169,8,2,25.0,13,61.5,1,66.7,20.6
Brook Lopez,BKN,73,21,52,2457,204,148,72.5,406,50.2,10,51.5,5.7
Bruno Caboclo,TOR,2,2,0,36,1,1,100.0,3,33.3,0,33.3,3.3
Bryce Dejean-Jones,NOP,12,6,6,277,8,2,25.0,22,36.4,1,38.1,10.2
C.J. Watson,ORL,26,14,12,545,10,4,40.0,26,38.5,1,40.0,15.1
C.J. Wilcox,LAC,8,5,3,90,1,0,0.0,3,33.3,0,33.3,23.6
CJ McCollum,POR,78,44,34,2708,47,13,27.7,222,21.2,10,22.2,14.3
CJ Miles,IND,59,29,30,1376,25,16,64.0,88,28.4,2,29.1,8.4
Cameron Bairstow,DET,14,3,11,92,4,3,75.0,25,16.0,0,16.0,2.4
Cameron Payne,OKC,39,30,9,585,9,3,33.3,46,19.6,1,20.0,13.2
Carl Landry,PHI,31,4,27,527,49,34,69.4,96,51.0,2,52.1,5.4
Carmelo Anthony,NYK,72,32,40,2530,98,66,67.3,288,34.0,8,35.0,6.9
Caron Butler,SAC,9,2,7,125,5,2,40.0,9,55.6,0,55.6,17.4
Chandler Parsons,DAL,61,29,32,1799,29,6,20.7,134,21.6,12,23.8,15.7
Channing Frye,CLE,64,33,31,1123,34,18,52.9,63,54.0,1,54.8,9.7
Charlie Villanueva,DAL,47,22,25,606,24,17,70.8,69,34.8,4,36.9,8.3
Chase Budinger,PHX,54,25,29,813,43,16,37.2,87,49.4,1,50.0,8.4
Chris Andersen,MEM,24,8,16,388,36,29,80.6,73,49.3,0,49.3,4.9
Chris Bosh,MIA,53,29,24,1778,48,30,62.5,120,40.0,2,40.7,9.1
Chris Copeland,MIL,7,3,4,58,1,1,100.0,8,12.5,0,12.5,2.5
Chris Johnson,UTA,48,27,21,732,27,10,37.0,58,46.6,3,49.1,12.8
Chris Kaman,POR,11,6,5,97,7,4,57.1,12,58.3,0,58.3,7.4
Chris McCullough,BKN,22,6,16,345,25,11,44.0,61,41.0,0,41.0,7.9
Chris Paul,LAC,73,50,23,2389,39,11,28.2,167,23.4,13,25.3,14.4
Christian Wood,PHI,11,0,11,124,13,4,30.8,25,52.0,0,52.0,4.8
Chuck Hayes,LAC,2,1,1,24,0,0,0.0,1,0.0,0,0.0,0.0
Cleanthony Early,NYK,8,3,5,128,4,2,50.0,19,21.1,0,21.1,8.5
Cliff Alexander,POR,2,1,1,20,2,2,100.0,4,50.0,0,50.0,3.1
Clint Capela,HOU,77,39,38,1471,194,153,78.9,410,47.3,10,48.5,5.0
Cody Zeller,CHA,73,42,31,1774,138,93,67.4,384,35.9,10,36.9,5.7
Cole Aldrich,LAC,55,36,19,769,86,53,61.6,186,46.2,2,46.7,6.1
