Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,PLAYER_ID,TEAM_ID
Aaron Brooks,CHI,69,36,33,1108.0,491,2401,836,211.8,5.29,5.39,0.204,10,2,17,0.2,0.0,0.118,201166,1610612741
Aaron Gordon,ORL,77,32,45,1857.0,719,2962,1488,94.7,1.92,1.08,0.243,82,46,297,0.61,0.457,0.926,203932,1610612753
Aaron Harrison,CHA,21,15,6,93.0,18,90,59,3.9,2.59,1.97,0.2,1,0,4,0.0,0.0,0.5,1626151,1610612766
Adreian Payne,MIN,52,18,34,486.0,132,974,455,31.0,1.91,0.58,0.136,71,44,75,0.183,0.386,0.587,203940,1610612750
Al Horford,ATL,82,48,34,2631.0,1249,5211,3449,138.9,1.6,0.57,0.24,382,314,526,0.322,0.484,0.779,201143,1610612737
Al Jefferson,CHA,47,33,14,1096.0,562,1338,1036,48.1,2.16,0.54,0.42,151,529,215,0.377,0.522,0.902,2744,1610612766
Al-Farouq Aminu,POR,82,44,38,2341.0,839,2991,1931,103.7,2.08,1.2,0.281,79,32,162,0.57,0.188,0.71,202329,1610612757
Alan Anderson,WAS,13,8,5,192.0,65,207,126,8.0,2.33,1.15,0.314,3,4,6,0.0,0.75,0.333,101187,1610612764
Alan Williams,PHX,10,3,7,68.0,29,117,63,2.7,1.39,0.42,0.248,6,11,29,0.0,0.636,0.655,1626210,1610612756
Alec Burks,UTA,31,13,18,797.0,412,1499,934,95.4,3.82,3.27,0.275,31,0,21,0.226,0.0,0.333,202692,1610612762
Alex Len,PHX,78,23,55,1821.0,703,2978,1669,78.2,1.58,0.38,0.236,318,389,534,0.377,0.414,0.728,203458,1610612756
Alex Stepheson,MEM,8,2,6,72.0,22,93,64,2.7,1.72,0.58,0.237,12,11,28,0.0,0.364,0.5,1627293,1610612763
Alexis Ajinca,NOP,59,20,39,861.0,352,1485,773,34.7,1.4,0.25,0.237,148,55,186,0.405,0.509,0.855,201582,1610612740
Allen Crabbe,POR,81,43,38,2105.0,832,2502,1937,69.1,1.66,0.74,0.333,40,5,52,0.9,0.8,0.923,203459,1610612757
Alonzo Gee,NOP,73,27,46,1632.0,325,1554,1098,48.5,1.87,0.91,0.209,32,8,136,0.656,0.0,0.662,202087,1610612740
Amar'e Stoudemire,MIA,52,30,22,762.0,300,931,619,27.8,1.79,0.43,0.322,123,102,201,0.358,0.451,0.856,2405,1610612748
Amir Johnson,BOS,78,44,34,1777.0,573,3153,1881,71.8,1.37,0.46,0.182,152,91,436,0.428,0.451,0.839,101161,1610612738
Anderson Varejao,GSW,53,41,12,496.0,138,918,523,25.5,1.67,0.55,0.15,116,31,101,0.276,0.194,0.525,2760,1610612744
Andre Drummond,DET,81,43,38,2665.0,1314,3126,2091,94.8,1.82,0.68,0.42,281,486,1036,0.441,0.566,0.876,203083,1610612765
Andre Iguodala,GSW,65,59,6,1732.0,457,2698,1665,131.0,2.91,1.98,0.169,52,39,117,0.308,0.359,0.735,2738,1610612744
Andre Miller,SAS,39,20,19,461.0,144,1072,401,94.7,5.3,4.93,0.134,10,19,35,0.4,0.474,0.829,1889,1610612759
Andre Roberson,OKC,70,48,22,1553.0,337,1189,888,29.2,1.47,0.55,0.283,34,4,169,0.676,1.0,0.87,203460,1610612760
Andrea Bargnani,BKN,46,11,35,634.0,304,1054,588,26.7,1.52,0.35,0.288,82,24,58,0.878,0.25,0.879,200745,1610612751
Andrew Bogut,GSW,70,62,8,1451.0,375,2562,1398,73.0,1.71,0.46,0.146,126,177,365,0.103,0.09,0.827,101106,1610612744
Andrew Goudelock,HOU,8,5,3,50.0,22,110,42,7.2,3.95,3.27,0.2,0,0,0,0.0,0.0,0.0,202726,1610612745
Andrew Nicholson,ORL,55,22,33,820.0,384,1187,700,38.5,1.95,0.67,0.324,16,187,80,0.25,0.663,0.863,203094,1610612753
Andrew Wiggins,MIN,81,29,52,2845.0,1675,3791,3183,172.9,2.74,1.81,0.442,216,315,278,0.722,0.695,0.971,203952,1610612750
Anthony Bennett,TOR,19,12,7,84.0,28,174,88,3.7,1.28,0.31,0.161,4,1,9,0.5,0.0,1.333,203461,1610612761
