Player,Team,Age,GP,Min,ScreenAssists,ScreenAssists PTS,Deflections,OFF Loose BallsRecovered,DEF Loose BallsRecovered,Loose BallsRecovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,ChargesDrawn,Contested2PT Shots,Contested3PT Shots,ContestedShots
Aaron Gordon,DEN,25,10,299,7,18,10,0,4,4,0.0,100.0,0,28,22,50
Aaron Nesmith,BOS,21,5,75,0,0,5,2,0,2,100.0,0.0,0,15,7,22
Abdel Nader,PHX,27,5,29,0,0,3,0,0,0,0.0,0.0,0,5,4,9
Alec Burks,NYK,29,5,128,1,2,1,1,1,2,50.0,50.0,0,13,16,29
Alex Caruso,LAL,27,6,121,0,0,11,0,2,2,0.0,100.0,1,12,14,26
Alex Len,WAS,28,5,42,5,11,3,2,0,2,100.0,0.0,0,17,0,17
Alfonzo McKinnie,LAL,28,2,12,0,0,1,0,0,0,0.0,0.0,0,0,2,2
Alize Johnson,BKN,25,5,23,1,2,3,0,1,1,0.0,100.0,0,1,1,2
Amir Coffey,LAC,24,10,16,1,2,0,0,0,0,0.0,0.0,0,1,1,2
Andre Drummond,LAL,27,5,105,6,12,9,2,2,4,50.0,50.0,0,33,8,41
Andre Iguodala,MIA,37,4,71,0,0,9,2,1,3,66.7,33.3,0,4,10,14
Anfernee Simons,POR,22,6,107,0,0,3,1,0,1,100.0,0.0,0,8,7,15
Anthony Davis,LAL,28,5,144,11,26,9,2,1,3,66.7,33.3,0,17,12,29
Anthony Gill,WAS,28,4,33,1,2,1,0,0,0,0.0,0.0,0,2,1,3
Anthony Tolliver,PHI,36,1,2,0,0,0,0,0,0,0.0,0.0,1,0,0,0
Austin Rivers,DEN,28,10,305,2,5,9,1,1,2,50.0,50.0,0,23,23,46
Axel Toupane,MIL,28,4,10,0,0,0,0,0,0,0.0,0.0,0,0,1,1
Bam Adebayo,MIA,23,4,136,24,56,11,4,1,5,80.0,20.0,0,25,16,41
Ben McLemore,LAL,28,4,36,0,0,1,0,1,1,0.0,100.0,0,2,3,5
Ben Simmons,PHI,24,12,402,26,62,41,5,8,13,38.5,61.5,0,30,28,58
Blake Griffin,BKN,32,12,318,44,103,22,4,7,11,36.4,63.6,2,57,40,97
Boban Marjanovic,DAL,32,4,83,7,14,1,1,0,1,100.0,0.0,0,26,5,31
Bobby Portis,MIL,26,20,366,15,34,32,5,6,11,45.5,54.5,0,82,46,128
Bogdan Bogdanovic,ATL,28,18,598,8,21,66,4,8,12,33.3,66.7,0,75,62,137
Bojan Bogdanovic,UTA,32,11,390,7,16,12,2,3,5,40.0,60.0,1,32,38,70
Bol Bol,DEN,21,3,6,0,0,0,0,0,0,0.0,0.0,0,0,1,1
Bradley Beal,WAS,28,5,195,3,7,14,3,1,4,75.0,25.0,3,18,23,41
Brandon Clarke,MEM,24,2,9,1,2,0,0,0,0,0.0,0.0,0,4,3,7
Brook Lopez,MIL,33,23,667,26,62,29,5,7,12,41.7,58.3,0,292,78,370
Bruce Brown,BKN,24,12,277,31,72,18,5,5,10,50.0,50.0,0,43,24,67
Bruno Fernando,ATL,22,6,12,1,2,0,0,0,0,0.0,0.0,0,1,0,1
Bryn Forbes,MIL,27,20,273,5,10,4,2,6,8,25.0,75.0,0,17,18,35
