PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Anthony Morrow,CHI,31,G,3,2,14.3,2.0,2.0,100.0,45.8,54.3
Jordan Mickey,BOS,22,F,2,1,33.3,1.0,1.0,100.0,50.0,50.0
Pascal Siakam,TOR,23,F,1,1,25.0,1.0,1.0,100.0,54.3,45.7
Jarell Martin,MEM,23,F,3,2,40.0,2.0,2.0,100.0,55.2,44.8
Deyonta Davis,MEM,20,F,3,1,25.0,1.0,1.0,100.0,55.2,44.8
Lance Stephenson,IND,26,G,4,2,14.3,4.0,4.0,100.0,60.0,40.1
JJ Redick,LAC,33,G,7,3,7.1,3.0,3.0,100.0,61.1,38.9
Troy Williams,HOU,22,F,5,2,42.9,3.0,3.0,100.0,61.7,38.3
Lucas Nogueira,TOR,24,C,2,1,33.3,1.0,1.0,100.0,61.9,38.1
Aaron Brooks,IND,32,G,1,1,75.0,3.0,3.0,100.0,62.1,37.9
Bobby Brown,HOU,32,G,3,1,25.0,1.0,1.0,100.0,62.8,37.2
Meyers Leonard,POR,25,F-C,3,2,27.3,3.0,3.0,100.0,64.6,35.4
Thabo Sefolosha,ATL,33,F,2,1,25.0,1.0,1.0,100.0,65.6,34.4
Joffrey Lauvergne,CHI,25,C-F,3,2,33.3,2.0,2.0,100.0,66.0,34.0
Jake Layman,POR,23,F,2,2,66.7,2.0,2.0,100.0,66.7,33.3
Dahntay Jones,CLE,36,G-F,4,1,20.0,1.0,1.0,100.0,66.7,33.3
Glenn Robinson III,IND,23,G-F,3,1,33.3,2.0,2.0,100.0,67.0,33.1
Isaiah Taylor,HOU,22,G,2,1,33.3,1.0,1.0,100.0,67.2,32.8
Vince Carter,MEM,40,G-F,6,4,26.8,14.0,15.0,93.3,62.2,31.1
Joe Ingles,UTA,29,F,11,7,14.5,15.0,16.0,93.8,63.4,30.4
Brandon Bass,LAC,32,F,1,1,50.0,1.0,1.0,100.0,69.9,30.1
Monta Ellis,IND,31,G,3,1,13.3,2.0,2.0,100.0,70.2,29.9
Chris Paul,LAC,32,G,7,5,18.3,12.0,13.0,92.3,62.6,29.7
Jeff Withey,UTA,27,C,3,2,54.5,6.0,6.0,100.0,71.7,28.3
Semaj Christon,OKC,24,G,2,1,20.0,1.0,1.0,100.0,72.7,27.3
James Jones,CLE,36,G-F,6,3,70.6,10.0,12.0,83.3,56.9,26.4
Jerami Grant,OKC,23,F,5,5,30.0,8.0,9.0,88.9,63.1,25.7
Eric Gordon,HOU,28,G,11,10,17.9,16.0,19.0,84.2,59.4,24.8
JaMychal Green,MEM,27,F,6,4,25.7,8.0,9.0,88.9,64.8,24.1
Jonas Jerebko,BOS,30,F,11,7,29.8,12.0,14.0,85.7,62.2,23.5
Evan Turner,POR,28,G-F,4,4,25.0,9.0,10.0,90.0,67.5,22.5
Rodney Hood,UTA,24,G,11,8,25.0,14.0,16.0,87.5,65.6,21.9
Brandon Jennings,WAS,27,G,12,7,37.8,11.0,14.0,78.6,57.9,20.7
Jamal Crawford,LAC,37,G,7,5,19.6,8.0,10.0,80.0,59.3,20.7
Montrezl Harrell,HOU,23,F,3,2,45.5,4.0,5.0,80.0,61.5,18.5
Shelvin Mack,UTA,27,G,8,6,17.5,9.0,11.0,81.8,63.7,18.1
Bradley Beal,WAS,24,G,13,12,19.4,26.0,33.0,78.8,61.1,17.6
Lou Williams,HOU,30,G,11,10,19.4,14.0,18.0,77.8,60.9,16.9
Malcolm Brogdon,MIL,24,G,6,5,20.0,10.0,13.0,76.9,60.1,16.9
Marreese Speights,LAC,29,F-C,7,7,45.2,15.0,19.0,78.9,63.0,16.0
Jonathon Simmons,SAS,27,G-F,14,12,25.8,18.0,23.0,78.3,62.4,15.9
Norman Powell,TOR,24,G,9,7,20.4,8.0,10.0,80.0,64.8,15.2
Dante Exum,UTA,21,G,7,6,26.1,5.0,6.0,83.3,69.3,14.1
Nene,HOU,34,C-F,9,8,43.1,21.0,28.0,75.0,61.3,13.7
Raul Neto,UTA,25,G,9,3,16.1,4.0,5.0,80.0,66.6,13.4
Avery Bradley,BOS,26,G,18,16,34.3,44.0,59.0,74.6,61.4,13.2
Dennis Schroder,ATL,23,G,6,4,13.6,8.0,11.0,72.7,59.6,13.2
CJ Miles,IND,30,F-G,4,3,24.0,5.0,6.0,83.3,70.6,12.8
Doug McDermott,OKC,25,F,5,4,30.4,5.0,7.0,71.4,59.0,12.4
