PLAYER,TEAM,GP,W,L,MIN,PTS,DrivePTS,DriveFG%,C&SPTS,C&SFG%,Pull UpPTS,Pull UpFG%,PaintTouch PTS,PaintTouch FG%,PostTouch PTS,PostTouch FG%,ElbowTouch PTS,ElbowTouch FG%,eFG%
Aaron Brooks,IND,1,0,1,7,5,2,100.0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,83.3
Al Horford,BOS,18,9,9,610,271,32,63.2,98,50.7,23,52.4,75,66.0,45,50.0,15,60.0,65.5
Al-Farouq Aminu,POR,4,0,4,113,48,10,40.0,25,50.0,2,33.3,4,50.0,2,0.0,0,0.0,55.4
Alex Abrines,OKC,5,1,4,80,24,5,50.0,17,33.3,0,0.0,2,50.0,0,0.0,0,0.0,45.7
Allen Crabbe,POR,4,0,4,92,22,4,50.0,13,33.3,6,50.0,0,0.0,0,0.0,0,0.0,43.8
Amir Johnson,BOS,14,6,8,142,36,0,0.0,3,20.0,0,0.0,31,58.3,2,33.3,3,0.0,51.7
Andre Iguodala,GSW,16,15,1,419,115,13,60.0,28,25.6,10,23.8,34,88.9,6,40.0,6,100.0,49.5
Andre Roberson,OKC,5,1,4,185,58,0,0.0,18,37.5,3,100.0,24,64.7,0,0.0,2,100.0,59.8
Andrew Harrison,MEM,6,2,4,119,39,2,20.0,9,42.9,16,50.0,0,0.0,0,0.0,0,0.0,53.4
Anthony Morrow,CHI,3,0,3,29,12,2,0.0,4,100.0,2,25.0,2,100.0,0,0.0,4,66.7,55.6
Austin Rivers,LAC,3,1,2,90,24,8,30.0,9,60.0,5,18.2,0,0.0,0,0.0,2,100.0,42.3
Avery Bradley,BOS,18,9,9,645,301,30,40.0,112,34.2,58,40.0,47,71.0,2,100.0,16,53.8,51.5
Blake Griffin,LAC,3,2,1,99,61,11,45.5,16,46.2,0,0.0,10,66.7,10,38.5,6,50.0,52.9
Bobby Brown,HOU,5,3,2,22,25,8,80.0,9,100.0,10,28.6,0,0.0,0,0.0,0,0.0,62.5
Bobby Portis,CHI,6,2,4,121,40,0,0.0,24,47.4,2,25.0,8,80.0,2,50.0,2,50.0,60.6
Bojan Bogdanovic,WAS,13,7,6,264,115,7,22.2,43,34.1,17,41.2,18,77.8,2,33.3,6,25.0,50.6
Boris Diaw,UTA,11,4,7,203,63,8,42.9,20,38.9,4,28.6,14,87.5,6,42.9,7,75.0,56.3
Bradley Beal,WAS,13,7,6,505,323,65,53.7,79,34.1,100,48.4,28,66.7,13,55.6,21,75.0,52.7
Brandan Wright,MEM,2,0,2,12,4,0,0.0,2,100.0,0,0.0,2,50.0,0,0.0,2,50.0,40.0
Brandon Bass,LAC,1,0,1,4,2,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,33.3
Brandon Jennings,WAS,13,7,6,178,37,12,27.3,3,16.7,21,50.0,2,100.0,0,0.0,0,0.0,41.7
Bryn Forbes,SAS,6,2,4,73,20,4,33.3,3,16.7,11,35.7,0,0.0,0,0.0,0,0.0,33.3
CJ McCollum,POR,4,0,4,140,90,22,34.6,24,57.1,31,36.8,8,50.0,0,0.0,2,0.0,46.9
CJ Miles,IND,4,0,4,82,29,4,66.7,15,33.3,4,50.0,4,100.0,0,0.0,2,100.0,56.3
Cameron Payne,CHI,1,0,1,4,3,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,75.0
Channing Frye,CLE,12,11,1,154,88,4,100.0,68,52.2,2,33.3,8,66.7,0,0.0,3,50.0,68.3
Chris Paul,LAC,7,3,4,260,177,70,61.5,15,50.0,91,43.6,0,0.0,6,75.0,2,25.0,54.8
Clint Capela,HOU,11,6,5,286,116,0,0.0,0,0.0,0,0.0,94,59.7,4,50.0,17,50.0,56.1
Cory Joseph,TOR,10,4,6,212,79,27,42.3,27,45.0,26,41.9,2,50.0,0,0.0,0,0.0,50.0
Cristiano Felicio,CHI,6,2,4,82,19,0,0.0,0,0.0,0,0.0,17,66.7,0,0.0,4,66.7,60.0
Dahntay Jones,CLE,10,8,2,33,16,2,0.0,3,50.0,2,100.0,0,0.0,0,0.0,0,0.0,55.0
Damian Jones,GSW,4,4,0,21,7,2,0.0,0,0.0,0,0.0,3,50.0,2,33.3,2,100.0,42.9
Damian Lillard,POR,4,0,4,151,111,39,48.6,10,33.3,33,31.7,12,100.0,0,0.0,4,100.0,48.3
Daniel Ochefu,WAS,4,1,3,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Danny Green,SAS,16,8,8,436,124,25,55.0,75,35.7,11,27.8,5,66.7,0,0.0,6,100.0,52.3
Dante Exum,UTA,7,3,4,84,32,16,54.5,12,57.1,0,0.0,2,33.3,0,0.0,2,100.0,48.1
David Lee,SAS,15,8,7,245,61,0,0.0,0,0.0,0,0.0,45,64.5,8,33.3,10,60.0,52.1
David West,GSW,17,16,1,221,76,11,50.0,23,40.7,6,75.0,19,81.8,10,44.4,12,71.4,58.5
Davis Bertans,SAS,13,5,8,112,36,0,0.0,24,40.0,0,0.0,4,66.7,0,0.0,0,0.0,59.3
DeAndre Jordan,LAC,7,3,4,264,108,1,0.0,0,0.0,0,0.0,84,68.6,2,100.0,7,100.0,70.5
DeMar DeRozan,TOR,10,4,6,373,224,98,56.9,11,18.5,60,42.9,6,25.0,5,50.0,10,50.0,43.7
DeMarre Carroll,TOR,10,4,6,155,42,8,57.1,21,31.8,4,66.7,4,50.0,0,0.0,0,0.0,50.0
Dejounte Murray,SAS,11,4,7,168,63,34,38.2,2,25.0,8,23.5,8,50.0,0,0.0,4,66.7,37.7
Delon Wright,TOR,9,4,5,92,25,6,66.7,0,0.0,8,60.0,4,66.7,0,0.0,0,0.0,58.8
Dennis Schroder,ATL,6,2,4,211,148,62,51.0,9,25.0,60,42.6,2,66.7,0,0.0,0,0.0,53.2
Denzel Valentine,CHI,4,1,3,22,5,0,0.0,3,25.0,0,0.0,2,100.0,0,0.0,0,0.0,41.7
Deron Williams,CLE,18,13,5,262,78,12,40.0,21,29.2,29,50.0,4,0.0,0,0.0,0,0.0,53.1
Derrick Favors,UTA,11,4,7,225,83,0,0.0,8,25.0,0,0.0,66,78.9,1,0.0,24,64.7,58.1
Derrick Williams,CLE,8,6,2,38,21,2,0.0,9,50.0,6,75.0,0,0.0,2,50.0,0,0.0,63.3
Dewayne Dedmon,SAS,12,6,6,97,45,2,0.0,0,0.0,0,0.0,34,61.1,2,0.0,8,100.0,60.9
Deyonta Davis,MEM,3,1,2,11,7,0,0.0,0,0.0,0,0.0,5,50.0,1,0.0,0,0.0,60.0
Domantas Sabonis,OKC,2,0,2,6,4,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0.0
Doug McDermott,OKC,5,1,4,66,25,4,66.7,21,53.8,0,0.0,0,0.0,0,0.0,0,0.0,69.4
Draymond Green,GSW,17,16,1,593,222,15,40.0,98,42.3,2,25.0,48,64.5,18,46.2,9,42.9,54.7
Dwight Howard,ATL,6,2,4,157,48,0,0.0,0,0.0,0,0.0,48,51.6,13,57.1,1,0.0,50.0
Dwyane Wade,CHI,6,2,4,190,90,22,29.2,12,36.4,30,37.8,12,66.7,2,25.0,2,50.0,40.7
Enes Freedom,OKC,5,1,4,45,24,0,0.0,0,0.0,0,0.0,18,70.0,6,21.4,2,0.0,38.5
Eric Gordon,HOU,11,6,5,358,142,44,48.7,63,47.7,20,21.2,3,100.0,2,50.0,1,0.0,53.3
Ersan Ilyasova,ATL,6,2,4,90,24,0,0.0,3,16.7,2,33.3,12,36.4,2,0.0,4,40.0,37.0
