PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,AST PTSCreated.1,ASTAdj,AST ToPass%,AST ToPass% Adj
Aaron Brooks,IND,1,0,1,7,6,7,1,0,1,2,1,16.7,16.7,
Al Horford,BOS,18,9,9,610,940,812,97,17,184,249,127,10.3,13.5,
Al-Farouq Aminu,POR,4,0,4,113,117,82,4,1,13,12,6,3.4,5.1,
Alex Abrines,OKC,5,1,4,80,65,59,4,0,6,9,4,6.2,6.2,
Allen Crabbe,POR,4,0,4,92,61,53,2,0,6,8,3,3.3,4.9,
Amir Johnson,BOS,14,6,8,142,139,90,3,1,11,14,7,2.2,5.0,
Andre Iguodala,GSW,16,15,1,419,571,535,51,12,95,137,71,8.9,12.4,
Andre Roberson,OKC,5,1,4,185,181,121,9,1,17,22,10,5.0,5.5,
Andrew Harrison,MEM,6,2,4,119,178,186,13,1,32,35,17,7.3,9.6,
Anthony Morrow,CHI,3,0,3,29,12,19,2,0,2,4,2,16.7,16.7,
Austin Rivers,LAC,3,1,2,90,70,82,2,1,7,4,3,2.9,4.3,
Avery Bradley,BOS,18,9,9,645,462,639,41,7,84,109,53,8.9,11.5,
Blake Griffin,LAC,3,2,1,99,168,170,7,1,20,19,8,4.2,4.8,
Bobby Brown,HOU,5,3,2,22,39,58,1,0,8,3,1,2.6,2.6,
Bobby Portis,CHI,6,2,4,121,152,94,7,0,8,18,8,4.6,5.3,
Bojan Bogdanovic,WAS,13,7,6,264,173,196,9,1,16,21,10,5.2,5.8,
Boris Diaw,UTA,11,4,7,203,292,262,22,2,53,58,27,7.5,9.2,
Bradley Beal,WAS,13,7,6,505,405,592,35,10,78,90,51,8.6,12.6,
Brandan Wright,MEM,2,0,2,12,7,12,0,0,2,0,0,0.0,0.0,
Brandon Bass,LAC,1,0,1,4,4,4,0,0,0,0,0,0.0,0.0,
Brandon Jennings,WAS,13,7,6,178,282,273,24,0,55,57,27,8.5,9.6,
Bryn Forbes,SAS,6,2,4,73,60,79,3,1,4,7,5,5.0,8.3,
