Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,PLAYER_ID,TEAM_ID
Aaron Brooks,IND,1,0,1,7.0,5,10,3,0.6,3.52,3.8,0.5,0,0,0,0.0,0.0,0.0,201166,1610612754
Al Horford,BOS,18,9,9,610.0,271,1206,778,42.1,2.09,1.04,0.225,45,125,103,0.333,0.36,0.728,201143,1610612738
Al-Farouq Aminu,POR,4,0,4,113.0,48,170,84,5.6,1.97,0.94,0.282,3,2,11,0.0,1.0,0.364,202329,1610612757
Alex Abrines,OKC,5,1,4,80.0,24,92,61,2.4,1.55,0.55,0.261,0,0,3,0.0,0.0,0.667,203518,1610612760
Allen Crabbe,POR,4,0,4,92.0,22,89,63,2.7,1.83,0.71,0.247,2,0,1,0.0,0.0,0.0,203459,1610612757
Amir Johnson,BOS,14,6,8,142.0,36,178,108,4.3,1.44,0.37,0.202,6,5,40,0.5,0.4,0.775,101161,1610612738
Andre Iguodala,GSW,16,15,1,419.0,115,726,387,34.9,2.89,1.91,0.158,12,13,39,0.5,0.462,0.872,2738,1610612744
Andre Roberson,OKC,5,1,4,185.0,58,243,157,5.3,1.3,0.3,0.239,7,0,35,0.286,0.0,0.686,203460,1610612760
Andrew Harrison,MEM,6,2,4,119.0,39,228,78,23.1,6.07,6.29,0.171,0,0,3,0.0,0.0,0.0,1626150,1610612763
Anthony Morrow,CHI,3,0,3,29.0,12,23,18,0.8,2.2,1.35,0.522,3,0,1,1.333,0.0,2.0,201627,1610612741
Austin Rivers,LAC,3,1,2,90.0,24,104,62,6.8,3.92,3.36,0.231,2,0,1,1.0,0.0,0.0,203085,1610612746
Avery Bradley,BOS,18,9,9,645.0,301,792,604,28.6,2.17,1.71,0.38,22,2,42,0.727,1.0,1.119,202340,1610612738
Blake Griffin,LAC,3,2,1,99.0,61,237,158,10.3,2.6,1.58,0.257,15,25,12,0.4,0.4,0.833,201933,1610612746
Bobby Brown,HOU,5,3,2,22.0,25,63,40,5.2,4.94,4.51,0.397,0,0,0,0.0,0.0,0.0,201628,1610612745
Bobby Portis,CHI,6,2,4,121.0,40,195,91,5.3,1.64,0.51,0.205,2,7,6,1.0,0.286,1.333,1626171,1610612741
Bojan Bogdanović,WAS,13,7,6,264.0,115,299,205,9.3,1.87,0.94,0.385,16,5,21,0.375,0.4,0.857,202711,1610612764
