PLAYER,TEAM,GP,W,L,MIN,Touches,PostUps,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Brooks,IND,1,0,1,7,10,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Al Horford,BOS,18,9,9,610,1206,125,21,42,50.0,3,4,75.0,45,36.0,47,37.6,22,17.6,6,4.8,2,1.6
Al-Farouq Aminu,POR,4,0,4,113,170,2,0,1,0.0,2,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0
Alex Abrines,OKC,5,1,4,80,92,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Allen Crabbe,POR,4,0,4,92,89,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Amir Johnson,BOS,14,6,8,142,178,5,1,3,33.3,0,0,0.0,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0
Andre Iguodala,GSW,16,15,1,419,726,13,2,5,40.0,2,2,100.0,6,46.2,2,15.4,3,23.1,0,0.0,1,7.7
Andre Roberson,OKC,5,1,4,185,243,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Andrew Harrison,MEM,6,2,4,119,228,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anthony Morrow,CHI,3,0,3,29,23,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austin Rivers,LAC,3,1,2,90,104,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Avery Bradley,BOS,18,9,9,645,792,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Blake Griffin,LAC,3,2,1,99,237,25,5,13,38.5,0,0,0.0,10,40.0,10,40.0,0,0.0,1,4.0,0,0.0
Bobby Brown,HOU,5,3,2,22,63,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bobby Portis,CHI,6,2,4,121,195,7,1,2,50.0,0,0,0.0,2,28.6,3,42.9,0,0.0,1,14.3,0,0.0
Bojan Bogdanovic,WAS,13,7,6,264,299,5,1,3,33.3,0,0,0.0,2,40.0,0,0.0,1,20.0,1,20.0,0,0.0
Boris Diaw,UTA,11,4,7,203,371,45,3,7,42.9,0,0,0.0,6,13.3,27,60.0,5,11.1,3,6.7,0,0.0
Bradley Beal,WAS,13,7,6,505,732,22,5,9,55.6,3,4,75.0,13,59.1,8,36.4,1,4.5,2,9.1,2,9.1
Brandan Wright,MEM,2,0,2,12,16,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Brandon Bass,LAC,1,0,1,4,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Brandon Jennings,WAS,13,7,6,178,337,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bryn Forbes,SAS,6,2,4,73,91,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CJ McCollum,POR,4,0,4,140,221,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
CJ Miles,IND,4,0,4,82,77,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cameron Payne,CHI,1,0,1,4,8,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Channing Frye,CLE,12,11,1,154,255,4,0,3,0.0,0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0
Chris Paul,LAC,7,3,4,260,627,9,3,4,75.0,0,0,0.0,6,66.7,2,22.2,1,11.1,1,11.1,0,0.0
Clint Capela,HOU,11,6,5,286,488,5,2,4,50.0,0,0,0.0,4,80.0,1,20.0,0,0.0,0,0.0,0,0.0
Cory Joseph,TOR,10,4,6,212,435,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Cristiano Felicio,CHI,6,2,4,82,94,2,0,0,0.0,0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0
Dahntay Jones,CLE,10,8,2,33,39,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Damian Jones,GSW,4,4,0,21,26,5,1,3,33.3,0,0,0.0,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0
Damian Lillard,POR,4,0,4,151,332,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daniel Ochefu,WAS,4,1,3,5,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Danny Green,SAS,16,8,8,436,597,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Dante Exum,UTA,7,3,4,84,111,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
David Lee,SAS,15,8,7,245,363,21,3,9,33.3,2,2,100.0,8,38.1,8,38.1,2,9.5,0,0.0,1,4.8
