,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile,FTFreq%,TOVFreq%,SFFreq%,And OneFreq%,ScoreFreq%
11211,F,Lebron James,Miami Heat,20,21.4,101,107,1.059,45.0,39,84,46.4,48.2,3.0,14.9,13.9,52.5,2014,iso,,,,,,,
11212,G,Russell Westbrook,Oklahoma City Thunder,19,17.4,97,114,1.175,38.0,39,77,50.6,55.2,6.2,16.5,12.4,54.6,2014,iso,,,,,,,
11213,F,Kevin Durant,Oklahoma City Thunder,19,14.2,80,68,0.85,38.0,22,60,36.7,39.2,8.8,16.3,13.8,43.8,2014,iso,,,,,,,
11214,FG,Paul George,Indiana Pacers,19,15.9,67,58,0.866,30.0,19,49,38.8,43.9,11.9,13.4,10.4,41.8,2014,iso,,,,,,,
11215,G,Tony Parker,San Antonio Spurs,23,14.4,63,44,0.698,31.0,18,49,36.7,38.8,14.3,9.5,9.5,36.5,2014,iso,,,,,,,
11216,G,Dwyane Wade,Miami Heat,20,15.5,58,45,0.776,32.0,19,51,37.3,37.3,6.9,10.3,10.3,37.9,2014,iso,,,,,,,
11217,G,Joe Johnson,Brooklyn Nets,12,26.2,58,62,1.069,27.0,29,56,51.8,54.5,3.4,1.7,1.7,50.0,2014,iso,,,,,,,
11218,G,Lance  Stephenson,Indiana Pacers,19,19.2,55,53,0.964,21.0,20,41,48.8,52.4,12.7,14.5,10.9,49.1,2014,iso,,,,,,,
11219,G,Jamal Crawford,Los Angeles Clippers,13,24.9,50,58,1.16,22.0,19,41,46.3,53.7,6.0,20.0,18.0,50.0,2014,iso,,,,,,,
11220,G,DeMar DeRozan,Toronto Raptors,7,28.1,48,48,1.0,24.0,17,41,41.5,45.1,2.1,12.5,14.6,45.8,2014,iso,,,,,,,
11221,G,Damian Lillard,Portland Trail Blazers,11,19.2,47,51,1.085,19.0,19,38,50.0,53.9,8.5,14.9,12.8,51.1,2014,iso,,,,,,,
11222,G,Chris Paul,Los Angeles Clippers,13,16.4,42,35,0.833,22.0,12,34,35.3,47.1,14.3,4.8,4.8,33.3,2014,iso,,,,,,,
11223,F,David West,Indiana Pacers,19,12.9,41,28,0.683,23.0,11,34,32.4,32.4,7.3,9.8,9.8,36.6,2014,iso,,,,,,,
11224,G,James Harden,Houston Rockets,6,22.9,40,45,1.125,16.0,16,32,50.0,53.1,7.5,17.5,12.5,52.5,2014,iso,,,,,,,
11225,G,Reggie Jackson,Oklahoma City Thunder,19,14.5,32,27,0.844,16.0,9,25,36.0,38.0,9.4,12.5,12.5,40.6,2014,iso,,,,,,,
11226,FG,Kawhi Leonard,San Antonio Spurs,23,10.2,31,31,1.0,14.0,11,25,44.0,44.0,3.2,19.4,19.4,51.6,2014,iso,,,,,,,
11227,G,John Wall,Washington Wizards,11,13.2,30,26,0.867,13.0,7,20,35.0,35.0,10.0,23.3,20.0,46.7,2014,iso,,,,,,,
11228,G,Manu Ginobili,San Antonio Spurs,23,9.1,30,30,1.0,14.0,8,22,36.4,45.5,10.0,20.0,20.0,43.3,2014,iso,,,,,,,
11229,G,Deron Williams,Brooklyn Nets,12,14.2,28,20,0.714,12.0,6,18,33.3,33.3,21.4,17.9,14.3,35.7,2014,iso,,,,,,,
11230,G,Kyle Lowry,Toronto Raptors,7,18.9,28,18,0.643,19.0,6,25,24.0,26.0,0.0,14.3,14.3,32.1,2014,iso,,,,,,,
11231,CF,LaMarcus Aldridge,Portland Trail Blazers,11,8.3,25,25,1.0,13.0,10,23,43.5,43.5,0.0,12.0,12.0,48.0,2014,iso,,,,,,,
11232,G,Stephen Curry,Golden State Warriors,7,15.7,25,17,0.68,16.0,7,23,30.4,32.6,4.0,4.0,4.0,32.0,2014,iso,,,,,,,
11233,F,Blake Griffin,Los Angeles Clippers,13,7.8,24,18,0.75,12.0,8,20,40.0,40.0,8.3,12.5,12.5,37.5,2014,iso,,,,,,,
11234,G,Jeff Teague,Atlanta Hawks,7,15.8,24,27,1.125,11.0,10,21,47.6,54.8,4.2,8.3,8.3,50.0,2014,iso,,,,,,,
11235,F,Paul Millsap,Atlanta Hawks,7,15.5,23,26,1.13,8.0,8,16,50.0,50.0,8.7,26.1,26.1,56.5,2014,iso,,,,,,,
11236,CF,Chris Bosh,Miami Heat,20,8.0,21,29,1.381,7.0,13,20,65.0,67.5,0.0,4.8,4.8,66.7,2014,iso,,,,,,,
11237,FC,Nene Hilario,Washington Wizards,10,11.4,19,22,1.158,8.0,11,19,57.9,57.9,0.0,10.5,10.5,57.9,2014,iso,,,,,,,
11238,FG,Nicolas Batum,Portland Trail Blazers,11,9.1,16,18,1.125,5.0,7,12,58.3,62.5,12.5,12.5,12.5,56.3,2014,iso,,,,,,,
11239,G,Mike Conley,Memphis Grizzlies,7,11.7,15,11,0.733,10.0,4,14,28.6,32.1,0.0,13.3,13.3,33.3,2014,iso,,,,,,,
11240,F,Dirk Nowitzki,Dallas Mavericks,7,9.1,14,14,1.0,5.0,6,11,54.5,54.5,14.3,7.1,0.0,50.0,2014,iso,,,,,,,
11241,FG,Paul Pierce,Brooklyn Nets,12,8.6,14,9,0.643,9.0,4,13,30.8,30.8,7.1,7.1,7.1,28.6,2014,iso,,,,,,,
11242,G,Shaun Livingston,Brooklyn Nets,12,11.0,14,10,0.714,6.0,2,8,25.0,25.0,7.1,35.7,28.6,50.0,2014,iso,,,,,,,
11243,G,Jeremy Lin,Houston Rockets,6,16.0,13,15,1.154,6.0,7,13,53.8,57.7,0.0,0.0,0.0,53.8,2014,iso,,,,,,,
11244,F,Zach Randolph,Memphis Grizzlies,6,9.8,13,7,0.538,7.0,3,10,30.0,30.0,7.7,15.4,15.4,30.8,2014,iso,,,,,,,
11245,GF,Alan Anderson,Brooklyn Nets,12,15.2,12,13,1.083,3.0,5,8,62.5,68.8,25.0,16.7,16.7,50.0,2014,iso,,,,,,,
11246,G,George Hill,Indiana Pacers,19,5.2,12,10,0.833,5.0,4,9,44.4,44.4,16.7,8.3,8.3,41.7,2014,iso,,,,,,,
11247,G,Kemba Walker,Charlotte Hornets,4,15.4,12,16,1.333,4.0,5,9,55.6,66.7,8.3,16.7,16.7,58.3,2014,iso,,,,,,,
11248,FC,Serge Ibaka,Oklahoma City Thunder,17,6.6,12,9,0.75,7.0,3,10,30.0,30.0,0.0,16.7,16.7,41.7,2014,iso,,,,,,,
11249,G,Bradley Beal,Washington Wizards,11,5.0,11,14,1.273,3.0,4,7,57.1,57.1,9.1,36.4,27.3,63.6,2014,iso,,,,,,,
11250,G,Darren Collison,Los Angeles Clippers,13,8.9,11,8,0.727,5.0,2,7,28.6,28.6,18.2,18.2,9.1,36.4,2014,iso,,,,,,,
11251,C,Joakim Noah,Chicago Bulls,5,16.2,11,4,0.364,5.0,1,6,16.7,16.7,36.4,9.1,0.0,18.2,2014,iso,,,,,,,
11252,G,Klay Thompson,Golden State Warriors,7,8.7,11,11,1.0,5.0,4,9,44.4,50.0,9.1,9.1,9.1,45.5,2014,iso,,,,,,,
11253,CF,Boris Diaw,San Antonio Spurs,23,4.7,10,6,0.6,4.0,2,6,33.3,33.3,20.0,20.0,20.0,40.0,2014,iso,,,,,,,
11254,F,Caron Butler,Oklahoma City Thunder,18,7.6,10,3,0.3,8.0,1,9,11.1,16.7,10.0,0.0,0.0,10.0,2014,iso,,,,,,,
11255,C,Marc Gasol,Memphis Grizzlies,7,7.0,10,8,0.8,4.0,4,8,50.0,50.0,20.0,0.0,0.0,40.0,2014,iso,,,,,,,
11256,G,Terrence Ross,Toronto Raptors,7,17.5,10,8,0.8,4.0,4,8,50.0,50.0,20.0,10.0,10.0,40.0,2014,iso,,,,,,,
11257,CF,Andray Blatche,Brooklyn Nets,12,10.7,9,4,0.444,5.0,1,6,16.7,16.7,22.2,11.1,11.1,22.2,2014,iso,,,,,,,
