Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CTTouches,Time OfPoss,Avg Sec PerTouch,Avg Drib PerTouch,PTS PerTouch,ElbowTouches,PostUps,PaintTouches,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,PLAYER_ID,TEAM_ID
Payton Pritchard,BOS,5,4,1,115.0,22,185,71,12.8,4.15,4.28,0.119,0,0,6,0.0,0.0,0.667,1630202,1610612738
Peyton Watson,DEN,6,4,2,65.0,17,78,35,3.2,2.5,1.36,0.218,3,0,3,0.667,0.0,0.0,1631212,1610612743
Precious Achiuwa,NYK,2,1,1,30.0,5,28,23,0.6,1.35,0.29,0.179,4,0,8,0.5,0.0,0.375,1630173,1610612752
Reggie Jackson,DEN,6,4,2,65.0,21,127,52,10.4,4.89,4.23,0.165,1,0,3,0.0,0.0,0.0,202704,1610612743
Royce O'Neale,PHX,4,0,4,104.0,20,193,71,5.7,1.77,0.87,0.104,2,0,1,0.0,0.0,0.0,1626220,1610612756
Rudy Gobert,MIN,5,5,0,175.0,66,239,130,6.1,1.53,0.33,0.276,17,10,49,0.588,0.7,0.755,203497,1610612750
Rui Hachimura,LAL,5,1,4,152.0,39,137,66,3.8,1.66,0.75,0.285,3,3,9,0.667,1.333,0.556,1629060,1610612747
Russell Westbrook,LAC,6,2,4,114.0,38,202,91,12.9,3.84,3.39,0.188,3,0,14,0.0,0.0,0.357,201566,1610612746
Sam Hauser,BOS,5,4,1,85.0,40,81,52,1.5,1.12,0.36,0.494,0,0,2,0.0,0.0,1.0,1630573,1610612738
Sam Merrill,CLE,5,3,2,48.0,17,56,29,1.6,1.76,1.1,0.304,1,0,0,0.0,0.0,0.0,1630241,1610612739
Shai Gilgeous-Alexander,OKC,4,4,0,151.0,109,273,108,27.7,6.09,5.93,0.399,5,3,3,0.6,0.667,1.333,1628983,1610612760
Spencer Dinwiddie,LAL,5,1,4,73.0,15,102,43,6.2,3.66,2.73,0.147,1,0,1,0.0,0.0,0.0,203915,1610612747
Svi Mykhailiuk,BOS,2,2,0,11.0,0,15,9,0.4,1.77,0.87,0.0,0,0,0,0.0,0.0,0.0,1629004,1610612738
T.J. McConnell,IND,6,4,2,108.0,57,301,134,21.7,4.33,4.03,0.189,3,0,5,0.667,0.0,0.8,204456,1610612754
T.J. Warren,MIN,2,2,0,5.0,0,5,4,0.1,1.73,0.6,0.0,0,0,1,0.0,0.0,0.0,203933,1610612750
Taurean Prince,LAL,5,1,4,111.0,37,98,57,2.9,1.8,0.89,0.378,2,0,3,2.0,0.0,2.333,1627752,1610612747
Terance Mann,LAC,6,2,4,187.0,56,243,151,11.5,2.85,2.02,0.23,6,0,25,1.0,0.0,0.72,1629611,1610612746
Thaddeus Young,PHX,1,0,1,4.0,0,4,1,0.1,2.01,1.75,0.0,1,0,0,0.0,0.0,0.0,201152,1610612756
Thanasis Antetokounmpo,MIL,2,0,2,5.0,0,2,0,0.0,0.3,0.0,0.0,0,0,0,0.0,0.0,0.0,203648,1610612749
Thomas Bryant,MIA,2,0,2,18.0,12,31,22,1.4,2.69,0.71,0.387,2,3,3,2.0,1.667,1.333,1628418,1610612748
