PLAYER,TEAM,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS
A.J. Lawson,DAL,7,16.0,2,4,50.0,2.0,4.0,50.0,75.0,6
AJ Green,MIL,6,67.0,1,7,14.299999999999999,1.0,7.0,14.299999999999999,21.4,3
Aaron Gordon,DEN,12,445.0,15,34,44.1,11.0,25.0,44.0,60.3,41
Aaron Nesmith,IND,14,465.0,19,63,30.2,19.0,61.0,31.1,45.2,57
Aaron Wiggins,OKC,10,157.0,6,20,30.0,6.0,20.0,30.0,45.0,18
Al Horford,BOS,11,326.0,20,61,32.800000000000004,19.0,60.0,31.7,48.4,59
Alec Burks,NYK,6,121.0,8,15,53.300000000000004,8.0,15.0,53.300000000000004,80.0,24
Amir Coffey,LAC,6,112.0,4,13,30.8,3.0,11.0,27.3,42.3,11
Andre Jackson Jr.,MIL,5,60.0,2,5,40.0,2.0,5.0,40.0,60.0,6
Andrew Nembhard,IND,14,450.0,20,42,47.599999999999994,18.0,38.0,47.4,69.0,58
Anthony Black,ORL,2,11.0,0,2,0.0,0.0,2.0,0.0,0.0,0
Anthony Davis,LAL,5,208.0,4,13,30.8,0.0,5.0,0.0,30.8,8
Anthony Edwards,MIN,11,441.0,10,22,45.5,10.0,22.0,45.5,68.2,30
Austin Reaves,LAL,5,174.0,2,12,16.7,2.0,12.0,16.7,25.0,6
Bam Adebayo,MIA,5,193.0,12,22,54.50000000000001,2.0,7.0,28.599999999999998,59.099999999999994,26
Ben Sheppard,IND,14,265.0,17,39,43.6,17.0,39.0,43.6,65.4,51
Bobby Portis,MIL,6,187.0,6,15,40.0,3.0,9.0,33.300000000000004,50.0,15
Bojan Bogdanovic,NYK,4,51.0,5,12,41.699999999999996,5.0,12.0,41.699999999999996,62.5,15
Bol Bol,PHX,3,13.0,0,0,,,,,,0
Bones Hyland,LAC,3,12.0,0,3,0.0,0.0,3.0,0.0,0.0,0
Bradley Beal,PHX,4,154.0,8,17,47.099999999999994,7.0,16.0,43.8,67.60000000000001,23
Brandon Boston Jr.,LAC,3,10.0,0,0,,,,,,0
Brandon Ingram,NOP,4,145.0,3,10,30.0,1.0,5.0,20.0,35.0,7
Brook Lopez,MIL,6,200.0,13,27,48.1,10.0,23.0,43.5,66.7,36
Buddy Hield,PHI,4,51.0,5,11,45.5,5.0,11.0,45.5,68.2,15
CJ McCollum,NOP,4,148.0,3,15,20.0,3.0,15.0,20.0,30.0,9
Caleb Houstan,ORL,3,14.0,1,2,50.0,1.0,2.0,50.0,75.0,3
Caleb Martin,MIA,5,176.0,8,17,47.099999999999994,7.0,16.0,43.8,67.60000000000001,23
Cameron Payne,PHI,5,61.0,4,10,40.0,4.0,10.0,40.0,60.0,12
Caris LeVert,CLE,11,278.0,2,11,18.2,2.0,11.0,18.2,27.3,6
Cason Wallace,OKC,10,198.0,9,27,33.300000000000004,9.0,27.0,33.300000000000004,50.0,27
Chet Holmgren,OKC,10,345.0,16,52,30.8,13.0,48.0,27.1,43.3,45
Chris Livingston,MIL,2,6.0,0,0,,,,,,0
Christian Braun,DEN,12,204.0,5,18,27.800000000000004,3.0,15.0,20.0,36.1,13
Chuma Okeke,ORL,2,10.0,1,2,50.0,1.0,2.0,50.0,75.0,3
Cole Anthony,ORL,7,103.0,2,11,18.2,2.0,11.0,18.2,27.3,6
D'Angelo Russell,LAL,5,185.0,7,28,25.0,7.0,28.0,25.0,37.5,21
DaQuan Jeffries,NYK,4,20.0,2,5,40.0,2.0,5.0,40.0,60.0,6
Damian Jones,CLE,2,9.0,0,0,,,,,,0
Damian Lillard,MIL,4,156.0,6,13,46.2,6.0,12.0,50.0,69.19999999999999,18
Daniel Gafford,DAL,12,249.0,0,0,,,,,,0
Daniel Theis,LAC,1,4.0,1,1,100.0,1.0,1.0,100.0,150.0,3
Danilo Gallinari,MIL,3,37.0,0,1,0.0,0.0,1.0,0.0,0.0,0
Dante Exum,DAL,11,80.0,2,9,22.2,2.0,9.0,22.2,33.300000000000004,6
Darius Garland,CLE,12,432.0,6,20,30.0,6.0,19.0,31.6,45.0,18
David Roddy,PHX,2,3.0,0,0,,,,,,0
De'Anthony Melton,PHI,1,7.0,0,2,0.0,0.0,2.0,0.0,0.0,0
DeAndre Jordan,DEN,2,13.0,0,0,,,,,,0
Dean Wade,CLE,3,63.0,2,8,25.0,2.0,8.0,25.0,37.5,6
Delon Wright,MIA,4,107.0,4,6,66.7,4.0,6.0,66.7,100.0,12
Dereck Lively II,DAL,12,260.0,0,0,,,,,,0
Derrick Jones Jr.,DAL,12,366.0,14,37,37.8,14.0,37.0,37.8,56.8,42
Derrick White,BOS,11,378.0,31,60,51.7,29.0,58.0,50.0,75.8,91
Devin Booker,PHX,4,166.0,3,7,42.9,2.0,5.0,40.0,57.099999999999994,8
Donovan Mitchell,CLE,10,382.0,3,21,14.299999999999999,2.0,19.0,10.5,19.0,8
Donte DiVincenzo,NYK,13,466.0,36,86,41.9,36.0,86.0,41.9,62.8,108
Doug McDermott,IND,7,35.0,2,6,33.300000000000004,2.0,6.0,33.300000000000004,50.0,6
Drew Eubanks,PHX,3,37.0,0,0,,,,,,0
Duncan Robinson,MIA,5,60.0,1,6,16.7,1.0,6.0,16.7,25.0,3
Dwight Powell,DAL,7,15.0,0,0,,,,,,0
Dyson Daniels,NOP,3,17.0,0,2,0.0,0.0,2.0,0.0,0.0,0
E.J. Liddell,NOP,1,3.0,0,0,,,,,,0
Eric Gordon,PHX,4,118.0,5,13,38.5,5.0,13.0,38.5,57.699999999999996,15
Evan Mobley,CLE,12,422.0,5,19,26.3,5.0,16.0,31.3,39.5,15
Franz Wagner,ORL,7,259.0,5,18,27.800000000000004,5.0,18.0,27.800000000000004,41.699999999999996,15
Gabe Vincent,LAL,5,69.0,1,5,20.0,1.0,5.0,20.0,30.0,3
Gary Harris,ORL,6,159.0,7,23,30.4,7.0,22.0,31.8,45.7,21
Georges Niang,CLE,10,121.0,3,19,15.8,3.0,19.0,15.8,23.7,9
Goga Bitadze,ORL,2,10.0,0,1,0.0,,,,0.0,0
Gordon Hayward,OKC,7,46.0,0,0,,,,,,0
Grayson Allen,PHX,2,43.0,1,5,20.0,1.0,5.0,20.0,30.0,3
Haywood Highsmith,MIA,5,126.0,4,16,25.0,3.0,15.0,20.0,34.4,11
Herbert Jones,NOP,4,141.0,8,22,36.4,8.0,22.0,36.4,54.50000000000001,24
Hunter Tyson,DEN,3,14.0,0,2,0.0,0.0,2.0,0.0,0.0,0
Isaac Okoro,CLE,12,263.0,8,29,27.6,8.0,29.0,27.6,41.4,24
Isaiah Hartenstein,NYK,13,388.0,7,18,38.9,0.0,1.0,0.0,38.9,14
Isaiah Jackson,IND,12,116.0,0,0,,,,,,0
Isaiah Joe,OKC,10,173.0,15,35,42.9,14.0,32.0,43.8,62.9,44
Isaiah Thomas,PHX,1,4.0,0,0,,0.0,0.0,,,0
Ivica Zubac,LAC,6,192.0,2,4,50.0,,,,50.0,4
Jaden Hardy,DAL,9,44.0,3,9,33.300000000000004,3.0,9.0,33.300000000000004,50.0,9
Jaden McDaniels,MIN,11,369.0,10,30,33.300000000000004,10.0,29.0,34.5,50.0,30
Jaden Springer,BOS,3,14.0,0,0,,,,,,0
Jae Crowder,MIL,4,42.0,1,8,12.5,1.0,7.0,14.299999999999999,18.8,3
Jaime Jaquez Jr.,MIA,4,122.0,3,14,21.4,3.0,13.0,23.1,32.1,9
Jalen Brunson,NYK,13,517.0,7,16,43.8,7.0,16.0,43.8,65.60000000000001,21
Jalen Pickett,DEN,3,11.0,0,0,,0.0,0.0,,,0
Jalen Smith,IND,6,36.0,1,2,50.0,1.0,2.0,50.0,75.0,3
Jalen Suggs,ORL,7,232.0,11,36,30.599999999999998,11.0,36.0,30.599999999999998,45.800000000000004,33
Jalen Williams,OKC,10,377.0,6,17,35.3,6.0,17.0,35.3,52.900000000000006,18
Jamal Murray,DEN,12,462.0,11,42,26.200000000000003,11.0,41.0,26.8,39.300000000000004,33
James Harden,LAC,6,242.0,2,8,25.0,2.0,8.0,25.0,37.5,6
James Johnson,IND,1,1.0,0,0,,,,,,0
Jarace Walker,IND,8,26.0,0,2,0.0,0.0,2.0,0.0,0.0,0
Jarrett Allen,CLE,4,127.0,0,4,0.0,,,,0.0,0
Jaxson Hayes,LAL,4,24.0,0,0,,,,,,0
Jaylen Brown,BOS,11,395.0,11,31,35.5,11.0,30.0,36.7,53.2,33
Jaylin Williams,OKC,10,127.0,10,24,41.699999999999996,9.0,22.0,40.9,60.4,29
Jayson Tatum,BOS,11,437.0,3,19,15.8,3.0,18.0,16.7,23.7,9
Jeremiah Robinson-Earl,NOP,1,5.0,0,0,,,,,,0
Jericho Sims,NYK,5,27.0,0,0,,,,,,0
Jett Howard,ORL,2,10.0,0,0,,0.0,0.0,,,0
Joe Ingles,ORL,7,68.0,2,7,28.599999999999998,2.0,7.0,28.599999999999998,42.9,6
Joel Embiid,PHI,6,248.0,19,40,47.5,12.0,29.0,41.4,62.5,50
Jonas Valanciunas,NOP,4,89.0,3,5,60.0,0.0,1.0,0.0,60.0,6
Jonathan Isaac,ORL,7,147.0,7,23,30.4,7.0,23.0,30.4,45.7,21
Jordan Hawkins,NOP,3,12.0,0,1,0.0,0.0,1.0,0.0,0.0,0
Jordan McLaughlin,MIN,5,24.0,0,3,0.0,0.0,3.0,0.0,0.0,0
Jordan Walsh,BOS,2,6.0,0,0,,,,,,0
Jose Alvarado,NOP,4,62.0,1,13,7.7,1.0,13.0,7.7,11.5,3
Josh Giddey,OKC,10,181.0,12,32,37.5,11.0,30.0,36.7,54.7,35
Josh Green,DAL,12,207.0,13,38,34.2,13.0,38.0,34.2,51.300000000000004,39
Josh Hart,NYK,13,548.0,16,43,37.2,15.0,40.0,37.5,54.7,47
Josh Minott,MIN,4,15.0,2,4,50.0,2.0,4.0,50.0,75.0,6
Josh Okogie,PHX,4,29.0,1,3,33.300000000000004,1.0,3.0,33.300000000000004,50.0,3
Jrue Holiday,BOS,11,419.0,13,27,48.1,12.0,26.0,46.2,70.39999999999999,38
Julian Strawther,DEN,3,16.0,1,4,25.0,1.0,4.0,25.0,37.5,3
Justin Holiday,DEN,12,150.0,10,26,38.5,10.0,26.0,38.5,57.699999999999996,30
Jusuf Nurkic,PHX,4,104.0,0,4,0.0,0.0,2.0,0.0,0.0,0
Karl-Anthony Towns,MIN,11,356.0,22,48,45.800000000000004,20.0,43.0,46.5,66.7,64
Kawhi Leonard,LAC,2,59.0,0,5,0.0,0.0,4.0,0.0,0.0,0
Kelly Oubre Jr.,PHI,6,224.0,8,18,44.4,8.0,18.0,44.4,66.7,24
Kendall Brown,IND,6,21.0,0,0,,,,,,0
Kenrich Williams,OKC,7,31.0,0,3,0.0,0.0,3.0,0.0,0.0,0
Kentavious Caldwell-Pope,DEN,12,420.0,17,48,35.4,16.0,46.0,34.8,52.1,50
Kevin Durant,PHX,4,168.0,4,13,30.8,4.0,9.0,44.4,46.2,12
Kevin Love,MIA,5,32.0,1,3,33.300000000000004,1.0,3.0,33.300000000000004,50.0,3
Khris Middleton,MIL,6,230.0,5,13,38.5,2.0,8.0,25.0,46.2,12
Kobe Brown,LAC,3,10.0,0,0,,,,,,0
Kristaps Porzingis,BOS,4,105.0,8,22,36.4,7.0,19.0,36.8,52.300000000000004,23
Kyle Anderson,MIN,10,119.0,2,3,66.7,0.0,1.0,0.0,66.7,4
Kyle Lowry,PHI,6,175.0,7,18,38.9,7.0,18.0,38.9,58.3,21
Kyrie Irving,DAL,12,481.0,17,34,50.0,15.0,31.0,48.4,72.1,49
Larry Nance Jr.,NOP,4,84.0,1,3,33.300000000000004,1.0,2.0,50.0,50.0,3
LeBron James,LAL,5,204.0,7,16,43.8,7.0,15.0,46.7,65.60000000000001,21
Leonard Miller,MIN,2,4.0,0,1,0.0,0.0,1.0,0.0,0.0,0
Lindy Waters III,OKC,3,9.0,0,1,0.0,0.0,1.0,0.0,0.0,0
Luguentz Dort,OKC,10,350.0,21,55,38.2,21.0,54.0,38.9,57.3,63
Luka Doncic,DAL,12,505.0,8,24,33.300000000000004,8.0,24.0,33.300000000000004,50.0,24
Luka Garza,MIN,6,23.0,2,3,66.7,2.0,3.0,66.7,100.0,6
Luke Kornet,BOS,9,113.0,0,0,,,,,,0
Malik Beasley,MIL,6,131.0,9,18,50.0,9.0,18.0,50.0,75.0,27
Mamadi Diakite,NYK,4,15.0,0,2,0.0,0.0,2.0,0.0,0.0,0
MarJon Beauchamp,MIL,4,10.0,0,0,,0.0,0.0,,,0
Marcus Morris Sr.,CLE,9,138.0,10,19,52.6,8.0,17.0,47.099999999999994,73.7,28
Markelle Fultz,ORL,7,106.0,0,2,0.0,0.0,1.0,0.0,0.0,0
Mason Plumlee,LAC,6,66.0,0,0,,,,,,0
Matt Ryan,NOP,1,3.0,0,1,0.0,0.0,1.0,0.0,0.0,0
Max Strus,CLE,12,433.0,22,53,41.5,22.0,53.0,41.5,62.3,66
Maxi Kleber,DAL,6,116.0,10,18,55.60000000000001,10.0,18.0,55.60000000000001,83.3,30
Michael Porter Jr.,DEN,12,443.0,31,74,41.9,29.0,67.0,43.3,61.5,91
Mike Conley,MIN,10,324.0,7,20,35.0,7.0,20.0,35.0,52.5,21
Miles McBride,NYK,13,347.0,20,55,36.4,19.0,53.0,35.8,53.6,59
Mitchell Robinson,NYK,6,115.0,0,0,,,,,,0
Monte Morris,MIN,8,66.0,0,10,0.0,0.0,10.0,0.0,0.0,0
Moritz Wagner,ORL,7,105.0,2,9,22.2,2.0,9.0,22.2,33.300000000000004,6
Myles Turner,IND,14,460.0,41,91,45.1,32.0,69.0,46.400000000000006,62.6,114
Naji Marshall,NOP,4,84.0,6,15,40.0,6.0,15.0,40.0,60.0,18
Nassir Little,PHX,4,14.0,0,1,0.0,0.0,1.0,0.0,0.0,0
Naz Reid,MIN,11,229.0,15,44,34.1,14.0,43.0,32.6,50.0,44
Neemias Queta,BOS,2,8.0,0,0,,,,,,0
Nickeil Alexander-Walker,MIN,11,300.0,17,49,34.699999999999996,16.0,48.0,33.300000000000004,51.0,50
Nicolas Batum,PHI,6,170.0,8,20,40.0,8.0,20.0,40.0,60.0,24
Nikola Jokic,DEN,12,482.0,15,46,32.6,9.0,34.0,26.5,42.4,39
Nikola Jovic,MIA,5,128.0,9,20,45.0,9.0,18.0,50.0,67.5,27
Norman Powell,LAC,6,179.0,8,19,42.1,8.0,19.0,42.1,63.2,24
OG Anunoby,NYK,9,324.0,15,36,41.699999999999996,15.0,33.0,45.5,62.5,45
Obi Toppin,IND,14,269.0,16,44,36.4,14.0,40.0,35.0,52.300000000000004,46
Olivier-Maxence Prosper,DAL,1,1.0,0,0,,,,,,0
Orlando Robinson,MIA,1,2.0,0,1,0.0,0.0,1.0,0.0,0.0,0
Oshae Brissett,BOS,5,16.0,1,1,100.0,1.0,1.0,100.0,150.0,3
Ousmane Dieng,OKC,4,7.0,0,1,0.0,0.0,1.0,0.0,0.0,0
P.J. Tucker,LAC,2,31.0,3,4,75.0,3.0,4.0,75.0,112.5,9
