PLAYER,TEAM,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,eFG%,PTS,PLAYER_ID,TEAM_ID
A.J. Lawson,DAL,8,6,2,19.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1630639,1610612742
AJ Green,MIL,6,2,4,67.0,4,7,57.099999999999994,1.0,4.0,25.0,64.3,9,1631260,1610612749
Aaron Gordon,DEN,12,7,5,445.0,4,9,44.4,0.0,2.0,0.0,44.4,8,203932,1610612743
Aaron Nesmith,IND,17,8,9,559.0,11,25,44.0,1.0,10.0,10.0,46.0,23,1630174,1610612754
Aaron Wiggins,OKC,10,6,4,157.0,2,5,40.0,0.0,0.0,,40.0,4,1630598,1610612760
Al Horford,BOS,17,15,2,520.0,0,1,0.0,0.0,1.0,0.0,0.0,0,201143,1610612738
Alec Burks,NYK,6,2,4,121.0,12,26,46.2,4.0,13.0,30.8,53.800000000000004,28,202692,1610612752
Amir Coffey,LAC,6,2,4,112.0,2,3,66.7,0.0,0.0,,66.7,4,1629599,1610612746
Andre Jackson Jr.,MIL,5,1,4,60.0,0,1,0.0,0.0,1.0,0.0,0.0,0,1641748,1610612749
Andrew Nembhard,IND,17,8,9,554.0,29,59,49.2,4.0,10.0,40.0,52.5,62,1629614,1610612754
Anthony Black,ORL,2,2,0,11.0,1,2,50.0,0.0,0.0,,50.0,2,1641710,1610612753
Anthony Davis,LAL,5,1,4,208.0,7,14,50.0,0.0,0.0,,50.0,14,203076,1610612747
Anthony Edwards,MIN,16,9,7,649.0,74,171,43.3,32.0,84.0,38.1,52.6,180,1630162,1610612750
Austin Reaves,LAL,5,1,4,174.0,16,29,55.2,5.0,14.0,35.699999999999996,63.800000000000004,37,1630559,1610612747
Bam Adebayo,MIA,5,1,4,193.0,10,29,34.5,0.0,3.0,0.0,34.5,20,1628389,1610612748
Ben Sheppard,IND,17,8,9,335.0,2,4,50.0,1.0,2.0,50.0,62.5,5,1641767,1610612754
Bobby Portis,MIL,6,2,4,187.0,11,27,40.699999999999996,0.0,3.0,0.0,40.699999999999996,22,1626171,1610612749
Bojan Bogdanovic,NYK,4,3,1,51.0,2,10,20.0,1.0,3.0,33.300000000000004,25.0,5,202711,1610612752
Bol Bol,PHX,3,0,3,13.0,0,0,,,,,,0,1629626,1610612756
Bones Hyland,LAC,3,0,3,12.0,3,4,75.0,1.0,2.0,50.0,87.5,7,1630538,1610612746
Bradley Beal,PHX,4,0,4,154.0,6,17,35.3,3.0,7.0,42.9,44.1,15,203078,1610612756
Brandon Boston Jr.,LAC,3,0,3,10.0,1,1,100.0,,,,100.0,2,1630527,1610612746
Brandon Ingram,NOP,4,0,4,145.0,13,32,40.6,1.0,3.0,33.300000000000004,42.199999999999996,27,1627742,1610612740
Brook Lopez,MIL,6,2,4,200.0,1,7,14.299999999999999,0.0,0.0,,14.299999999999999,2,201572,1610612749
Buddy Hield,PHI,4,1,3,51.0,1,3,33.300000000000004,1.0,2.0,50.0,50.0,3,1627741,1610612755
CJ McCollum,NOP,4,0,4,148.0,13,36,36.1,3.0,13.0,23.1,40.300000000000004,29,203468,1610612740
Caleb Houstan,ORL,3,2,1,14.0,0,0,,0.0,0.0,,,0,1631216,1610612753
Caleb Martin,MIA,5,1,4,176.0,5,15,33.300000000000004,3.0,7.0,42.9,43.3,13,1628997,1610612748
Cameron Payne,PHI,5,2,3,61.0,6,11,54.50000000000001,4.0,8.0,50.0,72.7,16,1626166,1610612755
Caris LeVert,CLE,11,5,6,278.0,13,43,30.2,4.0,22.0,18.2,34.9,30,1627747,1610612739
Cason Wallace,OKC,10,6,4,198.0,2,6,33.300000000000004,0.0,1.0,0.0,33.300000000000004,4,1641717,1610612760
Chet Holmgren,OKC,10,6,4,345.0,4,13,30.8,0.0,2.0,0.0,30.8,8,1631096,1610612760
Chris Livingston,MIL,2,0,2,6.0,0,0,,,,,,0,1641753,1610612749
Christian Braun,DEN,12,7,5,204.0,1,6,16.7,1.0,3.0,33.300000000000004,25.0,3,1631128,1610612743
Chuma Okeke,ORL,2,2,0,10.0,0,0,,0.0,0.0,,,0,1629643,1610612753
Cole Anthony,ORL,7,3,4,103.0,5,18,27.800000000000004,0.0,2.0,0.0,27.800000000000004,10,1630175,1610612753
D'Angelo Russell,LAL,5,1,4,185.0,10,28,35.699999999999996,7.0,16.0,43.8,48.199999999999996,27,1626156,1610612747
DaQuan Jeffries,NYK,4,1,3,20.0,0,0,,0.0,0.0,,,0,1629610,1610612752
Damian Jones,CLE,2,1,1,9.0,0,0,,,,,,0,1627745,1610612739
Damian Lillard,MIL,4,1,3,156.0,16,47,34.0,12.0,32.0,37.5,46.800000000000004,44,203081,1610612749
Daniel Gafford,DAL,20,12,8,424.0,0,1,0.0,,,,0.0,0,1629655,1610612742
Daniel Theis,LAC,1,0,1,4.0,0,0,,0.0,0.0,,,0,1628464,1610612746
Danilo Gallinari,MIL,3,1,2,37.0,1,4,25.0,0.0,1.0,0.0,25.0,2,201568,1610612749
Dante Exum,DAL,19,11,8,121.0,4,13,30.8,0.0,2.0,0.0,30.8,8,203957,1610612742
Darius Garland,CLE,12,5,7,432.0,35,87,40.2,19.0,52.0,36.5,51.1,89,1629636,1610612739
David Roddy,PHX,2,0,2,3.0,0,0,,,,,,0,1631223,1610612756
De'Anthony Melton,PHI,1,0,1,7.0,0,0,,0.0,0.0,,,0,1629001,1610612755
DeAndre Jordan,DEN,2,1,1,13.0,0,0,,,,,,0,201599,1610612743
Dean Wade,CLE,3,0,3,63.0,1,2,50.0,1.0,1.0,100.0,75.0,3,1629731,1610612739
Delon Wright,MIA,4,1,3,107.0,2,5,40.0,2.0,4.0,50.0,60.0,6,1626153,1610612748
Dereck Lively II,DAL,19,12,7,415.0,0,0,,,,,,0,1641726,1610612742
Derrick Jones Jr.,DAL,20,12,8,608.0,4,8,50.0,1.0,2.0,50.0,56.3,9,1627884,1610612742
Derrick White,BOS,17,15,2,607.0,22,72,30.599999999999998,14.0,48.0,29.2,40.300000000000004,58,1628401,1610612738
Devin Booker,PHX,4,0,4,166.0,13,30,43.3,5.0,15.0,33.300000000000004,51.7,31,1626164,1610612756
Donovan Mitchell,CLE,10,5,5,382.0,43,104,41.3,27.0,63.0,42.9,54.300000000000004,113,1628378,1610612739
Donte DiVincenzo,NYK,13,7,6,466.0,13,32,40.6,9.0,20.0,45.0,54.7,35,1628978,1610612752
Doug McDermott,IND,10,4,6,64.0,1,2,50.0,1.0,1.0,100.0,75.0,3,203926,1610612754
Drew Eubanks,PHX,3,0,3,37.0,0,0,,,,,,0,1629234,1610612756
Duncan Robinson,MIA,5,1,4,60.0,3,9,33.300000000000004,2.0,7.0,28.599999999999998,44.4,8,1629130,1610612748
Dwight Powell,DAL,11,7,4,34.0,0,0,,,,,,0,203939,1610612742
Dyson Daniels,NOP,3,0,3,17.0,1,1,100.0,0.0,0.0,,100.0,2,1630700,1610612740
E.J. Liddell,NOP,1,0,1,3.0,0,0,,,,,,0,1630604,1610612740
Eric Gordon,PHX,4,0,4,118.0,2,6,33.300000000000004,2.0,4.0,50.0,50.0,6,201569,1610612756
Evan Mobley,CLE,12,5,7,422.0,2,9,22.2,0.0,2.0,0.0,22.2,4,1630596,1610612739
Franz Wagner,ORL,7,3,4,259.0,9,28,32.1,4.0,15.0,26.700000000000003,39.300000000000004,22,1630532,1610612753
