team,gp,w,l,min,pts,fgm,fga,3pm,3pa
ATL,54,27,27,13085,1080,466,1192,148,458
BOS,53,16,37,12895,1379,592,1468,195,582
CLE,55,22,33,13375,1076,461,1252,154,509
NOP,55,27,28,13350,1028,432,1207,164,539
CHI,52,27,25,12605,1008,427,1088,154,457
DAL,54,26,28,13135,1133,491,1238,151,482
DEN,54,17,37,13010,1011,432,1118,147,456
GSW,53,26,27,12845,1129,475,1228,179,535
HOU,53,40,13,12770,1179,475,1200,229,586
LAC,56,26,30,13515,1239,523,1332,193,569
LAL,54,29,25,13135,1318,571,1446,176,575
MIA,54,25,29,13035,1008,421,1063,166,473
MIL,53,17,36,12820,1455,620,1567,215,617
MIN,56,27,29,13515,1095,458,1216,179,520
BKN,52,20,32,12505,986,410,1120,166,492
NYK,55,26,29,13425,1249,530,1372,189,567
ORL,54,32,22,13010,1136,474,1241,188,591
IND,55,30,25,13225,1055,439,1151,177,504
PHI,52,18,34,12605,1044,456,1205,132,444
PHX,55,26,29,13300,1127,477,1283,173,510
POR,53,27,26,12770,976,413,1113,150,452
SAC,52,23,29,12530,1104,469,1156,166,430
SAS,53,39,14,12770,1246,533,1222,180,484
OKC,52,27,25,12630,892,384,1003,124,408
TOR,55,30,25,13300,1003,421,1020,161,445
UTA,54,27,27,13035,1255,529,1253,197,552
MEM,53,21,32,12770,996,415,1141,166,495
WAS,52,28,24,12530,1050,440,1160,170,498
DET,54,40,14,13035,1090,450,1130,190,519
CHA,55,40,15,13350,1167,509,1211,149,464
