TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Toronto Raptors,76,614,7.2,1.13,694,296,526,56.3,56.6,12.1,5.2,11.1,2.9,57.0,41.4
Charlotte Hornets,77,562,6.4,1.16,652,278,477,58.3,58.8,13.2,6.6,12.5,4.6,58.0,58.6
Houston Rockets,77,592,6.7,1.09,647,277,486,57.0,57.1,12.3,8.4,11.5,3.0,55.7,20.7
San Antonio Spurs,76,518,5.9,1.21,626,276,436,63.3,63.6,11.0,7.3,10.8,2.7,60.6,93.1
New Orleans Pelicans,77,515,6.0,1.18,610,263,444,59.2,59.6,11.3,5.4,10.5,2.9,59.2,82.8
Utah Jazz,76,536,6.2,1.13,605,258,443,58.2,58.5,13.4,8.4,12.5,4.5,56.5,37.9
Memphis Grizzlies,76,541,6.2,1.12,604,257,449,57.2,57.9,12.8,6.3,12.6,2.2,57.1,27.6
Detroit Pistons,76,505,5.9,1.17,589,243,416,58.4,59.0,15.2,5.5,14.7,3.4,59.4,69.0
Orlando Magic,76,470,5.6,1.23,579,230,375,61.3,62.5,17.2,6.8,16.0,3.8,61.9,100.0
Atlanta Hawks,76,506,5.8,1.14,577,245,426,57.5,57.9,12.6,5.3,12.5,2.2,57.7,44.8
New York Knicks,77,512,5.9,1.13,577,250,420,59.5,60.0,12.5,9.0,12.1,3.5,56.6,34.5
Denver Nuggets,76,469,5.6,1.15,540,226,398,56.8,57.0,13.6,4.5,13.4,3.2,58.4,55.2
Phoenix Suns,76,494,5.8,1.08,536,226,418,54.1,54.9,11.7,6.5,11.5,3.0,54.0,17.2
Washington Wizards,76,438,5.3,1.21,529,228,369,61.8,61.8,13.7,7.1,12.1,5.0,59.8,89.7
Milwaukee Bucks,77,450,5.1,1.17,525,219,360,60.8,61.8,13.6,9.3,13.3,3.1,58.7,72.4
Minnesota Timberwolves,77,442,5.1,1.17,519,213,356,59.8,60.1,15.6,6.3,14.3,2.7,59.0,75.9
Los Angeles Lakers,76,454,5.3,1.14,518,206,361,57.1,57.2,17.0,7.7,16.5,4.4,57.0,48.3
Indiana Pacers,77,430,4.9,1.11,476,196,345,56.8,58.3,11.6,10.2,10.9,2.1,54.0,24.1
Oklahoma City Thunder,77,455,5.1,0.98,446,192,384,50.0,50.9,8.8,7.5,8.6,0.7,49.7,0.0
Golden State Warriors,77,415,4.7,1.07,445,195,344,56.7,57.4,9.9,8.7,9.9,1.9,54.7,10.3
Boston Celtics,77,367,4.3,1.2,440,192,313,61.3,61.3,10.9,6.8,11.2,3.5,59.1,86.2
Cleveland Cavaliers,77,373,4.5,1.17,435,173,289,59.9,60.7,17.2,7.5,16.6,2.1,60.1,65.5
LA Clippers,77,436,5.2,0.99,431,178,342,52.0,52.2,14.4,10.1,13.1,3.0,50.9,3.4
Miami Heat,77,371,4.5,1.15,425,172,309,55.7,56.3,13.5,5.7,13.2,2.7,57.1,51.7
Sacramento Kings,76,357,4.2,1.17,416,175,304,57.6,58.2,12.3,5.6,12.0,3.1,57.7,62.1
Chicago Bulls,76,386,4.7,1.06,410,177,318,55.7,55.8,10.6,8.5,9.8,1.6,54.1,6.9
Philadelphia 76ers,76,361,4.4,1.12,405,158,281,56.2,56.8,15.5,8.3,15.2,1.7,56.5,31.0
Portland Trail Blazers,76,363,4.4,1.08,392,166,292,56.8,57.4,12.7,8.0,12.4,1.1,56.2,13.8
Brooklyn Nets,76,315,3.9,1.21,382,169,273,61.9,62.5,9.5,6.7,8.9,2.9,60.0,96.6
Dallas Mavericks,77,245,3.0,1.18,290,125,197,63.5,64.0,13.5,9.0,13.5,3.7,59.6,79.3
