TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Sacramento Kings,79,810,9.2,1.08,875,317,693,45.7,57.7,6.3,9.1,5.9,1.1,43.8,100.0
Golden State Warriors,80,645,7.1,1.0,648,224,546,41.0,52.8,6.7,10.4,5.9,1.7,39.5,72.4
San Antonio Spurs,79,690,7.6,0.9,618,230,586,39.2,45.6,8.3,8.7,8.1,1.9,39.4,27.6
Utah Jazz,79,512,5.7,1.04,533,181,415,43.6,52.9,11.5,9.8,10.7,2.5,44.1,86.2
Portland Trail Blazers,79,486,5.6,1.07,522,172,389,44.2,55.0,10.9,10.9,9.5,1.9,44.4,96.6
Brooklyn Nets,79,472,5.6,1.05,494,184,393,46.8,55.2,8.5,10.8,8.3,2.5,44.7,89.7
Miami Heat,79,553,6.5,0.88,486,173,472,36.7,45.8,5.8,10.7,5.2,1.8,35.3,24.1
Houston Rockets,80,498,5.4,0.92,456,167,416,40.1,47.7,8.8,10.0,8.4,2.6,39.6,31.0
Charlotte Hornets,80,446,4.9,1.02,454,166,362,45.9,54.7,8.7,11.9,7.4,1.8,43.7,75.9
Memphis Grizzlies,79,475,5.2,0.95,451,171,403,42.4,48.9,7.8,9.5,7.6,2.1,41.7,48.3
New Orleans Pelicans,79,480,5.4,0.94,451,164,379,43.3,49.6,10.2,13.5,9.6,2.9,41.5,41.4
New York Knicks,79,460,5.2,0.97,448,159,378,42.1,50.5,10.4,9.6,9.8,2.2,42.4,55.2
Indiana Pacers,79,446,5.0,1.0,446,162,358,45.3,54.2,8.5,13.2,7.6,2.2,42.6,69.0
Orlando Magic,79,495,5.6,0.84,416,154,415,37.1,42.0,8.9,9.5,8.3,2.2,37.6,3.4
Denver Nuggets,79,472,5.5,0.88,413,160,403,39.7,45.5,7.0,8.9,5.9,1.5,39.2,17.2
Washington Wizards,79,409,4.7,0.98,402,150,321,46.7,53.4,10.5,12.7,11.0,2.4,44.3,58.6
Milwaukee Bucks,79,454,5.0,0.87,397,142,369,38.5,45.8,9.5,11.2,8.8,2.0,38.3,13.8
Minnesota Timberwolves,80,379,4.2,0.94,356,133,299,44.5,50.5,9.8,12.4,9.8,1.3,42.7,37.9
Cleveland Cavaliers,80,347,4.0,0.99,342,116,276,42.0,49.6,11.5,10.7,9.8,2.0,42.4,62.1
Phoenix Suns,79,386,4.4,0.86,332,131,311,42.1,46.6,7.3,13.5,5.7,1.3,39.4,6.9
Boston Celtics,79,291,3.3,1.06,309,112,233,48.1,56.9,10.0,13.1,8.9,3.1,45.4,93.1
Oklahoma City Thunder,80,295,3.2,1.04,307,117,248,47.2,55.4,7.5,10.5,6.8,2.0,44.4,82.8
Toronto Raptors,79,301,3.4,0.96,290,110,251,43.8,49.0,10.0,8.3,9.6,2.0,44.5,51.7
Atlanta Hawks,79,274,3.0,1.0,273,98,235,41.7,49.8,8.0,6.9,7.3,1.1,42.7,65.5
Los Angeles Lakers,79,261,2.9,0.94,246,82,212,38.7,47.4,12.6,10.0,12.6,3.8,40.2,44.8
LA Clippers,79,275,3.2,0.88,241,88,228,38.6,45.2,8.4,10.5,8.4,1.8,38.2,20.7
Dallas Mavericks,79,271,3.2,0.87,235,84,203,41.4,48.8,9.6,16.6,8.5,1.1,39.1,10.3
Philadelphia 76ers,79,225,2.7,1.04,233,89,195,45.6,53.6,7.1,8.0,5.8,1.8,44.9,79.3
Detroit Pistons,79,263,3.0,0.81,213,74,195,37.9,44.6,9.9,16.7,9.5,0.8,36.9,0.0
Chicago Bulls,79,159,1.8,0.93,147,55,133,41.4,48.5,6.9,11.3,6.3,1.9,39.6,34.5
