team,gp,w,l,min,drives,fgm,fga,ftm,fta,pts,pass,ast,to,pf
ATL,54,27,27,13085,2662,574,1218,346,431,1537,960,264,196,218
BOS,53,16,37,12895,2460,612,1269,270,329,1539,807,200,160,165
CLE,55,22,33,13375,2789,605,1251,273,344,1527,1086,268,208,172
NOP,55,27,28,13350,2323,524,1044,328,409,1424,841,221,165,205
CHI,51,27,24,12365,2371,529,1043,286,363,1387,925,253,153,181
DAL,54,26,28,13135,2689,623,1167,342,428,1637,1072,283,178,212
DEN,54,17,37,13010,2503,618,1129,292,375,1579,962,237,157,190
GSW,52,26,26,12605,2522,516,1091,348,416,1410,990,246,154,208
HOU,53,40,13,12770,2184,471,925,266,332,1241,856,198,157,167
LAC,56,26,30,13515,2699,550,1175,334,441,1469,1085,257,145,221
LAL,54,29,25,13135,2494,600,1216,301,371,1538,894,230,151,185
MIA,54,25,29,13035,2095,466,899,260,328,1238,798,202,169,164
MIL,53,17,36,12820,2596,605,1277,282,358,1517,919,205,153,180
MIN,56,27,29,13515,2730,583,1242,354,461,1565,989,238,201,229
BKN,52,20,32,12505,2303,507,1126,274,356,1327,785,195,130,178
NYK,55,26,29,13425,2580,536,1101,330,414,1441,1031,240,169,208
ORL,54,32,22,13010,2408,494,967,262,327,1296,1052,258,160,164
IND,55,30,25,13225,2510,529,1088,358,428,1457,1006,261,146,216
PHI,52,18,34,12605,2451,522,1068,315,396,1399,934,240,181,198
PHX,55,26,29,13300,2550,585,1209,297,378,1524,862,225,193,188
POR,53,27,26,12770,2416,541,1070,316,385,1437,921,248,156,192
SAC,52,23,29,12530,2655,642,1238,288,356,1619,977,252,189,177
SAS,52,38,14,12530,2499,590,1165,312,395,1527,924,271,150,199
OKC,52,27,25,12630,2561,548,1115,284,351,1418,1031,249,166,176
TOR,55,30,25,13300,2658,577,1115,317,387,1514,1111,265,167,193
UTA,54,27,27,13034,2292,537,1142,299,379,1418,776,197,135,190
MEM,53,21,32,12770,2644,455,1095,321,395,1261,1107,284,185,196
WAS,52,28,24,12530,2570,584,1243,299,373,1523,904,223,156,187
DET,53,39,14,12795,2300,569,1139,323,414,1521,770,226,134,206
CHA,55,40,15,13350,2660,660,1211,287,361,1661,1041,261,160,180
