TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Philadelphia 76ers,68,622,8.5,1.18,736,271,486,55.8,60.7,15.9,9.3,15.6,3.4,55.8,69.0
Los Angeles Lakers,70,550,6.9,1.28,705,288,469,61.4,64.5,13.3,4.7,12.9,3.3,61.5,93.1
Milwaukee Bucks,69,533,6.8,1.19,633,244,470,51.9,61.0,9.4,4.9,9.4,3.0,51.2,72.4
Phoenix Suns,69,536,6.9,1.17,626,266,464,57.3,60.2,10.8,6.2,11.0,3.7,56.2,55.2
Cleveland Cavaliers,72,590,7.6,1.06,625,250,477,52.4,55.7,12.5,9.7,11.5,3.1,51.2,10.3
Dallas Mavericks,70,476,6.4,1.31,622,236,405,58.3,66.9,13.0,5.7,12.6,3.8,58.2,96.6
Chicago Bulls,68,552,7.4,1.1,610,256,475,53.9,57.3,9.1,8.0,8.9,3.1,51.8,31.0
Indiana Pacers,69,530,6.8,1.07,570,208,433,48.0,53.5,15.3,6.6,14.7,3.8,50.4,20.7
Atlanta Hawks,69,455,5.8,1.22,554,235,395,59.5,62.4,11.2,5.5,11.0,3.5,59.1,82.8
Charlotte Hornets,71,455,5.6,1.19,542,209,370,56.5,59.3,19.1,5.5,18.5,5.9,57.8,79.3
Houston Rockets,69,485,6.1,1.1,536,211,394,53.6,57.0,14.6,8.0,13.8,3.9,53.2,34.5
Miami Heat,71,496,6.4,1.05,521,202,415,48.7,51.1,12.9,5.8,12.7,2.6,50.6,0.0
Washington Wizards,69,445,5.9,1.16,518,191,357,53.5,59.2,15.7,7.2,15.3,3.1,53.9,51.7
Denver Nuggets,69,391,5.2,1.31,512,207,330,62.7,67.7,12.5,5.6,12.0,2.6,61.9,100.0
Minnesota Timberwolves,70,400,5.1,1.18,473,185,325,56.9,62.3,14.5,8.0,13.8,3.8,56.0,65.5
Orlando Magic,69,422,5.5,1.1,466,171,344,49.7,55.8,13.7,8.1,13.5,3.6,50.5,27.6
Detroit Pistons,70,390,4.9,1.19,464,179,323,55.4,61.3,13.3,6.7,12.1,3.1,55.4,75.9
Oklahoma City Thunder,69,406,5.1,1.1,445,170,357,47.6,56.7,7.4,5.9,7.4,1.2,47.5,24.1
New Orleans Pelicans,69,388,5.0,1.13,437,166,318,52.2,55.5,15.2,4.6,14.7,1.8,55.7,41.4
Utah Jazz,69,361,4.6,1.18,426,167,311,53.7,58.8,11.6,5.0,10.8,2.8,54.0,62.1
Toronto Raptors,69,396,5.1,1.06,419,170,339,50.1,54.1,11.4,7.1,10.9,4.0,49.7,6.9
Memphis Grizzlies,68,331,4.2,1.23,407,162,273,59.3,63.0,17.2,6.0,16.6,6.0,58.9,86.2
Boston Celtics,70,360,4.7,1.11,400,153,313,48.9,58.5,6.9,7.5,6.9,1.4,47.8,37.9
San Antonio Spurs,69,361,4.5,1.05,381,160,310,51.6,56.1,9.4,7.8,9.4,3.0,49.6,3.4
Sacramento Kings,68,310,4.1,1.17,364,149,255,58.4,62.9,12.6,8.4,11.9,3.2,56.1,58.6
Brooklyn Nets,69,333,4.5,1.07,356,147,272,54.0,57.4,12.9,9.3,12.6,4.2,52.3,17.2
LA Clippers,70,307,4.0,1.14,351,136,236,57.6,62.3,14.7,11.1,14.0,2.6,55.0,44.8
Golden State Warriors,70,301,3.8,1.16,349,138,249,55.4,60.8,13.0,7.0,12.6,2.7,54.8,48.3
Portland Trail Blazers,69,314,4.2,1.06,334,133,246,54.1,57.1,15.9,11.5,15.3,6.1,51.6,13.8
New York Knicks,71,239,3.0,1.23,294,121,209,57.9,63.2,10.9,3.8,9.6,2.1,58.2,89.7
