TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Denver Nuggets,69,603,8.0,1.09,659,250,435,57.5,57.5,20.6,13.1,18.1,6.1,55.1,89.7
Milwaukee Bucks,69,556,7.1,0.97,542,221,427,51.8,51.8,13.5,12.8,11.5,3.2,49.3,51.7
Philadelphia 76ers,68,426,5.9,1.11,473,164,309,53.1,53.1,22.3,9.6,18.8,4.7,55.4,96.6
Chicago Bulls,68,418,5.6,1.11,464,186,337,55.2,55.2,17.2,7.7,15.1,5.5,55.3,93.1
Phoenix Suns,69,448,5.8,1.0,446,190,358,53.1,53.1,11.4,10.9,8.7,2.2,50.2,58.6
Dallas Mavericks,70,384,5.2,1.12,429,155,272,57.0,57.0,23.2,9.6,21.9,4.2,58.6,100.0
New Orleans Pelicans,69,444,5.7,0.96,427,158,307,51.5,51.5,19.6,16.2,17.8,5.0,49.5,41.4
Los Angeles Lakers,70,402,5.0,1.0,401,153,314,48.7,48.7,17.9,9.2,16.4,5.2,50.2,65.5
Toronto Raptors,69,416,5.3,0.9,376,149,322,46.3,46.3,13.7,10.3,12.0,1.4,47.1,14.3
Washington Wizards,69,370,4.9,1.01,374,142,273,52.0,52.0,18.4,13.2,16.8,5.7,50.8,72.4
LA Clippers,70,359,4.7,1.03,371,147,278,52.9,52.9,14.5,10.9,12.8,2.8,52.1,86.2
San Antonio Spurs,69,356,4.5,0.97,345,137,267,51.3,51.3,15.4,13.8,13.5,4.2,48.3,48.3
Houston Rockets,69,343,4.3,0.95,327,131,242,54.1,54.1,14.3,17.8,10.5,2.6,49.0,34.5
Portland Trail Blazers,69,335,4.5,0.93,313,124,245,50.6,50.6,15.2,14.9,14.3,3.9,47.8,31.0
Miami Heat,71,312,4.1,0.93,291,118,240,49.2,49.2,12.5,13.5,12.2,2.9,47.4,27.6
Sacramento Kings,68,278,3.6,1.03,286,113,205,55.1,55.1,16.2,12.6,12.6,2.9,53.6,82.8
New York Knicks,71,303,3.8,0.84,256,96,219,43.8,43.8,16.5,13.9,14.9,2.6,44.2,6.9
Orlando Magic,69,258,3.4,0.98,254,95,182,52.2,52.2,17.8,14.7,14.7,3.1,50.4,55.2
Detroit Pistons,70,308,3.9,0.82,254,99,236,41.9,41.9,13.3,12.7,11.4,2.6,42.2,3.4
Atlanta Hawks,69,251,3.2,1.0,250,98,199,49.2,49.2,15.5,7.6,13.5,2.4,51.4,62.1
Boston Celtics,70,228,2.9,1.03,234,89,174,51.1,51.1,17.1,11.0,15.8,4.8,51.3,79.3
Memphis Grizzlies,68,241,3.1,0.93,224,88,175,50.3,50.3,16.2,13.7,14.9,2.9,48.5,24.1
Minnesota Timberwolves,70,233,3.0,0.96,223,73,144,50.7,50.7,25.8,15.5,21.0,3.4,50.2,37.9
Cleveland Cavaliers,72,248,3.2,0.81,201,77,187,41.2,41.2,13.7,12.1,10.5,1.2,41.9,0.0
Charlotte Hornets,71,208,2.6,0.9,188,72,155,46.5,46.5,18.8,10.1,14.4,3.4,48.1,14.3
Brooklyn Nets,69,176,2.4,1.01,177,69,131,52.7,52.7,14.8,13.6,12.5,2.8,50.0,69.0
Indiana Pacers,69,182,2.3,0.97,176,65,132,49.2,49.2,17.6,13.2,15.4,3.3,50.0,44.8
Golden State Warriors,70,181,2.3,0.86,156,63,132,47.7,47.7,11.6,17.7,9.4,2.2,43.1,10.3
Utah Jazz,69,170,2.2,0.91,154,58,119,48.7,48.7,15.9,15.9,13.5,2.4,46.5,20.7
Oklahoma City Thunder,69,125,1.6,1.02,127,43,88,48.9,48.9,20.8,11.2,19.2,2.4,52.0,75.9
