TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ%,TOV FREQ%,SF FREQ%,AND ONE FREQ%,SCORE FREQ%,PERCENTILE
Orlando Magic,68,480,6.4,0.61,294,61,136,44.9,48.5,22.9,50.2,4.0,1.5,32.5,89.7
Sacramento Kings,66,415,5.6,0.65,270,58,113,51.3,54.9,21.9,52.3,4.8,1.4,33.7,100.0
Washington Wizards,67,437,6.0,0.6,264,50,108,46.3,50.9,24.0,52.4,3.7,1.1,33.0,86.2
Utah Jazz,68,504,6.5,0.52,264,51,132,38.6,42.8,21.2,52.8,2.6,0.4,28.8,31.0
Indiana Pacers,68,454,5.9,0.58,262,50,130,38.5,44.6,21.4,51.1,3.3,1.1,30.0,72.4
LA Clippers,69,458,6.1,0.57,260,56,129,43.4,50.0,19.0,53.9,2.6,1.1,27.9,65.5
Brooklyn Nets,67,441,6.2,0.58,258,46,108,42.6,46.3,23.1,52.8,2.0,0.5,31.1,79.3
Portland Trail Blazers,67,476,6.5,0.54,258,41,98,41.8,48.0,22.9,56.9,2.5,0.4,29.4,44.8
Detroit Pistons,68,471,6.1,0.54,252,42,114,36.8,40.8,22.1,54.6,4.0,0.8,28.9,41.4
Milwaukee Bucks,67,458,6.0,0.55,250,47,121,38.8,45.0,21.0,54.1,3.9,1.5,28.8,48.3
New York Knicks,69,395,5.1,0.63,248,41,109,37.6,42.2,26.1,47.3,3.8,1.0,34.2,96.6
Miami Heat,69,437,5.8,0.57,248,38,99,38.4,41.9,24.3,53.3,2.7,0.2,31.4,62.1
Dallas Mavericks,68,449,6.2,0.55,247,33,101,32.7,36.6,27.2,50.8,2.7,0.4,31.0,55.2
Los Angeles Lakers,67,413,5.4,0.59,245,48,112,42.9,46.4,23.0,50.4,3.4,0.5,32.0,82.8
Phoenix Suns,67,461,6.1,0.53,245,39,110,35.5,38.2,23.0,53.8,2.4,0.7,29.3,37.9
Atlanta Hawks,68,377,4.9,0.61,231,50,101,49.5,54.5,19.6,54.6,5.6,1.1,31.6,93.1
Houston Rockets,67,455,5.9,0.5,229,57,141,40.4,44.0,16.0,53.4,2.6,0.4,27.0,20.7
Golden State Warriors,68,515,6.6,0.44,226,45,119,37.8,42.4,17.7,60.0,2.7,0.8,24.5,3.4
Minnesota Timberwolves,68,440,5.8,0.51,222,49,115,42.6,52.2,16.1,58.2,4.1,0.5,25.7,24.1
Memphis Grizzlies,66,418,5.5,0.53,221,41,98,41.8,46.4,25.1,51.7,2.2,0.5,30.6,34.5
Toronto Raptors,68,367,4.8,0.58,214,32,106,30.2,33.5,26.7,45.2,4.1,1.1,32.2,75.9
Cleveland Cavaliers,69,382,5.2,0.55,211,35,94,37.2,40.4,22.0,53.7,3.4,0.3,29.8,58.6
Boston Celtics,68,380,5.1,0.55,209,34,85,40.0,47.6,21.6,56.3,2.6,0.3,28.9,51.7
Denver Nuggets,67,459,6.2,0.46,209,39,101,38.6,44.6,19.6,58.4,2.0,0.0,25.5,6.9
Charlotte Hornets,69,410,5.2,0.51,208,37,93,39.8,43.0,20.7,56.6,3.2,0.0,27.6,27.6
Oklahoma City Thunder,67,360,4.7,0.57,205,44,130,33.8,36.9,19.2,45.6,4.4,1.1,29.4,69.0
New Orleans Pelicans,67,419,5.6,0.47,198,37,96,38.5,42.2,19.1,58.7,3.3,0.7,26.0,10.3
Philadelphia 76ers,66,390,5.5,0.5,196,33,88,37.5,42.6,19.5,58.2,2.8,0.3,26.7,17.2
San Antonio Spurs,66,455,6.0,0.39,176,43,107,40.2,42.5,13.8,63.5,1.5,0.9,21.3,0.0
Chicago Bulls,67,353,4.8,0.47,167,37,77,48.1,49.4,18.1,60.6,5.1,0.6,26.9,13.8
