team,gp,min,pts,fgm,fga,3pm,3pa
ATL,54,13085,1497,514,1424,469,1324
BOS,53,12895,1312,451,1220,410,1130
CLE,55,13375,1510,516,1291,478,1197
NOP,55,13350,1630,560,1555,510,1425
CHI,52,12605,1592,540,1467,512,1393
DAL,54,13135,1426,489,1280,448,1193
DEN,54,13010,1504,515,1417,474,1308
GSW,53,12845,1567,537,1413,493,1318
HOU,53,12770,1657,566,1553,525,1467
LAC,56,13515,1521,526,1415,469,1283
LAL,54,13135,1572,543,1461,486,1337
MIA,54,13035,1759,609,1600,541,1455
MIL,53,12820,1285,448,1273,389,1126
MIN,56,13515,1701,585,1546,531,1419
BKN,52,12505,1436,487,1267,462,1181
NYK,55,13425,1671,573,1585,525,1478
ORL,54,13010,1609,547,1508,515,1419
IND,55,13225,1657,572,1460,513,1345
PHI,52,12605,1412,485,1332,442,1235
PHX,55,13300,1422,487,1281,448,1203
POR,53,12770,1483,511,1337,461,1224
SAC,52,12530,1402,485,1311,432,1206
SAS,53,12770,1486,509,1220,468,1130
OKC,52,12630,1603,543,1467,517,1400
TOR,55,13300,1649,561,1474,527,1395
UTA,54,13035,1301,444,1231,413,1148
MEM,53,12770,1639,565,1511,509,1402
WAS,52,12530,1353,463,1267,427,1172
DET,54,13035,1386,474,1328,438,1239
CHA,55,13350,1753,603,1563,547,1435
