PLAYER,TEAM,POSITION,AGE,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,year
Brook Lopez,MIL,C,35.0,54,54,100.0,604,1275,47.4,50.0,-2.6,2024
Nikola Jokic,DEN,C,29.0,54,54,100.0,565,1104,51.2,51.2,0.0,2024
Alperen Sengun,HOU,C,21.0,55,55,100.0,507,1042,48.7,50.5,-1.8,2024
Rudy Gobert,MIN,C,31.0,55,55,100.0,442,1026,43.1,49.9,-6.8,2024
Anthony Davis,LAL,F-C,30.0,54,54,100.0,488,1018,47.9,49.7,-1.7,2024
Domantas Sabonis,SAC,F-C,27.0,55,55,100.0,473,964,49.1,51.0,-1.9,2024
Scottie Barnes,TOR,F-G,22.0,56,56,100.0,462,946,48.8,48.5,0.4,2024
Chet Holmgren,OKC,C-F,21.0,56,56,100.0,427,941,45.4,50.7,-5.3,2024
Deni Avdija,WAS,F,23.0,55,55,100.0,405,872,46.4,48.3,-1.8,2024
Coby White,CHI,G,24.0,56,56,100.0,446,866,51.5,46.9,4.6,2024
Jarrett Allen,CLE,C,25.0,50,50,100.0,421,863,48.8,50.0,-1.2,2024
Jeremy Sochan,SAS,F,20.0,57,57,100.0,428,851,50.3,48.5,1.7,2024
Nikola Vucevic,CHI,C,33.0,51,51,100.0,408,846,48.2,49.6,-1.4,2024
Myles Turner,IND,C-F,27.0,53,53,100.0,418,823,50.8,49.9,0.9,2024
Austin Reaves,LAL,G,25.0,58,58,100.0,405,821,49.3,46.9,2.4,2024
Jusuf Nurkic,PHX,C,29.0,53,53,100.0,397,817,48.6,49.8,-1.3,2024
Victor Wembanyama,SAS,F-C,20.0,51,51,100.0,367,793,46.3,50.7,-4.5,2024
Kristaps Porzingis,BOS,F-C,28.0,41,41,100.0,336,787,42.7,48.9,-6.2,2024
Max Strus,CLE,G-F,27.0,55,55,100.0,334,787,42.4,47.0,-4.6,2024
Shai Gilgeous-Alexander,OKC,G,25.0,55,55,100.0,353,786,44.9,46.7,-1.8,2024
Daniel Gafford,DAL,F-C,25.0,49,49,100.0,402,784,51.3,51.3,0.0,2024
Paolo Banchero,ORL,F,21.0,56,56,100.0,373,780,47.8,48.7,-0.9,2024
Grayson Allen,PHX,G,28.0,51,51,100.0,365,772,47.3,47.4,-0.1,2024
Luka Doncic,DAL,F-G,24.0,48,48,100.0,368,759,48.5,47.6,0.9,2024
Ivica Zubac,LAC,C,26.0,45,45,100.0,343,755,45.4,49.8,-4.4,2024
Jrue Holiday,BOS,G,33.0,51,51,100.0,342,745,45.9,47.6,-1.7,2024
Paul George,LAC,F,33.0,52,52,100.0,330,738,44.7,47.4,-2.7,2024
Pascal Siakam,IND,F,29.0,54,54,100.0,375,732,51.2,47.7,3.5,2024
Lauri Markkanen,UTA,F-C,26.0,46,46,100.0,365,730,50.0,48.8,1.2,2024
Nic Claxton,BKN,C,24.0,43,43,100.0,340,728,46.7,49.1,-2.4,2024
Joel Embiid,PHI,C-F,29.0,34,34,100.0,320,724,44.2,50.5,-6.3,2024
Brandon Miller,CHA,F,21.0,50,50,100.0,362,720,50.3,47.6,2.7,2024
Jonas Valanciunas,NOP,C,31.0,57,57,100.0,381,717,53.1,51.4,1.7,2024
Karl-Anthony Towns,MIN,C-F,28.0,55,55,100.0,342,717,47.7,48.2,-0.5,2024
Derrick White,BOS,G,29.0,52,52,100.0,320,716,44.7,47.3,-2.6,2024
Buddy Hield,PHI,G,31.0,58,58,100.0,376,715,52.6,47.1,5.5,2024
Bogdan Bogdanovic,ATL,G,31.0,54,54,100.0,347,710,48.9,46.5,2.4,2024
Giannis Antetokounmpo,MIL,F,29.0,55,55,100.0,321,697,46.1,48.7,-2.6,2024
Onyeka Okongwu,ATL,F-C,23.0,53,53,100.0,351,694,50.6,49.1,1.4,2024
Trae Young,ATL,G,25.0,51,51,100.0,350,688,50.9,46.4,4.5,2024
Jabari Smith Jr.,HOU,F,20.0,51,51,100.0,318,684,46.5,48.2,-1.8,2024
Walker Kessler,UTA,C,22.0,48,48,100.0,308,683,45.1,49.9,-4.8,2024
Jaren Jackson Jr.,MEM,F-C,24.0,52,52,100.0,323,682,47.4,49.7,-2.3,2024
James Harden,LAC,G,34.0,50,50,100.0,314,681,46.1,47.5,-1.4,2024
Jakob Poeltl,TOR,C,28.0,45,45,100.0,338,680,49.7,50.3,-0.6,2024
Isaiah Hartenstein,NYK,C-F,25.0,51,51,100.0,305,675,45.2,49.8,-4.6,2024
Harrison Barnes,SAC,F,31.0,55,55,100.0,338,675,50.1,48.6,1.4,2024
Deandre Ayton,POR,C,25.0,38,38,100.0,312,673,46.4,49.6,-3.3,2024
Dejounte Murray,ATL,G,27.0,53,53,100.0,338,672,50.3,47.4,2.9,2024
Zach Collins,SAS,F-C,26.0,45,45,100.0,346,667,51.9,50.0,1.9,2024
Dillon Brooks,HOU,G-F,28.0,47,47,100.0,320,663,48.3,47.9,0.4,2024
D'Angelo Russell,LAL,G,28.0,53,53,100.0,320,661,48.4,46.8,1.6,2024
Josh Hart,NYK,G,28.0,55,55,100.0,309,661,46.7,47.3,-0.5,2024
Luguentz Dort,OKC,G,24.0,54,54,100.0,293,661,44.3,47.3,-3.0,2024
Jalen Johnson,ATL,F,22.0,42,42,100.0,322,661,48.7,48.4,0.3,2024
Jalen Brunson,NYK,G,27.0,53,53,100.0,322,659,48.9,46.8,2.0,2024
