PLAYER,TEAM,POSITION,AGE,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,year
Brook Lopez,MIL,C,36.0,79,79,38.5,377,676,55.8,64.1,-8.3,2024
Chet Holmgren,OKC,C-F,21.0,82,82,50.4,353,668,52.8,64.4,-11.5,2024
Nikola Jokic,DEN,C,29.0,78,78,42.1,424,654,64.8,64.5,0.4,2024
Jarrett Allen,CLE,C,25.0,77,77,48.9,362,635,57.0,64.3,-7.3,2024
Domantas Sabonis,SAC,F-C,27.0,82,82,44.2,364,622,58.5,64.2,-5.6,2024
Victor Wembanyama,SAS,F-C,20.0,71,70,49.7,315,590,53.4,64.4,-11.1,2024
Myles Turner,IND,C-F,28.0,77,76,49.9,344,578,59.5,64.4,-4.8,2024
Rudy Gobert,MIN,C,31.0,74,74,41.2,282,578,48.8,63.1,-14.4,2024
Anthony Davis,LAL,F-C,31.0,76,76,40.0,324,575,56.3,63.9,-7.6,2024
Nikola Vucevic,CHI,C,33.0,76,76,43.9,346,541,64.0,64.1,-0.2,2024
Daniel Gafford,DAL,F-C,25.0,73,73,48.0,315,540,58.3,64.6,-6.3,2024
Deni Avdija,WAS,F,23.0,74,73,43.4,326,535,60.9,62.9,-2.0,2024
Alperen Sengun,HOU,C,21.0,63,63,44.6,315,528,59.7,64.6,-4.9,2024
Jusuf Nurkic,PHX,C,29.0,75,75,43.2,280,509,55.0,63.6,-8.6,2024
Nic Claxton,BKN,C,24.0,68,68,42.8,277,501,55.3,63.1,-7.9,2024
Paolo Banchero,ORL,F,21.0,80,79,43.6,297,493,60.2,63.8,-3.5,2024
Brandon Miller,CHA,F,21.0,74,73,45.8,310,492,63.0,62.9,0.1,2024
Isaiah Hartenstein,NYK,C-F,25.0,75,74,48.3,250,470,53.2,64.4,-11.2,2024
Nick Richards,CHA,C,26.0,67,66,52.2,280,458,61.1,64.3,-3.1,2024
Ivica Zubac,LAC,C,27.0,68,68,39.1,231,447,51.7,63.4,-11.7,2024
Kristaps Porzingis,BOS,F-C,28.0,57,57,41.3,222,446,49.8,63.4,-13.6,2024
Dejounte Murray,ATL,G,27.0,77,76,44.8,286,439,65.1,63.2,2.0,2024
Scottie Barnes,TOR,F-G,22.0,59,58,43.8,273,437,62.5,63.2,-0.8,2024
Pascal Siakam,IND,F,30.0,79,78,39.8,274,434,63.1,63.1,0.0,2024
Clint Capela,ATL,C,29.0,72,72,45.2,252,431,58.5,64.2,-5.7,2024
Zach Collins,SAS,F-C,26.0,69,67,44.0,252,425,59.3,63.7,-4.4,2024
Luka Doncic,DAL,F-G,25.0,70,69,38.9,268,423,63.4,63.3,0.1,2024
Austin Reaves,LAL,G,25.0,82,81,35.3,264,421,62.7,63.0,-0.3,2024
Paul George,LAC,F,33.0,74,72,39.7,235,417,56.4,62.4,-6.0,2024
Jonas Valanciunas,NOP,C,31.0,82,81,43.2,266,417,63.8,64.3,-0.5,2024
Evan Mobley,CLE,C,22.0,50,50,46.7,224,416,53.8,63.6,-9.8,2024
Shai Gilgeous-Alexander,OKC,G,25.0,75,75,39.8,256,415,61.7,62.6,-0.9,2024
Coby White,CHI,G,24.0,79,78,34.1,291,413,70.5,63.1,7.3,2024
Jeremy Sochan,SAS,F,20.0,74,74,37.1,258,410,62.9,63.7,-0.8,2024
P.J. Washington,DAL,F,25.0,72,72,43.1,250,409,61.1,63.3,-2.2,2024
Jabari Smith Jr.,HOU,F,20.0,76,75,37.8,241,407,59.2,64.0,-4.7,2024
Keegan Murray,SAC,F,23.0,77,77,41.3,236,403,58.6,63.1,-4.6,2024
Buddy Hield,PHI,G,31.0,83,82,42.4,247,402,61.4,62.2,-0.8,2024
Walker Kessler,UTA,C,22.0,63,63,45.4,205,399,51.4,63.1,-11.7,2024
Josh Hart,NYK,G,29.0,81,81,36.4,238,398,59.8,63.7,-3.9,2024
Paul Reed,PHI,F,24.0,81,80,47.7,240,397,60.5,63.5,-3.0,2024
Jaren Jackson Jr.,MEM,F-C,24.0,66,66,43.3,218,393,55.5,63.6,-8.1,2024
Precious Achiuwa,NYK,F,24.0,73,71,45.1,229,392,58.4,63.3,-4.9,2024
Grayson Allen,PHX,G,28.0,74,74,34.1,245,391,62.7,63.0,-0.3,2024
Jalen Johnson,ATL,F,22.0,56,56,45.4,241,391,61.6,63.8,-2.2,2024
DeMar DeRozan,CHI,G-F,34.0,79,79,40.5,240,390,61.5,63.2,-1.6,2024
Kyle Kuzma,WAS,F,28.0,70,69,44.7,246,386,63.7,64.2,-0.4,2024
Derrick White,BOS,G,29.0,73,73,37.7,218,381,57.2,62.6,-5.4,2024
Kelly Olynyk,TOR,F-C,32.0,77,76,42.7,251,379,66.2,63.9,2.4,2024
Jrue Holiday,BOS,G,33.0,69,68,36.7,211,368,57.3,63.5,-6.1,2024
Bogdan Bogdanovic,ATL,G,31.0,78,76,34.4,224,366,61.2,62.6,-1.4,2024
James Harden,LAC,G,34.0,72,71,37.8,233,365,63.8,63.5,0.4,2024
Jakob Poeltl,TOR,C,28.0,49,49,48.7,208,363,57.3,64.0,-6.7,2024
Giannis Antetokounmpo,MIL,F,29.0,73,72,39.4,193,359,53.8,63.2,-9.4,2024
Bobby Portis,MIL,F,29.0,82,80,43.5,231,357,64.7,63.2,1.6,2024
Aaron Nesmith,IND,G-F,24.0,72,72,39.2,186,354,52.5,63.9,-11.4,2024
Deandre Ayton,POR,C,25.0,55,55,34.6,220,353,62.3,63.9,-1.5,2024
John Collins,UTA,F-C,26.0,67,65,42.9,218,352,61.9,64.0,-2.1,2024
Jalen Duren,DET,C,20.0,61,60,38.8,223,352,63.4,64.8,-1.4,2024
Josh Giddey,OKC,G,21.0,80,80,42.9,203,351,57.8,62.1,-4.3,2024
Joel Embiid,PHI,C-F,30.0,39,39,42.3,188,351,53.6,64.1,-10.6,2024
Mikal Bridges,BKN,G-F,27.0,79,76,38.7,213,350,60.9,62.6,-1.7,2024
Bruce Brown,TOR,G-F,27.0,67,65,42.3,231,350,66.0,63.1,2.9,2024
Cade Cunningham,DET,G,22.0,62,61,40.8,227,348,65.2,62.2,3.1,2024
Max Strus,CLE,G-F,28.0,70,69,34.8,193,347,55.6,62.5,-6.9,2024
Jaden Ivey,DET,G,22.0,77,76,41.2,202,346,58.4,62.2,-3.8,2024
Miles Bridges,CHA,F,26.0,69,69,35.5,225,343,65.6,63.7,1.9,2024
Naz Reid,MIN,C-F,24.0,79,77,44.2,196,342,57.3,63.3,-6.0,2024
Fred VanVleet,HOU,G,30.0,73,72,35.5,207,342,60.5,62.4,-1.9,2024
Lauri Markkanen,UTA,F-C,26.0,54,54,41.4,206,342,60.2,63.3,-3.1,2024
Dereck Lively II,DAL,C,20.0,55,55,40.1,200,341,58.7,63.9,-5.3,2024
D'Angelo Russell,LAL,G,28.0,76,75,33.9,224,339,66.1,63.0,3.0,2024
Kevin Durant,PHX,F,35.0,74,73,36.2,197,338,58.3,63.7,-5.4,2024
Donte DiVincenzo,NYK,G,27.0,81,80,39.6,224,338,66.3,63.2,3.1,2024
Bam Adebayo,MIA,C-F,26.0,70,69,34.3,194,335,57.9,63.8,-5.9,2024
Tobias Harris,PHI,F,31.0,69,69,38.8,209,335,62.4,64.0,-1.6,2024
Dillon Brooks,HOU,G-F,28.0,72,70,33.2,213,335,63.6,63.5,0.1,2024
Michael Porter Jr.,DEN,F,25.0,80,80,42.6,198,332,59.6,62.9,-3.2,2024
De'Aaron Fox,SAC,G,26.0,74,73,33.9,214,332,64.5,63.0,1.4,2024
Dennis Schroder,BKN,G,30.0,79,78,35.6,225,332,67.8,62.3,5.5,2024
Dorian Finney-Smith,BKN,F,30.0,66,64,41.5,191,329,58.1,62.9,-4.9,2024
