Rk,Season,Lg,Age,Ht,Wt,G,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
1,2025-26,NBA,26.3,6-7,216,519,41.8,88.8,13.2,36.7,19.2,24.3,11.5,32.2,43.7,26.4,8.4,4.8,14.7,20.7,115.9,.470,.360,.788,100.0,.545,12.8,26.2,.216,115.9,0.5824588911671291
2,2024-25,NBA,26.3,6-7,216,1230,42.0,89.8,13.6,37.8,17.0,21.8,11.2,33.2,44.4,26.7,8.3,4.9,14.4,18.7,114.5,.467,.360,.780,98.8,.543,12.6,25.2,.189,114.5,0.5760020927237605
3,2023-24,NBA,26.4,6-6,217,1230,42.6,89.7,13.0,35.4,17.2,21.9,10.7,33.3,43.9,26.9,7.5,5.2,13.7,18.9,115.3,.474,.366,.784,98.5,.547,12.1,24.2,.192,115.3,0.5803535475557703
4,2022-23,NBA,26.1,6-6,217,1230,42.0,88.4,12.4,34.2,18.4,23.6,10.4,33.0,43.5,25.3,7.3,4.7,14.1,20.0,114.8,.475,.361,.782,99.2,.545,12.5,24.0,.208,114.8,0.5810657596371882
5,2021-22,NBA,26.1,6-6,216,1230,41.1,89.2,12.6,35.6,17.1,22.1,10.5,34.5,45.0,24.9,7.7,4.8,13.9,19.9,112.0,.461,.354,.775,98.2,.532,12.3,23.2,.192,112.0,0.5660911406736484
6,2020-21,NBA,26.1,6-6,218,1080,41.3,88.6,12.7,34.7,17.0,21.9,9.9,34.5,44.4,24.9,7.6,4.9,13.9,19.3,112.3,.466,.367,.778,99.2,.538,12.4,22.2,.192,112.3,0.5715827191660898
7,2019-20,NBA,26.1,6-6,218,1059,40.4,87.9,12.1,33.8,17.7,22.9,10.0,34.4,44.4,24.1,7.6,4.8,14.4,20.6,110.6,.460,.358,.773,100.3,.529,12.8,22.5,.201,110.6,0.5644239405568711
8,2018-19,NBA,26.3,6-6,220,1230,40.8,88.6,11.3,31.8,17.6,22.9,10.3,34.6,44.8,24.4,7.6,4.9,14.0,20.8,110.4,.461,.355,.766,100.0,.524,12.4,22.9,.198,110.4,0.5594065426243464
9,2017-18,NBA,26.4,6-7,221,1230,40.5,87.9,10.7,29.6,17.0,22.1,9.9,34.5,44.4,23.7,7.9,4.9,14.6,20.3,108.6,.460,.362,.767,97.3,.521,13.0,22.3,.193,108.6,0.5562156846677045
10,2016-17,NBA,26.6,6-7,222,1230,40.2,88.0,9.9,27.8,18.4,23.8,10.4,34.4,44.8,23.3,7.9,4.9,14.4,20.5,108.8,.457,.358,.772,96.4,.514,12.7,23.3,.209,108.8,0.5524413031115444
11,2015-16,NBA,26.7,6-7,222,1230,39.6,87.6,8.8,25.0,18.3,24.2,10.8,34.6,45.3,23.1,8.1,5.1,14.9,21.0,106.4,.452,.354,.757,95.8,.502,13.2,23.8,.209,106.4,0.5414868496050811
12,2014-15,NBA,26.7,6-7,223,1230,39.6,88.3,8.3,23.7,18.1,24.1,11.5,34.2,45.7,23.3,8.2,5.1,15.2,21.4,105.6,.449,.350,.750,93.9,.496,13.3,25.1,.205,105.6,0.533851007037127
13,2013-14,NBA,26.5,6-7,223,1230,39.8,87.6,8.2,22.7,18.8,24.9,11.5,33.6,45.1,23.2,8.1,5.0,15.5,21.9,106.6,.454,.360,.756,93.9,.501,13.6,25.5,.215,106.6,0.5408092860911563
14,2012-13,NBA,26.7,6-7,223,1229,40.1,88.5,7.7,21.5,18.0,23.9,12.0,33.4,45.4,23.9,8.4,5.5,15.7,21.4,105.8,.453,.359,.753,92.0,.496,13.7,26.5,.204,105.8,0.5342570897632706
15,2011-12,NBA,26.6,6-7,223,990,39.6,88.5,7.0,20.0,18.4,24.4,12.4,33.5,45.8,22.8,8.3,5.5,15.8,21.3,104.6,.448,.349,.752,91.3,.487,13.8,27.0,.208,104.6,0.5270264823249626
16,2010-11,NBA,26.6,6-7,223,1230,40.1,87.5,7.0,19.4,20.0,26.3,11.8,32.8,44.6,23.2,7.9,5.2,15.4,22.3,107.3,.459,.358,.763,92.1,.498,13.4,26.4,.229,107.3,0.5415253552971576
17,2009-10,NBA,26.6,6-7,222,1230,40.4,87.5,6.9,19.4,19.9,26.3,11.7,32.9,44.7,22.8,7.7,5.2,15.2,22.3,107.6,.461,.355,.759,92.7,.501,13.3,26.3,.228,107.6,0.5430394056847545
18,2008-09,NBA,26.6,6-7,221,1230,40.2,87.7,7.2,19.6,20.7,26.8,12.0,32.8,44.7,22.7,7.9,5.2,15.2,22.8,108.3,.459,.367,.771,91.7,.500,13.3,26.7,.236,108.3,0.5442648655168254
19,2007-08,NBA,26.8,6-7,220,1230,40.1,87.7,7.1,19.5,20.3,26.8,12.0,33.1,45.2,23.4,7.8,5.1,15.2,22.6,107.5,.457,.362,.755,92.4,.497,13.2,26.7,.231,107.5,0.5402444417641619
20,2006-07,NBA,26.6,6-7,219,1230,39.4,85.9,6.5,18.3,21.1,28.1,12.0,32.3,44.3,22.9,7.8,5.0,16.3,24.0,106.5,.458,.358,.752,91.9,.496,14.2,27.1,.246,106.5,0.541907514450867
21,2005-06,NBA,26.5,6-7,220,1230,39.2,86.5,6.3,17.5,21.5,28.8,12.2,32.6,44.8,22.6,7.8,5.1,15.8,24.9,106.2,.454,.358,.745,90.5,.490,13.7,27.3,.248,106.2,0.5354333884564192
22,2004-05,NBA,26.9,6-7,220,1230,39.2,87.7,6.1,17.2,21.5,28.4,13.1,32.6,45.7,23.2,8.2,5.3,15.8,24.7,106.1,.447,.356,.756,90.9,.482,13.6,28.7,.245,106.1,0.5294622539821949
23,2003-04,NBA,27.0,6-7,220,1189,38.6,88.0,5.7,16.4,20.1,26.7,13.3,33.2,46.5,23.5,8.7,5.6,16.5,23.6,102.9,.439,.347,.752,90.1,.471,14.2,28.6,.228,102.9,0.5157998155351485
