team,team_id,year
PHW,1610612744,1957
STL,1610612737,1957
SYR,1610612755,1957
BOS,1610612738,1957
FTW,1610612765,1957
MNL,1610612747,1957
PHW,1610612744,1958
SYR,1610612755,1958
DET,1610612765,1958
STL,1610612737,1958
BOS,1610612738,1958
CIN,1610612758,1958
MNL,1610612747,1959
SYR,1610612755,1959
NYK,1610612752,1959
BOS,1610612738,1959
DET,1610612765,1959
STL,1610612737,1959
PHW,1610612744,1960
SYR,1610612755,1960
MNL,1610612747,1960
BOS,1610612738,1960
DET,1610612765,1960
STL,1610612737,1960
PHW,1610612744,1961
SYR,1610612755,1961
LAL,1610612747,1961
BOS,1610612738,1961
DET,1610612765,1961
STL,1610612737,1961
PHW,1610612744,1962
LAL,1610612747,1962
SYR,1610612755,1962
CIN,1610612758,1962
BOS,1610612738,1962
DET,1610612765,1962
LAL,1610612747,1963
STL,1610612737,1963
SYR,1610612755,1963
CIN,1610612758,1963
BOS,1610612738,1963
DET,1610612765,1963
CIN,1610612758,1964
SFW,1610612744,1964
LAL,1610612747,1964
STL,1610612737,1964
PHI,1610612755,1964
BOS,1610612738,1964
CIN,1610612758,1965
LAL,1610612747,1965
STL,1610612737,1965
BAL,1610612764,1965
PHI,1610612755,1965
BOS,1610612738,1965
BAL,1610612764,1966
LAL,1610612747,1966
STL,1610612737,1966
PHI,1610612755,1966
BOS,1610612738,1966
CIN,1610612758,1966
NYK,1610612752,1967
SFW,1610612744,1967
LAL,1610612747,1967
BOS,1610612738,1967
STL,1610612737,1967
CHI,1610612741,1967
PHI,1610612755,1967
CIN,1610612758,1967
SFW,1610612744,1968
CHI,1610612741,1968
NYK,1610612752,1968
LAL,1610612747,1968
STL,1610612737,1968
DET,1610612765,1968
PHI,1610612755,1968
BOS,1610612738,1968
SDR,1610612745,1969
SFW,1610612744,1969
LAL,1610612747,1969
NYK,1610612752,1969
BAL,1610612764,1969
ATL,1610612737,1969
BOS,1610612738,1969
PHI,1610612755,1969
MIL,1610612749,1970
NYK,1610612752,1970
LAL,1610612747,1970
ATL,1610612737,1970
CHI,1610612741,1970
BAL,1610612764,1970
PHO,1610612756,1970
PHI,1610612755,1970
MIL,1610612749,1971
SFW,1610612744,1971
PHI,1610612755,1971
NYK,1610612752,1971
CHI,1610612741,1971
ATL,1610612737,1971
BAL,1610612764,1971
LAL,1610612747,1971
MIL,1610612749,1972
ATL,1610612737,1972
NYK,1610612752,1972
GSW,1610612744,1972
CHI,1610612741,1972
LAL,1610612747,1972
BOS,1610612738,1972
BAL,1610612764,1972
MIL,1610612749,1973
CHI,1610612741,1973
NYK,1610612752,1973
GSW,1610612744,1973
ATL,1610612737,1973
LAL,1610612747,1973
BOS,1610612738,1973
BAL,1610612764,1973
MIL,1610612749,1974
DET,1610612765,1974
CHI,1610612741,1974
NYK,1610612752,1974
LAL,1610612747,1974
BOS,1610612738,1974
BUF,1610612761,1974
CAP,1610612764,1974
HOU,1610612745,1975
KCO,1610612758,1975
BOS,1610612738,1975
NYK,1610612752,1975
GSW,1610612744,1975
CHI,1610612741,1975
DET,1610612765,1975
SEA,1610612760,1975
BUF,1610612761,1975
WSB,1610612764,1975
SEA,1610612760,1976
PHO,1610612756,1976
BUF,1610612761,1976
BOS,1610612738,1976
GSW,1610612744,1976
WSB,1610612764,1976
CLE,1610612739,1976
MIL,1610612749,1976
DET,1610612765,1976
PHI,1610612755,1976
LAL,1610612747,1977
GSW,1610612744,1977
DEN,1610612743,1977
PHI,1610612755,1977
WSB,1610612764,1977
CHI,1610612741,1977
BOS,1610612738,1977
CLE,1610612739,1977
SAS,1610612759,1977
DET,1610612765,1977
POR,1610612757,1977
HOU,1610612745,1977
LAL,1610612747,1978
PHO,1610612756,1978
WSB,1610612764,1978
NYK,1610612752,1978
MIL,1610612749,1978
PHI,1610612755,1978
CLE,1610612739,1978
SAS,1610612759,1978
SEA,1610612760,1978
ATL,1610612737,1978
POR,1610612757,1978
DEN,1610612743,1978
LAL,1610612747,1979
PHO,1610612756,1979
KCK,1610612758,1979
SEA,1610612760,1979
WSB,1610612764,1979
HOU,1610612745,1979
NJN,1610612751,1979
PHI,1610612755,1979
DEN,1610612743,1979
