Player,Team,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Pos,Age,2025-26
Jalen Johnson,ATL,0,0,0,0,UFA,0,0,0,
Dyson Daniels,ATL,0,0,0,0,UFA,0,0,0,
Jonathan Kuminga,ATL,T,UFA,0,0,0,0,0,0,
C.J. McCollum,ATL,0,UFA,0,0,0,0,0,0,
Onyeka Okongwu,ATL,0,0,UFA,0,0,0,0,0,
Nickeil Alexander-Walker,ATL,0,0,P,UFA,0,0,0,0,
Corey Kispert,ATL,0,0,T,UFA,0,0,0,0,
Zaccharie Risacher,ATL,0,T,RFA,0,0,0,0,0,
Buddy Hield,ATL,NG,P,UFA,0,0,0,0,0,
Asa Newell,ATL,0,T,T,RFA,0,0,0,0,
Mouhamed Gueye,ATL,NG,UFA,0,0,0,0,0,0,
Keshon Gilbert,ATL,0,RFA,0,0,0,0,0,0,
RayJ Dennis,ATL,0,RFA,0,0,0,0,0,0,
Jayson Tatum,BOS,0,0,0,P,UFA,0,0,0,
Jaylen Brown,BOS,0,0,0,UFA,0,0,0,0,
Derrick White,BOS,0,0,P,UFA,0,0,0,0,
Sam Hauser,BOS,0,0,0,UFA,0,0,0,0,
Payton Pritchard,BOS,0,0,UFA,0,0,0,0,0,
Hugo Gonzalez,BOS,0,T,T,RFA,0,0,0,0,
Luka Garza,BOS,0,UFA,0,0,0,0,0,0,
Dalano Banton,BOS,T,UFA,0,0,0,0,0,0,
Baylor Scheierman,BOS,0,T,RFA,0,0,0,0,0,
Neemias Queta,BOS,T,UFA,0,0,0,0,0,0,
Ron Harper.,BOS,T,UFA,0,0,0,0,0,0,
Jordan Walsh,BOS,T,UFA,0,0,0,0,0,0,
Amari Williams,BOS,T,RFA,0,0,0,0,0,0,
Max Shulga,BOS,T,RFA,0,0,0,0,0,0,
Michael Porter.,BKN,0,UFA,0,0,0,0,0,0,
Nicolas Claxton,BKN,0,0,UFA,0,0,0,0,0,
Terance Mann,BKN,0,0,UFA,0,0,0,0,0,
Egor Demin,BKN,0,T,T,RFA,0,0,0,0,
Ziaire Williams,BKN,T,UFA,0,0,0,0,0,0,
Day'Ron Sharpe,BKN,T,UFA,0,0,0,0,0,0,
Noah Clowney,BKN,0,RFA,0,0,0,0,0,0,
Nolan Traore,BKN,0,T,T,RFA,0,0,0,0,
Drake Powell,BKN,0,T,T,RFA,0,0,0,0,
Ben Saraf,BKN,0,T,0,RFA,0,0,0,0,
Danny Wolf,BKN,0,T,T,RFA,0,0,0,0,
Josh Minott,BKN,T,UFA,0,0,0,0,0,0,
Malachi Smith,BKN,T,RFA,0,0,0,0,0,0,
LaMelo Ball,CHA,0,0,0,UFA,0,0,0,0,
Miles Bridges,CHA,0,UFA,0,0,0,0,0,0,
Brandon Miller,CHA,0,RFA,0,0,0,0,0,0,
Josh Green,CHA,0,UFA,0,0,0,0,0,0,
Grant Williams,CHA,0,UFA,0,0,0,0,0,0,
Kon Knueppel,CHA,0,T,T,RFA,0,0,0,0,
Tidjane Salaun,CHA,0,T,RFA,0,0,0,0,0,
