Name,EntityId,TeamId,TeamAbbreviation,GamesPlayed,OffPoss,DefPoss,FtPoints,FTA,AtRimFGA,AtRimFGM,AtRimAccuracy,ShortMidRangeFGA,ShortMidRangeFGM,ShortMidRangeAccuracy,ShortMidRangeFrequency,LongMidRangeFGM,LongMidRangeFGA,FG2A,FG2M,FG3A,NonHeaveFg3Pct,NonHeaveArc3FGA,HeaveAttempts,Corner3FGA,Corner3FGM,NonHeaveFg3Pct.1,NonHeaveArc3FGM,TsPct,Points,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShotQualityAvg,year
SEA,1610612760,1610612760,SEA,82,7548,7557,1454,1986,2350,1423,0.605531914893617,1696,600,0.3537735849056603,0.2550759512708678,540,1434,5480,2563,1169,0.4022491349480969,874,13.0,281,114,0.4022491349480969,351,0.5275449101796407,7978,0.4906000902391337,0.5042735042735043,0.4937938478143551,0.5437853107344632,0.546875,0.4870826007326007,0.4757235967302452,0.4752814102564102,2001
DET,1610612765,1610612765,DET,82,7853,7868,1610,2233,2111,1181,0.5594504973945997,1182,399,0.3375634517766497,0.1718023255813953,950,2475,5768,2530,1112,0.3536363636363636,781,12.0,319,120,0.3536363636363636,269,0.494296577946768,7837,0.4525436046511628,0.4887005649717514,0.4283956692913386,0.5070833333333333,0.4976617303195635,0.4935277049180328,0.4723306699751861,0.4758548673856018,2001
CHH,1610612766,1610612766,CHH,82,7462,7444,1599,2146,1821,1068,0.586490939044481,1430,533,0.3727272727272727,0.2199661590524534,859,2266,5517,2460,984,0.349124613800206,786,13.0,184,74,0.349124613800206,265,0.5014044943820225,7539,0.4568527918781725,0.4822006472491909,0.4629521586931155,0.5250709555345316,0.5229591836734694,0.4895180958385877,0.4569649705882353,0.4656654249575813,2001
UTA,1610612762,1610612762,UTA,82,7433,7413,1714,2280,2293,1410,0.6149149585695596,1169,423,0.3618477331052181,0.1858801081252981,802,1975,5437,2635,852,0.3838862559241706,607,8.0,236,106,0.3838862559241706,218,0.53845625600879,7959,0.4965018285896009,0.4842105263157895,0.4756034925526451,0.5251762336354482,0.5419551934826884,0.4995154046997389,0.4738336945304437,0.4803825633264298,2001
VAN,1610612763,1610612763,VAN,82,7598,7605,1457,1892,1638,983,0.6001221001221001,1429,509,0.3561931420573828,0.2185349441810674,1053,2525,5592,2545,947,0.3450106157112526,684,5.0,258,82,0.3450106157112526,243,0.505488548583819,7522,0.4637559259825661,0.4484223300970874,0.4369981470043236,0.4946865037194474,0.5072139303482587,0.4909313103448276,0.4561282608695652,0.4599303645274927,2001
TOR,1610612761,1610612761,TOR,82,7578,7581,1482,1985,1915,1138,0.5942558746736293,1323,453,0.3424036281179138,0.1897590361445783,1028,2570,5808,2619,1164,0.3769771528998242,868,26.0,270,107,0.3769771528998242,322,0.506687898089172,8007,0.4679432013769363,0.4835907335907335,0.444253859348199,0.530442035029191,0.5117837338262476,0.4955141807909605,0.4560103888566454,0.4692012246074052,2001
WAS,1610612764,1610612764,WAS,82,7621,7623,1704,2245,1874,1095,0.5843116328708644,1902,711,0.3738170347003154,0.2947466294746629,752,1829,5605,2558,848,0.3273596176821983,642,11.0,194,68,0.3273596176821983,206,0.5095716198125837,7645,0.4603285293661863,0.4832613390928725,0.4503375120540019,0.5264357338195077,0.5232513451191392,0.4913454433497537,0.4564552235179786,0.4639251165320074,2001
CLE,1610612739,1610612739,CLE,82,7538,7558,1561,2040,2070,1201,0.5801932367149758,1680,618,0.3678571428571429,0.2571953459889773,851,2123,5873,2670,659,0.347068145800317,397,28.0,233,83,0.347068145800317,136,0.5052426401398037,7561,0.4592774035517452,0.5059203444564048,0.4389889599070308,0.5426029962546817,0.5109710550887021,0.4987196933962264,0.4636072061429415,0.470176608682266,2001
CHI,1610612741,1610612741,CHI,82,7403,7402,1410,1909,1822,1021,0.5603732162458837,1533,585,0.3816046966731898,0.2391202620496022,786,2106,5461,2392,950,0.3530042918454936,801,18.0,131,48,0.3530042918454936,281,0.4918111753371869,7181,0.4500857900483544,0.4869668246445497,0.4321933962264151,0.529979674796748,0.4949567723342939,0.4924648703956343,0.450366875,0.4632934820031298,2001
DAL,1610612742,1610612742,DAL,82,7708,7696,1552,1954,1816,1151,0.6338105726872246,1659,631,0.3803496081977094,0.2470220369267421,786,1884,5359,2568,1357,0.3872659176029963,1007,22.0,328,119,0.3872659176029963,398,0.5398886827458256,8239,0.497840976771888,0.4929577464788732,0.4933292904790782,0.5279680365296804,0.5582837301587301,0.4963312695924765,0.4655305214723926,0.4773593035420714,2001
