Player,2026-27,2027-28,2028-29,2029-30,2030-31,Team,Pos,Age,2031-32,Guaranteed,2024-25
Jayson Tatum,58456566.0,62786682.0,67116798.0,71446914.0,4.0,BOS,PF,28.0,0.0,259806960.0,
Devin Booker,57078728.0,61015192.0,63669550.0,68763114.0,4.0,PHX,SG,30.0,0.0,250526584.0,
Shai Gilgeous-Alexander,40806150.0,60637500.0,65488500.0,70339500.0,75190500.0,OKC,PG,28.0,4.0,237271650.0,
Cade Cunningham,50105628.0,53817156.0,57528684.0,61240212.0,4.0,DET,PG,25.0,0.0,222691680.0,
Evan Mobley,50105628.0,53817156.0,57528684.0,61240212.0,4.0,CLE,PF,25.0,0.0,222691680.0,
De'Aaron Fox,49500000.0,53460000.0,57420000.0,61380000.0,4.0,SAS,PG,29.0,0.0,221760000.0,
Jaren Jackson.,49000000.0,50500000.0,52000000.0,53500000.0,4.0,UTA,PF,27.0,0.0,205000000.0,
Anthony Davis,58456566.0,62786682.0,66892000.0,0.0,0.0,WAS,0,0.0,0.0,188135248.0,
Paolo Banchero,41250000.0,47850000.0,47850000.0,51150000.0,54450000.0,ORL,PF,24.0,4.0,188100000.0,
Joel Embiid,57985752.0,62624612.0,67263472.0,4.0,0.0,PHI,C,32.0,0.0,187873840.0,
Franz Wagner,41754690.0,44847630.0,47940570.0,51033510.0,4.0,ORL,SF,25.0,0.0,185576400.0,
Scottie Barnes,41754690.0,44847630.0,47940570.0,51033510.0,4.0,TOR,PF,25.0,0.0,185576400.0,
Chet Holmgren,41250000.0,44550000.0,47850000.0,51150000.0,54450000.0,OKC,C,24.0,4.0,184800000.0,
Jalen Williams,41250000.0,44550000.0,47850000.0,51150000.0,54450000.0,OKC,SF,25.0,4.0,184800000.0,
Jaylen Brown,57078728.0,61015192.0,64951656.0,4.0,0.0,BOS,SF,30.0,0.0,183045580.0,
Jamal Murray,50105628.0,53817156.0,57528684.0,4.0,0.0,DEN,PG,29.0,0.0,161451472.0,
Bam Adebayo,49500000.0,53460000.0,57420000.0,4.0,0.0,MIA,C,29.0,0.0,160380004.0,
Luka Doncic,49500000.0,53460000.0,57420000.0,4.0,0.0,LAL,PG,27.0,0.0,160380004.0,
Tyrese Haliburton,48924624.0,52298736.0,55672848.0,4.0,0.0,IND,PG,26.0,0.0,156896212.0,
Anthony Edwards,48924624.0,52298736.0,55672848.0,4.0,0.0,MIN,SG,25.0,0.0,156896212.0,
Alperen Sengun,35642202.0,37339450.0,39036697.0,39036697.0,4.0,HOU,C,24.0,0.0,151055046.0,
Mikal Bridges,33482145.0,36160714.0,38839285.0,41517856.0,4.0,NYK,SF,30.0,0.0,150000000.0,
Lauri Markkanen,46113154.0,49824681.0,53536209.0,4.0,0.0,UTA,PF,29.0,0.0,149474048.0,
Kyrie Irving,39491282.0,42416562.0,63624843.0,0.0,0.0,DAL,0,0.0,0.0,145532687.0,
Zion Williamson,42166510.0,44886930.0,53864316.0,0.0,0.0,NOP,0,0.0,0.0,140917756.0,
Ja Morant,42166510.0,44886930.0,53864316.0,0.0,0.0,MEM,0,0.0,0.0,140917756.0,
OG Anunoby,42500000.0,45431034.0,48362068.0,4.0,0.0,NYK,SF,29.0,0.0,136293106.0,
Trey Murphy,27000000.0,29000000.0,31000000.0,46500000.0,0.0,NOP,0,0.0,0.0,133500000.0,
Tyrese Maxey,40770520.0,43582280.0,46394040.0,4.0,0.0,PHI,PG,26.0,0.0,130746844.0,
LaMelo Ball,40770520.0,43582280.0,46394040.0,4.0,0.0,CHA,PG,25.0,0.0,130746844.0,
Desmond Bane,39446090.0,42166510.0,44886930.0,4.0,0.0,ORL,SG,28.0,0.0,126499534.0,
Nikola Jokic,59033114.0,62841702.0,4.0,0.0,0.0,DEN,C,31.0,0.0,121874820.0,
Jalen Brunson,37739521.0,40535041.0,43330561.0,4.0,0.0,NYK,PG,30.0,0.0,121605127.0,
Giannis Antetokounmpo,58456566.0,62786682.0,4.0,0.0,0.0,MIL,PF,32.0,0.0,121243252.0,
Jalen Johnson,30000000.0,30000000.0,30000000.0,30000000.0,45000000.0,ATL,0,0.0,0.0,120000000.0,
Karl-Anthony Towns,57078728.0,61015192.0,4.0,0.0,0.0,NYK,C,31.0,0.0,118093924.0,
Jalen Suggs,32400000.0,29600000.0,26800000.0,26700000.0,4.0,ORL,SG,25.0,0.0,115500000.0,
Paul George,54126380.0,56586670.0,4.0,0.0,0.0,PHI,SG,36.0,0.0,110713054.0,
Dejounte Murray,32785071.0,30751504.0,46127256.0,0.0,0.0,NOP,0,0.0,0.0,109663831.0,
Keegan Murray,24137936.0,26068965.0,27999999.0,29931033.0,31862067.0,SAC,PF,26.0,4.0,108137933.0,
Donovan Mitchell,50105628.0,53817156.0,4.0,0.0,0.0,CLE,SG,30.0,0.0,103922788.0,
Aaron Gordon,31978037.0,34536280.0,37094523.0,4.0,0.0,DEN,PF,31.0,0.0,103608844.0,
Jakob Poeltl,19500000.0,27300000.0,29484000.0,27300000.0,4.0,TOR,C,31.0,0.0,103584000.0,
Naz Reid,23275862.0,25000000.0,26724138.0,28448276.0,4.0,MIN,C,27.0,0.0,103448276.0,
Pascal Siakam,48924624.0,52298736.0,4.0,0.0,0.0,IND,PF,32.0,0.0,101223364.0,
Dyson Daniels,25000000.0,25000000.0,25000000.0,25000000.0,37500000.0,ATL,0,0.0,0.0,100000000.0,
Derrick White,30348000.0,32596000.0,34844000.0,4.0,0.0,BOS,PG,32.0,0.0,97788004.0,
Immanuel Quickley,32500000.0,32500000.0,32500000.0,4.0,0.0,TOR,PG,27.0,0.0,97500004.0,
Christian Braun,21551726.0,23275863.0,25000000.0,26724137.0,28448274.0,DEN,SG,25.0,4.0,96551726.0,
Jabari Smith.,23643411.0,21751940.0,23643411.0,25534883.0,27426355.0,HOU,PF,23.0,4.0,94573645.0,
Domantas Sabonis,45472000.0,48608000.0,4.0,0.0,0.0,SAC,C,30.0,0.0,94080004.0,
Jarrett Allen,28000000.0,30240000.0,32480000.0,4.0,0.0,CLE,C,28.0,0.0,90720004.0,
Lillard Damian WAIVED,22516603.0,22516603.0,22516603.0,22516603.0,0.0,MIL,0.0,0.0,0.0,90066412.0,
Kevin Durant,43902439.0,46097561.0,4.0,0.0,0.0,HOU,SF,38.0,0.0,90000004.0,
Shaedon Sharpe,20089287.0,21696429.0,23303571.0,24910713.0,4.0,POR,SG,23.0,0.0,90000000.0,
PJ Washington,19813044.0,21398087.0,22983132.0,24568176.0,36852261.0,DAL,0,0.0,0.0,88762439.0,
Darius Garland,42166510.0,44886930.0,4.0,0.0,0.0,LAC,PG,27.0,0.0,87053444.0,
Jordan Poole,34044642.0,51306600.0,0.0,0.0,0.0,NOP,0,0.0,0.0,85351242.0,
Jaden McDaniels,26200000.0,28006898.0,29813790.0,4.0,0.0,MIN,PF,26.0,0.0,84020692.0,
Myles Turner,26584164.0,27850077.0,29115990.0,4.0,0.0,MIL,C,30.0,0.0,83550235.0,
Daniel Gafford,17263584.0,18126763.0,18989942.0,28484913.0,0.0,DAL,0,0.0,0.0,82865202.0,
Herb Jones,14898786.0,20858300.0,22526964.0,24195628.0,36293442.0,NOP,0,0.0,0.0,82479678.0,
Brandon Ingram,40000000.0,41904762.0,4.0,0.0,0.0,TOR,SF,29.0,0.0,81904766.0,
Toumani Camara,18080358.0,19526786.0,20973214.0,22419642.0,4.0,POR,PF,26.0,0.0,81000000.0,
Devin Vassell,27500000.0,25108696.0,27500000.0,4.0,0.0,SAS,SG,26.0,0.0,80108700.0,
Bradley Beal,19383010.0,19383010.0,19383010.0,19383010.0,0.0,PHX,0.0,0.0,0.0,77532040.0,
Josh Giddey,25000000.0,25000000.0,25000000.0,4.0,0.0,CHI,SG,24.0,0.0,75000004.0,
Rudy Gobert,36500000.0,38000000.0,4.0,0.0,0.0,MIN,C,34.0,0.0,74500004.0,
Jalen Green,36251166.0,36000000.0,4.0,0.0,0.0,PHX,SG,24.0,0.0,72251170.0,
Jrue Holiday,34800000.0,37200000.0,4.0,0.0,0.0,POR,PG,36.0,0.0,72000004.0,
Jerami Grant,34206898.0,36413790.0,4.0,0.0,0.0,POR,PF,32.0,0.0,70620692.0,
Nickeil Alexander-Walker,14403710.0,15161800.0,15919890.0,23879835.0,0.0,ATL,0,0.0,0.0,69365235.0,
Julius Randle,33333334.0,35802468.0,4.0,0.0,0.0,MIN,PF,32.0,0.0,69135806.0,
Alex Caruso,19550160.0,20998320.0,22446480.0,4.0,0.0,OKC,SG,32.0,0.0,62994964.0,
Stephen Curry,62587158.0,4.0,0.0,0.0,0.0,GSW,PG,38.0,0.0,62587162.0,
Cooper Flagg,14517480.0,15208680.0,19178146.0,47945365.0,0.0,DAL,0,0.0,0.0,62462845.0,
Nikola Jovic,16200000.0,14904000.0,15096000.0,16200000.0,4.0,MIA,SF,23.0,0.0,62400000.0,
Onyeka Okongwu,16100000.0,16880000.0,25320000.0,0.0,0.0,ATL,0,0.0,0.0,58300000.0,
Zaccharie Risacher,13826040.0,17434637.0,43586593.0,0.0,0.0,ATL,0,0.0,0.0,57412633.0,
Jimmy Butler,56832773.0,4.0,0.0,0.0,0.0,GSW,SF,37.0,0.0,56832777.0,
Kentavious Caldwell-Pope,21621500.0,32432250.0,0.0,0.0,0.0,MEM,0,0.0,0.0,54053750.0,
Patrick Williams,18000000.0,18000000.0,18000000.0,4.0,0.0,CHI,PF,25.0,0.0,54000004.0,
