Player,Team,year,% Time,PPP,Points,FGM,FGA,FG%,aFG%,%FT,%TO,%SF,%Score,Poss,GP,playtype,PLAYER_ID
Austin Daye,SAS,2014,50.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,tran,201948.0
Nick Collison,OKC,2014,2.5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,17,motion,2555.0
Tiago Splitter,SAS,2014,12.0,0.7222222222222222,13,5,13,38.46153846153847,0.3636111111111111,0.0,0.0,0.0,0.3891111111111111,18,23,on_ball,201168.0
Terrence Ross,TOR,2014,14.000000000000002,0.75,6,2,6,33.33333333333333,0.333,0.0,0.0,0.0,0.38,8,7,tran,203082.0
Terrence Ross,TOR,2014,49.1,0.7142857142857143,20,8,27,29.629629629629623,0.3714285714285714,0.0,0.0,0.0,0.286,28,7,play_finish,203082.0
Terrence Ross,TOR,2014,28.0,0.5,8,4,12,33.33333333333333,0.3125,0.0,0.0,0.0,0.25,16,7,on_ball,203082.0
Tiago Splitter,SAS,2014,76.2,1.2521739130434784,144,53,81,65.4320987654321,0.6439565217391305,0.0,0.0,0.0,0.6436434782608697,115,23,play_finish,201168.0
Tiago Splitter,SAS,2014,5.3,1.375,11,3,5,60.0,0.6,0.0,0.0,0.0,0.62,8,23,tran,201168.0
Deron Williams,BKN,2014,9.6,0.7894736842105263,15,6,15,40.0,0.5981052631578948,0.0,0.0,0.0,0.3161578947368421,19,12,motion,101114.0
Deron Williams,BKN,2014,40.1,0.8860759493670886,70,26,57,45.614035087719294,0.4788987341772152,0.0,0.0,0.0,0.4179367088607594,79,12,on_ball,101114.0
Deron Williams,BKN,2014,28.9,0.8421052631578947,48,18,52,34.61538461538461,0.425,0.0,0.0,0.0,0.3510350877192982,57,12,play_finish,101114.0
Deron Williams,BKN,2014,15.7,0.9032258064516128,28,10,27,37.03703703703704,0.444,0.0,0.0,0.0,0.39,31,12,tran,101114.0
John Salmons,TOR,2014,11.1,1.5,3,1,2,50.0,0.5,0.0,0.0,0.0,0.5,2,6,tran,2422.0
Thomas Robinson,POR,2014,10.0,0.5,2,1,4,25.0,0.25,0.0,0.0,0.0,0.25,4,11,on_ball,203080.0
Alan Anderson,BKN,2014,15.2,1.0833333333333333,13,5,8,62.5,0.6880000000000001,0.0,0.0,0.0,0.5,12,12,on_ball,101187.0
Alan Anderson,BKN,2014,69.6,0.8,44,15,44,34.090909090909086,0.416,0.0,0.0,0.0,0.345290909090909,55,12,play_finish,101187.0
Alan Anderson,BKN,2014,8.9,1.2857142857142858,9,4,6,66.66666666666666,0.667,0.0,0.0,0.0,0.71,7,12,tran,101187.0
Draymond Green,GSW,2014,2.2,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,7,motion,203110.0
Steve Novak,TOR,2014,66.7,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,4,play_finish,200779.0
Mike Muscala,ATL,2014,100.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,2,play_finish,203488.0
Carlos Boozer,CHI,2014,63.8,0.918918918918919,34,14,32,43.75,0.437027027027027,0.0,0.0,0.0,0.4597837837837838,37,5,play_finish,2430.0
Norris Cole,MIA,2014,42.3,1.1363636363636365,50,18,41,43.90243902439025,0.572931818181818,0.0,0.0,0.0,0.4322045454545454,44,20,play_finish,202708.0
Mike Miller,MEM,2014,11.8,0.3333333333333333,2,0,4,0.0,0.0,0.0,0.0,0.0,0.1665,6,7,on_ball,2034.0
Mike Miller,MEM,2014,17.6,0.5555555555555556,5,2,8,25.0,0.3194444444444444,0.0,0.0,0.0,0.2222222222222222,9,7,motion,2034.0
Robin Lopez,POR,2014,8.9,1.4,14,7,9,77.77777777777779,0.7875,0.0,0.0,0.0,0.7002,10,11,on_ball,201577.0
Robin Lopez,POR,2014,84.1,0.9263157894736842,88,36,78,46.15384615384615,0.4624105263157895,0.0,0.0,0.0,0.4841368421052632,95,11,play_finish,201577.0
Joakim Noah,CHI,2014,2.9000000000000004,1.0,2,1,1,100.0,1.0,0.0,0.0,0.0,0.5,2,5,tran,201149.0
DeMarre Carroll,ATL,2014,19.7,1.1666666666666667,14,6,9,66.66666666666666,0.6670000000000001,0.0,0.0,0.0,0.5,12,7,tran,201960.0
Mike Dunleavy,CHI,2014,8.3,1.0,5,2,4,50.0,0.625,0.0,0.0,0.0,0.4,5,5,tran,2399.0
