Player,Salary,Team,Year
Moses Malone,"$2,406,000",ATL,1991
Dominique Wilkins,"$2,065,000",ATL,1991
Jon Koncak,"$1,550,000",ATL,1991
Doc Rivers,"$895,000",ATL,1991
Rumeal Robinson,"$800,000",ATL,1991
Tim McCormick,"$775,000",ATL,1991
Kevin Willis,"$685,000",ATL,1991
Alexander Volkov,"$650,000",ATL,1991
John Battle,"$590,000",ATL,1991
Sidney Moncrief,"$510,000",ATL,1991
Spud Webb,"$510,000",ATL,1991
Gary Leonard,"$200,000",ATL,1991
Duane Ferrell,"$125,000",ATL,1991
Totals,"$11,761,000",ATL,1991
Dominique Wilkins,"$3,100,000",ATL,1992
Jon Koncak,"$2,000,000",ATL,1992
Blair Rasmussen,"$1,558,000",ATL,1992
Rumeal Robinson,"$1,025,000",ATL,1992
Maurice Cheeks,"$1,000,000",ATL,1992
Travis Mays,"$1,000,000",ATL,1992
Stacey Augmon,"$875,000",ATL,1992
Kevin Willis,"$725,000",ATL,1992
Alexander Volkov,"$675,000",ATL,1992
Duane Ferrell,"$500,000",ATL,1992
Rodney Monroe,"$217,000",ATL,1992
Gary Leonard,"$130,000",ATL,1992
Paul Graham,"$125,000",ATL,1992
Totals,"$12,930,000",ATL,1992
Dominique Wilkins,"$3,500,000",ATL,1993
Jon Koncak,"$2,450,000",ATL,1993
Kevin Willis,"$2,425,000",ATL,1993
Blair Rasmussen,"$1,988,000",ATL,1993
Roy Hinson,"$1,250,000",ATL,1993
Travis Mays,"$1,200,000",ATL,1993
Stacey Augmon,"$1,138,000",ATL,1993
Adam Keefe,"$1,000,000",ATL,1993
Duane Ferrell,"$825,000",ATL,1993
Mookie Blaylock,"$660,000",ATL,1993
Maurice Cheeks,"$600,000",ATL,1993
Paul Graham,"$500,000",ATL,1993
Jeff Sanders,"$250,000",ATL,1993
Morlon Wiley,"$250,000",ATL,1993
Totals,"$18,036,000",ATL,1993
Dominique Wilkins,"$3,500,000",ATL,1994
Jon Koncak,"$2,900,000",ATL,1994
Kevin Willis,"$2,625,000",ATL,1994
Blair Rasmussen,"$2,457,000",ATL,1994
Mookie Blaylock,"$1,630,000",ATL,1994
Roy Hinson,"$1,445,000",ATL,1994
Stacey Augmon,"$1,400,000",ATL,1994
Andrew Lang,"$1,228,000",ATL,1994
Adam Keefe,"$1,200,000",ATL,1994
Craig Ehlo,"$1,200,000",ATL,1994
Duane Ferrell,"$1,025,000",ATL,1994
Doug Edwards,"$650,000",ATL,1994
Paul Graham,"$600,000",ATL,1994
Greg Foster,"$250,000",ATL,1994
Steve Henson,"$250,000",ATL,1994
Ennis Whatley,"$150,000",ATL,1994
Totals,"$22,510,000",ATL,1994
Blair Rasmussen,"$2,747,500",ATL,1995
Craig Ehlo,"$2,650,000",ATL,1995
Jon Koncak,"$2,600,000",ATL,1995
Mookie Blaylock,"$2,100,000",ATL,1995
Ken Norman,"$1,963,000",ATL,1995
Steve Smith,"$1,935,900",ATL,1995
Stacey Augmon,"$1,662,500",ATL,1995
Tyrone Corbin,"$1,600,000",ATL,1995
Andrew Lang,"$1,596,000",ATL,1995
Grant Long,"$1,485,300",ATL,1995
Doug Edwards,"$845,000",ATL,1995
Jim Les,"$250,000",ATL,1995
Sergei Bazarevich,"$168,000",ATL,1995
Fred Vinson,"$150,000",ATL,1995
Greg Anderson,"$110,000",ATL,1995
Tom Hovasse,"$6,140",ATL,1995
Totals,"$21,869,340",ATL,1995
Blair Rasmussen,"$3,088,000",ATL,1996
Steve Smith,"$2,568,000",ATL,1996
Mookie Blaylock,"$2,500,000",ATL,1996
