PLAYER,GP,MPG,USG,OFF,DEF,EPM,EW,TS%,eFG%,Rim%,Mid%,3PT%,FT%,OR%,DR%,AST%,TO%,ST%,BL%,RK
Nikola Jokic  DEN · C · 28,54  /62,33.6 90,26.7 90,+7.9 99,+0.7 76,+8.5 100,13.9 100,70.9 98,66.1 96,72.2 90,59.6 100,39.8 81,82.6 69,8.3 79,31.6 99,41.9 99,16.9 13,1.9 79,1.8 63,1
Joel Embiid  PHI · C · 29,47  /59,35.1 93,37.2 99,+5.3 99,+1.8 93,+7.2 99,10.6 98,63.9 87,55.7 60,69.7 82,46.5 72,34.0 37,85.8 80,6.3 70,27.8 95,22.9 84,11.9 52,1.6 67,4.3 91,2
Damian Lillard  POR · PG · 33,47  /60,36.2 98,32.8 99,+8.4 100,−1.3 23,+7.1 99,11.0 99,66.1 92,57.7 74,62.8 50,49.7 89,38.1 69,91.9 97,2.1 23,11.7 35,33.3 97,11.5 58,1.1 27,0.7 20,3
Luka Doncic  DAL · PG · 24,52  /62,36.4 98,37.2 99,+7.0 99,+0.1 60,+7.1 99,12.6 99,61.7 77,56.6 66,72.3 90,49.3 88,35.0 49,73.2 31,2.8 35,26.3 94,42.2 99,12.0 51,2.1 86,1.2 46,4
Stephen Curry  GSW · PG · 35,38  /61,34.5 93,29.6 96,+6.6 99,+0.2 65,+6.8 99,8.4 96,67.6 95,61.9 89,70.8 87,47.6 79,42.7 95,92.2 98,1.9 19,17.6 72,27.9 92,12.9 42,1.3 45,1.0 34,5
Kawhi Leonard  LAC · SF · 32,36  /63,32.9 87,26.8 91,+4.7 97,+1.8 93,+6.5 98,7.6 93,61.9 78,56.4 64,63.6 55,51.6 95,40.1 82,87.4 86,4.1 53,17.2 71,19.8 78,7.6 91,2.1 86,1.6 58,6
Jimmy Butler  MIA · SF · 33,46  /61,33.4 89,24.7 85,+4.1 96,+2.3 97,+6.5 98,9.5 97,63.4 85,53.4 44,62.0 46,43.9 58,31.2 19,84.7 76,7.1 76,13.7 52,24.8 88,9.0 82,2.9 97,1.0 37,7
LeBron James  LAL · SF · 38,47  /61,36.1 97,32.6 98,+4.9 97,+1.4 89,+6.3 98,10.2 98,59.0 59,55.0 56,70.4 85,40.5 38,30.8 18,75.8 43,3.8 49,20.8 82,31.2 96,11.1 62,1.2 39,1.3 50,8
Giannis Antetokounmpo  MIL · PF · 28,48  /60,32.5 85,38.1 100,+4.1 96,+2.1 95,+6.2 98,9.2 97,59.5 63,55.7 61,69.2 80,30.7 6,27.0 8,64.5 8,7.5 78,29.3 98,30.6 95,13.0 41,1.1 28,1.9 67,9
"Kevin Durant  BKN,PHX · PF · 34",39  /60,35.9 97,31.0 97,+4.9 98,+1.2 87,+6.1 98,8.2 96,68.2 95,60.6 85,74.5 94,59.0 99,37.6 64,93.3 99,1.2 5,19.0 76,23.9 86,13.8 33,1.1 29,3.6 87,10
Shai Gilgeous-Alexander  OKC · SG · 25,54  /60,35.5 95,31.6 98,+4.8 97,+1.0 83,+5.8 97,10.8 99,62.5 81,52.8 42,58.6 32,48.2 82,33.8 36,91.0 95,2.7 33,11.9 36,25.3 89,10.4 70,2.2 88,2.8 79,11
Jaren Jackson Jr.  MEM · PF · 23,42  /59,27.2 71,22.9 81,+1.5 85,+4.3 100,+5.8 97,6.3 91,59.9 65,55.6 60,63.0 52,44.0 59,34.8 46,78.4 53,6.6 73,18.5 75,4.4 5,10.0 73,1.9 81,10.7 100,12
Jayson Tatum  BOS · SF · 25,57  /61,37.4 99,32.1 98,+5.0 98,+0.8 79,+5.8 97,12.2 99,61.1 72,53.9 48,63.7 55,38.8 28,35.5 52,86.3 82,3.3 44,21.8 85,20.3 80,10.6 67,1.3 48,1.8 65,13
Anthony Davis  LAL · C · 30,37  /61,33.2 89,27.7 93,+3.0 92,+2.4 97,+5.4 97,6.7 91,63.3 85,57.2 70,69.6 82,44.4 62,24.1 3,81.4 63,10.6 88,28.2 96,12.6 55,9.1 81,1.6 65,5.2 94,14
James Harden  PHI · PG · 33,43  /59,36.6 99,25.2 86,+4.9 97,+0.3 69,+5.2 96,8.1 95,62.9 83,54.9 55,55.7 21,45.9 69,39.2 78,86.4 83,1.8 16,17.8 73,44.9 99,16.6 14,1.7 72,1.5 56,15
Lauri Markkanen  UTA · SF · 26,56  /62,34.3 92,25.1 86,+4.4 96,+0.8 78,+5.1 96,10.3 98,66.3 93,60.5 84,67.8 74,46.9 76,40.8 87,88.1 89,5.8 68,21.1 83,8.4 31,8.9 83,0.9 13,1.4 53,16
Zion Williamson  NOP · PF · 23,29  /61,33.0 88,28.9 95,+3.6 94,+1.5 90,+5.1 96,5.1 88,65.7 91,61.5 88,66.7 71,33.3 12,36.8,71.5 25,7.0 75,16.5 67,22.9 84,14.6 27,1.6 67,1.6 57,17
