Team,GP,POSS,FREQ%,PPP,Points,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE,year,playtype,full_name
CHA,4,28,7.2,1.0,27.0,10,25,40.0,42.0,14.3,0.0,14.3,3.6,46.4,40.0,2014,iso,Charlotte Bobcats
CHI,5,41,8.2,1.1,44.0,15,29,52.0,52.0,24.4,10.0,22.0,4.9,56.1,0.0,2014,iso,Chicago Bulls
DAL,7,62,8.7,0.8,50.0,18,47,38.0,40.0,12.9,13.0,12.9,1.6,40.3,80.0,2014,iso,Dallas Mavericks
MEM,7,72,9.4,0.8,61.0,21,57,37.0,39.0,12.5,10.0,9.7,1.4,40.3,73.3,2014,iso,Memphis Grizzlies
WAS,11,90,8.3,0.7,65.0,25,69,36.0,39.0,8.9,14.0,6.7,0.0,35.6,93.3,2014,iso,Washington Wizards
HOU,6,70,10.4,1.0,68.0,24,57,42.0,46.0,14.3,7.0,12.9,2.9,45.7,26.7,2014,iso,Houston Rockets
TOR,7,89,12.8,0.8,70.0,26,66,39.0,42.0,11.2,16.0,10.1,1.1,39.3,86.7,2014,iso,Toronto Raptors
ATL,7,82,11.6,0.9,71.0,26,59,44.0,46.0,13.4,16.0,11.0,1.2,43.9,66.7,2014,iso,Atlanta Hawks
GSW,7,85,11.1,1.0,86.0,30,65,46.0,54.0,14.1,12.0,11.8,2.4,45.9,13.3,2014,iso,Golden State Warriors
OKC,19,143,6.9,0.6,93.0,32,119,27.0,29.0,12.6,8.0,11.9,3.5,30.8,100.0,2014,iso,Oklahoma City Thunder
POR,11,100,8.1,1.0,104.0,39,87,45.0,49.0,11.0,4.0,9.0,2.0,48.0,6.7,2014,iso,Portland Trail Blazers
BKN,12,157,13.6,0.9,141.0,54,135,40.0,43.0,10.2,5.0,10.2,1.9,42.7,60.0,2014,iso,Brooklyn Nets
LAC,13,165,11.5,1.0,158.0,55,130,42.0,46.0,14.5,7.0,13.9,0.6,47.3,46.7,2014,iso,Los Angeles Clippers
IND,19,172,9.1,1.0,173.0,65,144,45.0,48.0,13.4,6.0,12.2,3.5,47.7,20.0,2014,iso,Indiana Pacers
MIA,20,221,11.5,0.9,209.0,76,171,44.0,48.0,15.4,9.0,13.1,1.8,47.5,53.3,2014,iso,Miami Heat
SAS,23,225,9.3,1.0,218.0,79,177,45.0,48.0,13.8,8.0,11.1,0.9,48.0,33.3,2014,iso,San Antonio Spurs
CHI,5,49,9.8,0.7,34.0,15,37,40.5,40.5,6.1,18.4,4.1,0.0,36.7,100.0,2014,post,Chicago Bulls
CHA,4,36,9.3,1.1,41.0,16,26,61.5,61.5,19.4,11.1,19.4,3.0,58.3,13.3,2014,post,Charlotte Bobcats
MEM,7,35,4.5,1.2,42.0,17,28,60.7,60.7,14.3,8.6,11.4,3.0,60.0,0.0,2014,post,Memphis Grizzlies
TOR,7,49,7.0,1.1,52.0,20,36,55.6,55.6,16.3,10.2,14.3,2.0,55.1,20.0,2014,post,Toronto Raptors
WAS,11,70,6.4,0.8,56.0,22,52,42.3,42.3,14.3,14.3,8.6,3.0,38.6,80.0,2014,post,Washington Wizards
ATL,7,72,10.2,0.9,63.0,25,53,47.2,47.2,12.5,13.9,8.3,0.0,45.8,60.0,2014,post,Atlanta Hawks
LAC,13,101,7.1,0.7,73.0,30,71,42.3,42.3,10.9,18.8,7.9,0.0,38.6,93.3,2014,post,Los Angeles Clippers
BKN,12,75,6.5,1.0,75.0,27,55,49.1,49.1,18.7,10.7,13.3,3.0,52.0,33.3,2014,post,Brooklyn Nets
DAL,7,70,9.9,1.1,80.0,33,60,55.0,55.0,12.9,2.9,10.0,1.0,58.6,6.7,2014,post,Dallas Mavericks
HOU,6,78,11.6,1.1,82.0,30,60,50.0,50.0,15.4,9.0,12.8,1.0,52.6,26.7,2014,post,Houston Rockets
GSW,7,104,13.5,0.9,93.0,40,79,50.6,50.6,13.5,15.4,11.5,5.0,44.2,53.3,2014,post,Golden State Warriors
IND,19,116,6.2,0.8,93.0,35,93,37.6,37.6,14.7,8.6,10.3,3.0,40.5,73.3,2014,post,Indiana Pacers
POR,11,153,12.4,0.9,140.0,59,122,48.4,48.4,11.8,9.8,7.8,1.0,47.1,46.7,2014,post,Portland Trail Blazers
MIA,20,164,8.5,0.9,154.0,64,127,50.4,50.4,12.2,12.8,8.5,2.0,48.2,40.0,2014,post,Miami Heat
SAS,23,192,8.0,0.8,161.0,63,153,41.2,41.2,12.5,11.5,10.4,4.0,41.7,66.7,2014,post,San Antonio Spurs
OKC,19,239,11.5,0.8,188.0,70,187,37.4,37.4,15.5,7.9,13.4,3.0,41.4,86.7,2014,post,Oklahoma City Thunder
CHA,4,38,9.8,1.1,43.0,15,27,55.6,61.1,21.1,13.2,18.4,5.3,55.3,46.7,2014,tran,Charlotte Bobcats
CHI,5,69,13.7,1.2,80.0,30,53,56.6,62.3,17.4,11.6,15.9,5.8,55.1,40.0,2014,tran,Chicago Bulls
TOR,7,86,12.3,1.0,85.0,29,66,43.9,48.5,18.6,7.0,18.6,3.5,47.7,93.3,2014,tran,Toronto Raptors
DAL,7,84,11.8,1.1,90.0,32,56,57.1,63.4,19.0,15.5,21.4,3.6,51.2,80.0,2014,tran,Dallas Mavericks
ATL,7,83,11.8,1.1,93.0,29,59,49.2,55.9,19.3,10.8,18.1,1.2,53.0,66.7,2014,tran,Atlanta Hawks
HOU,6,75,11.2,1.3,98.0,37,61,60.7,70.5,10.7,9.3,10.7,1.3,58.7,0.0,2014,tran,Houston Rockets
WAS,11,87,8.0,1.2,104.0,34,65,52.3,57.7,26.4,6.9,25.3,8.0,56.3,20.0,2014,tran,Washington Wizards
MEM,7,130,16.9,0.9,121.0,38,95,40.0,43.2,17.7,10.0,17.7,0.8,46.2,100.0,2014,tran,Memphis Grizzlies
GSW,7,117,15.2,1.1,127.0,43,89,48.3,54.5,15.4,9.4,12.0,0.9,51.3,73.3,2014,tran,Golden State Warriors
BKN,12,121,10.5,1.2,141.0,48,83,57.8,63.3,19.0,15.7,15.7,3.3,55.4,33.3,2014,tran,Brooklyn Nets
POR,11,175,14.2,1.3,226.0,83,137,60.6,67.9,16.6,9.1,14.9,4.0,59.4,6.7,2014,tran,Portland Trail Blazers
LAC,13,198,13.8,1.2,241.0,83,144,57.6,63.9,17.7,12.6,13.6,3.0,56.6,13.3,2014,tran,Los Angeles Clippers
MIA,20,222,11.5,1.1,249.0,92,176,52.3,59.1,13.1,9.5,12.2,2.3,52.3,60.0,2014,tran,Miami Heat
IND,19,253,13.4,1.0,262.0,95,188,50.5,57.2,15.0,13.4,12.6,2.8,48.2,86.7,2014,tran,Indiana Pacers
OKC,19,227,10.9,1.2,266.0,94,179,52.5,59.5,15.4,8.4,12.3,2.6,54.2,26.7,2014,tran,Oklahoma City Thunder
SAS,23,299,12.4,1.1,338.0,127,236,53.8,59.7,12.0,10.7,11.7,2.0,52.2,53.3,2014,tran,San Antonio Spurs
ATL,7,64,9.1,0.7,46.0,17,48,35.4,35.4,12.5,14.1,9.4,1.6,35.9,86.7,2014,pr_ball,Atlanta Hawks
CHA,4,61,15.7,0.8,48.0,15,43,34.9,39.5,14.8,16.4,13.1,1.6,37.7,66.7,2014,pr_ball,Charlotte Bobcats
CHI,5,84,16.7,0.7,56.0,23,75,30.7,32.7,6.0,4.8,4.8,0.0,32.1,93.3,2014,pr_ball,Chicago Bulls
TOR,7,71,10.2,1.0,73.0,31,51,60.8,63.7,8.5,21.1,8.5,1.4,50.7,0.0,2014,pr_ball,Toronto Raptors
HOU,6,105,15.7,0.8,89.0,33,82,40.2,46.3,8.6,15.2,7.6,1.9,38.1,33.3,2014,pr_ball,Houston Rockets
GSW,7,104,13.5,1.0,100.0,37,83,44.6,48.2,10.6,10.6,9.6,1.9,44.2,6.7,2014,pr_ball,Golden State Warriors
MEM,7,159,20.6,0.8,132.0,45,113,39.8,44.2,12.6,17.6,12.6,1.3,39.6,40.0,2014,pr_ball,Memphis Grizzlies
MIA,20,212,11.0,0.6,137.0,43,132,32.6,34.8,16.0,25.0,11.8,3.3,32.1,100.0,2014,pr_ball,Miami Heat
DAL,7,164,23.1,0.9,143.0,56,131,42.7,45.0,10.4,11.0,8.5,1.2,43.3,26.7,2014,pr_ball,Dallas Mavericks
BKN,12,184,15.9,0.8,152.0,55,122,45.1,48.0,11.4,22.3,10.9,1.1,40.2,46.7,2014,pr_ball,Brooklyn Nets
WAS,11,220,20.3,0.8,171.0,63,167,37.7,40.7,11.8,14.5,10.5,2.3,36.8,73.3,2014,pr_ball,Washington Wizards
LAC,13,195,13.6,1.0,186.0,61,126,48.4,54.4,15.4,22.6,12.3,2.6,44.1,13.3,2014,pr_ball,Los Angeles Clippers
POR,11,266,21.5,0.7,197.0,80,218,36.7,38.1,7.5,11.7,7.1,1.1,36.1,80.0,2014,pr_ball,Portland Trail Blazers
IND,19,337,17.9,0.8,267.0,101,249,40.6,43.4,9.5,17.2,8.0,0.9,38.0,53.3,2014,pr_ball,Indiana Pacers
OKC,19,347,16.7,0.9,304.0,120,266,45.1,47.2,10.1,15.3,6.9,2.0,42.4,20.0,2014,pr_ball,Oklahoma City Thunder
SAS,23,530,22.0,0.8,419.0,165,405,40.7,44.8,6.8,17.2,6.8,0.9,36.8,60.0,2014,pr_ball,San Antonio Spurs
CHI,5,30,6.0,0.9,27.0,13,27,48.1,48.1,6.7,3.3,6.7,0.0,46.7,86.7,2014,pr_roll,Chicago Bulls
