Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,year
Oklahoma City Thunder,16.0,7.0,9.0,244.7,65.9,13.9,28.3,49.3,5.8,7.3,79.3,34.5,52.4,28.1,42.7,6.9,10.4,3.9,5.9,3.6,5.5,2023
Oklahoma City Thunder,72.0,22.0,50.0,241.0,61.7,11.5,25.1,45.7,6.1,8.2,74.0,29.8,48.4,26.1,42.3,5.0,8.1,4.6,7.5,4.1,6.6,2021
Oklahoma City Thunder,82.0,24.0,58.0,241.5,61.7,11.4,25.2,45.2,6.4,8.3,77.2,29.9,48.5,26.3,42.7,5.1,8.3,4.1,6.7,4.2,6.8,2022
Oklahoma City Thunder,82.0,24.0,58.0,241.5,61.7,11.4,25.2,45.2,6.4,8.3,77.2,29.9,48.5,26.3,42.7,5.1,8.3,4.1,6.7,4.2,6.8,2020
New York Knicks,16.0,8.0,8.0,243.1,55.8,13.3,27.1,49.0,6.4,7.7,82.9,34.3,61.5,20.1,35.9,5.4,9.6,2.8,5.0,3.9,6.9,2023
San Antonio Spurs,72.0,33.0,39.0,242.8,55.5,12.1,25.0,48.3,6.0,7.4,81.1,30.9,55.7,22.1,39.7,5.6,10.1,3.5,6.2,3.8,6.8,2021
Utah Jazz,81.0,50.0,31.0,240.9,55.1,10.5,22.0,47.8,5.1,6.5,77.5,26.5,48.0,23.9,43.3,6.3,11.4,4.4,8.0,3.2,5.8,2019
Indiana Pacers,72.0,34.0,38.0,242.4,54.7,12.0,25.1,48.0,4.7,5.8,81.1,29.4,53.7,22.1,40.4,5.1,9.2,3.1,5.7,2.9,5.3,2021
Charlotte Hornets,81.0,43.0,38.0,242.5,54.3,11.2,23.7,47.3,5.4,6.7,80.2,28.6,52.7,21.9,40.4,5.2,9.7,3.6,6.6,3.4,6.2,2022
Charlotte Hornets,81.0,43.0,38.0,242.5,54.3,11.2,23.7,47.3,5.4,6.7,80.2,28.6,52.7,21.9,40.4,5.2,9.7,3.6,6.6,3.4,6.2,2020
Utah Jazz,17.0,11.0,6.0,243.0,53.9,10.5,22.5,46.9,6.2,7.8,80.3,28.4,52.6,21.1,39.1,5.8,10.8,4.6,8.5,3.9,7.2,2023
Detroit Pistons,17.0,3.0,14.0,240.0,53.5,10.9,23.5,46.4,7.8,9.5,81.5,30.4,56.8,19.6,36.6,4.7,8.8,4.1,7.6,4.8,8.9,2023
Atlanta Hawks,82.0,29.0,53.0,242.1,53.3,10.1,21.9,46.0,5.1,6.5,78.2,25.7,48.2,21.8,41.0,5.5,10.4,4.5,8.4,3.2,6.0,2019
Utah Jazz,72.0,52.0,20.0,241.0,53.2,11.1,22.3,49.9,5.6,6.4,87.0,28.5,53.6,21.9,41.3,5.8,10.9,4.0,7.4,3.2,6.0,2021
Brooklyn Nets,82.0,42.0,40.0,243.7,53.1,11.8,24.5,48.0,6.8,8.6,79.5,30.9,58.1,19.1,36.0,4.4,8.3,3.8,7.2,4.2,8.0,2019
Utah Jazz,82.0,48.0,34.0,240.9,52.9,9.2,20.4,45.2,4.3,5.3,80.8,23.3,44.1,18.0,34.1,6.0,11.3,4.0,7.5,2.7,5.0,2018
San Antonio Spurs,82.0,34.0,48.0,241.5,52.7,11.2,23.6,47.6,5.3,6.8,78.0,28.5,54.0,21.1,40.1,5.6,10.6,3.1,6.0,3.4,6.4,2020
San Antonio Spurs,82.0,34.0,48.0,241.5,52.7,11.2,23.6,47.6,5.3,6.8,78.0,28.5,54.0,21.1,40.1,5.6,10.6,3.1,6.0,3.4,6.4,2022
Toronto Raptors,82.0,59.0,23.0,241.8,52.6,9.7,20.2,48.1,4.7,5.7,82.2,24.9,47.4,18.7,35.6,5.5,10.5,3.4,6.5,2.9,5.6,2018
Detroit Pistons,72.0,20.0,52.0,242.1,52.5,9.5,21.1,45.0,5.5,7.1,77.9,25.1,47.8,22.0,42.0,5.6,10.7,4.1,7.8,3.5,6.7,2021
Memphis Grizzlies,72.0,38.0,34.0,241.7,52.1,11.3,24.4,46.2,5.3,6.9,77.4,28.4,54.5,19.5,37.4,4.8,9.1,3.5,6.7,3.4,6.6,2021
Chicago Bulls,81.0,22.0,59.0,242.8,52.1,11.4,24.6,46.3,5.9,7.3,80.2,29.1,55.8,19.3,36.9,4.4,8.5,3.6,6.9,3.5,6.7,2019
Utah Jazz,82.0,49.0,33.0,240.6,51.9,11.7,22.8,51.3,5.3,6.4,83.9,29.7,57.2,20.4,39.3,4.9,9.3,3.8,7.4,3.2,6.2,2022
Utah Jazz,82.0,49.0,33.0,240.6,51.9,11.7,22.8,51.3,5.3,6.4,83.9,29.7,57.2,20.4,39.3,4.9,9.3,3.8,7.4,3.2,6.2,2020
New Orleans Pelicans,72.0,31.0,41.0,242.1,51.6,10.5,21.8,48.3,5.6,7.7,73.5,27.4,53.1,20.9,40.5,5.1,9.9,3.5,6.8,3.8,7.5,2021
Charlotte Hornets,82.0,39.0,43.0,241.8,51.4,11.3,24.1,46.9,6.5,7.8,83.4,29.7,57.8,18.3,35.6,4.8,9.3,3.4,6.7,3.8,7.4,2019
Houston Rockets,16.0,3.0,13.0,240.0,51.3,9.9,22.9,43.4,7.4,9.1,80.8,28.3,55.1,19.2,37.4,3.6,7.0,3.1,6.1,4.4,8.5,2023
Charlotte Hornets,72.0,33.0,39.0,241.0,51.3,9.9,21.0,47.2,5.3,6.8,77.5,25.8,50.3,21.3,41.6,4.8,9.4,3.8,7.4,3.4,6.7,2021
Toronto Raptors,72.0,27.0,45.0,240.3,51.2,8.9,19.1,46.4,5.8,6.9,84.0,24.2,47.3,23.8,46.4,5.8,11.3,3.1,6.0,3.4,6.7,2021
Sacramento Kings,81.0,29.0,52.0,241.5,51.1,10.6,22.3,47.7,5.7,7.5,76.4,27.9,54.5,20.4,40.0,5.4,10.5,3.3,6.5,3.8,7.4,2022
Sacramento Kings,81.0,29.0,52.0,241.5,51.1,10.6,22.3,47.7,5.7,7.5,76.4,27.9,54.5,20.4,40.0,5.4,10.5,3.3,6.5,3.8,7.4,2020
New York Knicks,72.0,41.0,31.0,242.1,50.7,10.9,24.2,45.0,4.8,6.0,80.0,27.4,54.1,19.0,37.6,4.6,9.1,3.1,6.0,3.0,5.9,2021
Philadelphia 76ers,82.0,10.0,72.0,241.5,50.7,7.5,17.9,42.0,4.1,6.0,69.3,19.6,38.6,19.5,38.4,5.4,10.6,4.1,8.0,3.0,6.0,2016
Indiana Pacers,82.0,25.0,57.0,242.4,50.7,10.4,21.5,48.4,5.1,6.5,78.8,26.8,52.9,21.1,41.7,5.0,9.9,3.5,6.8,3.3,6.4,2020
Indiana Pacers,82.0,25.0,57.0,242.4,50.7,10.4,21.5,48.4,5.1,6.5,78.8,26.8,52.9,21.1,41.7,5.0,9.9,3.5,6.8,3.3,6.4,2022
Sacramento Kings,72.0,31.0,41.0,240.3,50.5,11.4,21.8,52.2,5.8,7.7,75.9,29.3,58.0,19.8,39.1,5.3,10.5,3.4,6.8,3.8,7.6,2021
Sacramento Kings,14.0,8.0,6.0,241.8,50.4,10.6,18.6,56.7,8.1,10.2,79.0,29.8,59.1,22.1,43.8,5.1,10.2,3.4,6.7,5.1,10.2,2023
Charlotte Hornets,17.0,4.0,13.0,247.4,50.1,10.1,23.2,43.3,4.4,5.8,74.7,25.3,50.5,19.1,38.0,4.4,8.8,3.4,6.7,2.9,5.9,2023
Detroit Pistons,81.0,23.0,58.0,241.2,49.9,9.8,21.1,46.7,5.7,7.1,80.1,26.0,52.2,20.1,40.3,4.3,8.6,3.4,6.9,3.5,7.0,2022
Brooklyn Nets,80.0,27.0,53.0,242.2,49.9,9.2,20.2,45.6,4.6,5.8,80.0,23.9,47.9,16.5,33.1,5.2,10.3,3.3,6.5,2.9,5.8,2018
Detroit Pistons,81.0,23.0,58.0,241.2,49.9,9.8,21.1,46.7,5.7,7.1,80.1,26.0,52.2,20.1,40.3,4.3,8.6,3.4,6.9,3.5,7.0,2020
Toronto Raptors,81.0,55.0,26.0,240.9,49.5,9.4,20.8,45.3,6.1,7.5,81.1,25.6,51.7,16.0,32.4,4.6,9.2,3.1,6.3,3.8,7.7,2016
Miami Heat,82.0,41.0,41.0,241.2,49.4,8.3,18.9,44.0,3.7,5.1,72.7,21.0,42.6,18.4,37.3,5.1,10.3,3.5,7.0,2.6,5.3,2017
Miami Heat,82.0,39.0,43.0,240.6,49.3,9.1,21.1,43.3,4.0,5.7,70.3,22.5,45.7,20.4,41.4,5.1,10.3,3.7,7.5,2.8,5.6,2019
San Antonio Spurs,16.0,6.0,10.0,241.6,49.0,9.9,22.3,44.5,4.8,6.0,79.2,25.5,52.0,18.9,38.6,4.5,9.2,3.4,6.9,3.0,6.1,2023
Milwaukee Bucks,82.0,60.0,22.0,241.2,48.5,11.6,21.0,55.0,5.9,7.4,79.4,29.7,61.3,18.6,38.4,4.6,9.5,3.6,7.4,3.6,7.5,2019
Cleveland Cavaliers,72.0,22.0,50.0,242.1,48.3,9.7,22.1,43.9,4.1,5.5,75.4,24.1,49.9,18.4,38.2,4.3,8.9,3.4,7.1,2.8,5.7,2021
Dallas Mavericks,82.0,52.0,30.0,240.9,48.2,10.5,19.9,53.0,5.2,6.6,79.2,27.1,56.3,20.6,42.6,5.3,10.9,3.1,6.3,3.3,6.8,2020
Dallas Mavericks,82.0,52.0,30.0,240.9,48.2,10.5,19.9,53.0,5.2,6.6,79.2,27.1,56.3,20.6,42.6,5.3,10.9,3.1,6.3,3.3,6.8,2022
Indiana Pacers,14.0,8.0,6.0,240.0,48.2,9.2,20.8,44.3,4.3,5.1,83.3,23.5,48.7,20.8,43.1,4.4,9.2,2.7,5.6,2.6,5.5,2023
Memphis Grizzlies,16.0,10.0,6.0,243.1,48.1,13.1,28.6,45.6,6.0,7.8,76.8,33.3,69.2,11.3,23.4,3.4,7.0,3.1,6.5,3.9,8.1,2023
Toronto Raptors,82.0,58.0,24.0,242.4,48.1,9.6,19.4,49.5,5.2,6.2,83.8,25.0,51.9,20.9,43.4,4.7,9.7,3.3,6.8,3.0,6.3,2019
Atlanta Hawks,81.0,24.0,57.0,240.3,47.9,9.0,20.9,42.9,4.6,5.6,80.9,23.0,48.1,14.0,29.3,4.7,9.8,3.5,7.3,2.9,6.1,2018
Washington Wizards,82.0,35.0,47.0,241.8,47.7,10.3,21.6,47.8,5.0,6.1,81.2,26.2,55.0,18.7,39.1,4.9,10.2,3.1,6.5,3.1,6.4,2020
Washington Wizards,82.0,35.0,47.0,241.8,47.7,10.3,21.6,47.8,5.0,6.1,81.2,26.2,55.0,18.7,39.1,4.9,10.2,3.1,6.5,3.1,6.4,2022
Miami Heat,81.0,43.0,38.0,243.1,47.5,9.4,19.8,47.7,3.1,4.3,72.2,22.7,47.8,16.0,33.8,4.5,9.5,3.4,7.2,2.2,4.6,2018
Philadelphia 76ers,82.0,28.0,54.0,241.8,47.4,7.7,17.2,45.1,4.8,5.9,80.7,20.7,43.7,17.3,36.6,4.7,10.0,4.1,8.6,3.0,6.4,2017
Philadelphia 76ers,82.0,18.0,64.0,241.5,47.4,7.4,18.4,40.1,4.6,7.1,65.1,19.9,41.9,16.4,34.6,3.9,8.2,4.1,8.7,3.7,7.8,2015
Dallas Mavericks,72.0,42.0,30.0,240.3,47.2,11.6,21.0,55.2,4.7,5.9,78.7,28.7,60.7,19.1,40.5,4.6,9.8,2.8,5.9,3.0,6.3,2021
Washington Wizards,72.0,34.0,38.0,241.7,47.2,9.7,20.5,47.4,4.8,6.5,73.9,25.2,53.3,18.8,39.8,4.7,10.0,3.4,7.2,3.3,6.9,2021
Atlanta Hawks,15.0,9.0,6.0,241.7,47.1,10.7,25.7,41.5,3.7,4.9,76.7,25.9,55.0,15.7,33.2,3.7,7.9,2.1,4.5,2.5,5.2,2023
