PLAYER,TEAM,AGE,GP,G,FREQ%,FGM,FGA,FG%,EFG%,2FG FREQ%,2FGM,2FGA,2FG%,3FG FREQ%,3PM,3PA,3P%,year,shot_type
Tony Parker,SAS,32.0,23,22,20.5,24,68,35.3,39.7,13.0,18,43,41.9,7.5,6,25,24.0,2014,wide_open
Chris Bosh,MIA,30.0,20,19,29.8,28,67,41.8,55.2,10.2,10,23,43.5,19.6,18,44,40.9,2014,wide_open
Paul George,IND,24.0,19,19,20.4,28,61,45.9,59.0,7.0,12,21,57.1,13.4,16,40,40.0,2014,wide_open
Manu Ginobili,SAS,36.0,23,23,26.0,29,59,49.2,68.6,4.4,6,10,60.0,21.6,23,49,46.9,2014,wide_open
Boris Diaw,SAS,32.0,23,19,38.1,25,56,44.6,58.9,14.3,9,21,42.9,23.8,16,35,45.7,2014,wide_open
George Hill,IND,28.0,19,19,33.5,22,55,40.0,55.5,4.9,5,8,62.5,28.7,17,47,36.2,2014,wide_open
Russell Westbrook,OKC,25.0,19,18,14.1,23,54,42.6,51.9,6.0,13,23,56.5,8.1,10,31,32.3,2014,wide_open
Lance Stephenson,IND,23.0,19,17,26.1,19,54,35.2,45.4,7.7,8,16,50.0,18.4,11,38,28.9,2014,wide_open
Kawhi Leonard,SAS,23.0,23,19,22.9,25,53,47.2,64.2,4.3,7,10,70.0,18.6,18,43,41.9,2014,wide_open
David West,IND,33.0,19,16,21.7,26,51,51.0,52.9,19.1,24,45,53.3,2.6,2,6,33.3,2014,wide_open
Blake Griffin,LAC,25.0,13,13,22.4,25,50,50.0,51.0,21.5,24,48,50.0,0.9,1,2,50.0,2014,wide_open
Patty Mills,SAS,25.0,23,21,33.8,22,46,47.8,63.0,8.1,8,11,72.7,25.7,14,35,40.0,2014,wide_open
Tim Duncan,SAS,38.0,23,18,17.5,17,46,37.0,37.0,17.1,17,45,37.8,0.4,0,1,0.0,2014,wide_open
Nene,WAS,31.0,10,10,34.6,22,45,48.9,48.9,34.6,22,45,48.9,0.0,0,0,-,2014,wide_open
JJ Redick,LAC,30.0,13,12,34.1,22,44,50.0,68.2,7.8,6,10,60.0,26.4,16,34,47.1,2014,wide_open
Chris Paul,LAC,29.0,13,13,22.0,20,42,47.6,65.5,7.9,5,15,33.3,14.1,15,27,55.6,2014,wide_open
LaMarcus Aldridge,POR,28.0,11,10,17.3,20,42,47.6,48.8,16.9,19,41,46.3,0.4,1,1,100,2014,wide_open
Ray Allen,MIA,38.0,20,19,29.5,19,41,46.3,68.3,1.4,1,2,50.0,28.1,18,39,46.2,2014,wide_open
Matt Barnes,LAC,34.0,13,11,40.6,12,41,29.3,39.0,7.9,4,8,50.0,32.7,8,33,24.2,2014,wide_open
Bradley Beal,WAS,21.0,11,11,23.4,22,39,56.4,71.8,9.6,10,16,62.5,13.8,12,23,52.2,2014,wide_open
Danny Green,SAS,27.0,23,16,26.0,17,39,43.6,62.8,3.3,2,5,40.0,22.7,15,34,44.1,2014,wide_open
LeBron James,MIA,29.0,20,16,11.2,20,37,54.1,67.6,4.2,10,14,71.4,6.9,10,23,43.5,2014,wide_open
Serge Ibaka,OKC,24.0,17,16,25.4,17,36,47.2,51.4,21.1,14,30,46.7,4.2,3,6,50.0,2014,wide_open
Nicolas Batum,POR,25.0,11,11,25.7,15,36,41.7,51.4,8.6,8,12,66.7,17.1,7,24,29.2,2014,wide_open
Trevor Ariza,WAS,28.0,11,11,32.7,18,34,52.9,72.1,5.8,5,6,83.3,26.9,13,28,46.4,2014,wide_open
Monta Ellis,DAL,28.0,7,7,27.9,16,34,47.1,63.2,9.8,5,12,41.7,18.0,11,22,50.0,2014,wide_open
Wesley Matthews,POR,27.0,11,11,26.2,15,34,44.1,57.4,4.6,6,6,100,21.5,9,28,32.1,2014,wide_open
Reggie Jackson,OKC,24.0,19,18,22.7,15,34,44.1,64.7,2.0,1,3,33.3,20.7,14,31,45.2,2014,wide_open
Deron Williams,BKN,30.0,12,12,23.2,13,33,39.4,50.0,7.0,6,10,60.0,16.2,7,23,30.4,2014,wide_open
Caron Butler,OKC,34.0,18,16,31.1,14,32,43.8,64.1,5.8,1,6,16.7,25.2,13,26,50.0,2014,wide_open
Marco Belinelli,SAS,28.0,23,18,33.0,13,31,41.9,56.5,9.6,4,9,44.4,23.4,9,22,40.9,2014,wide_open
Mario Chalmers,MIA,28.0,20,13,29.5,11,31,35.5,46.8,5.7,4,6,66.7,23.8,7,25,28.0,2014,wide_open
John Wall,WAS,23.0,11,10,19.1,13,30,43.3,48.3,10.8,10,17,58.8,8.3,3,13,23.1,2014,wide_open
C.J. Watson,IND,30.0,19,17,34.5,9,30,30.0,38.3,6.9,4,6,66.7,27.6,5,24,20.8,2014,wide_open
Kevin Durant,OKC,25.0,19,14,6.8,17,28,60.7,76.8,2.7,8,11,72.7,4.1,9,17,52.9,2014,wide_open
Damian Lillard,POR,23.0,11,11,15.6,14,27,51.9,66.7,4.0,6,7,85.7,11.6,8,20,40.0,2014,wide_open
Joe Johnson,BKN,33.0,12,11,14.0,14,25,56.0,78.0,3.4,3,6,50.0,10.7,11,19,57.9,2014,wide_open
Paul Millsap,ATL,29.0,7,6,27.2,10,25,40.0,54.0,5.4,3,5,60.0,21.7,7,20,35.0,2014,wide_open
Mike Conley,MEM,26.0,7,7,25.8,8,25,32.0,38.0,9.3,5,9,55.6,16.5,3,16,18.8,2014,wide_open
Norris Cole,MIA,25.0,20,14,32.9,13,24,54.2,75.0,6.8,3,5,60.0,26.0,10,19,52.6,2014,wide_open
Rashard Lewis,MIA,34.0,18,13,28.6,12,24,50.0,70.8,4.8,2,4,50.0,23.8,10,20,50.0,2014,wide_open
Mirza Teletovic,BKN,28.0,12,9,30.0,12,24,50.0,70.8,2.5,2,2,100,27.5,10,22,45.5,2014,wide_open
Draymond Green,GSW,24.0,7,6,41.8,10,23,43.5,58.7,9.1,3,5,60.0,32.7,7,18,38.9,2014,wide_open
Jamal Crawford,LAC,34.0,13,12,13.6,10,22,45.5,59.1,4.3,4,7,57.1,9.3,6,15,40.0,2014,wide_open
Jeff Teague,ATL,26.0,7,7,22.0,9,22,40.9,54.5,5.0,3,5,60.0,17.0,6,17,35.3,2014,wide_open
Luis Scola,IND,34.0,18,10,21.4,7,22,31.8,31.8,20.4,7,21,33.3,1.0,0,1,0.0,2014,wide_open
Marc Gasol,MEM,29.0,7,7,19.4,8,21,38.1,38.1,18.5,8,20,40.0,0.9,0,1,0.0,2014,wide_open
Courtney Lee,MEM,28.0,7,7,38.9,8,21,38.1,50.0,7.4,3,4,75.0,31.5,5,17,29.4,2014,wide_open
Jimmy Butler,CHI,24.0,5,5,36.5,7,19,36.8,47.4,13.5,3,7,42.9,23.1,4,12,33.3,2014,wide_open
James Jones,MIA,33.0,15,11,48.7,6,19,31.6,47.4,5.1,0,2,0.0,43.6,6,17,35.3,2014,wide_open
Harrison Barnes,GSW,22.0,7,6,39.1,7,18,38.9,58.3,2.2,0,1,0.0,37.0,7,17,41.2,2014,wide_open
Tony Allen,MEM,32.0,7,6,28.6,7,18,38.9,38.9,20.6,7,13,53.8,7.9,0,5,0.0,2014,wide_open
Paul Pierce,BKN,36.0,12,8,14.3,6,18,33.3,47.2,3.2,1,4,25.0,11.1,5,14,35.7,2014,wide_open
Thabo Sefolosha,OKC,30.0,15,8,32.1,6,17,35.3,44.1,9.4,3,5,60.0,22.6,3,12,25.0,2014,wide_open
Mike Scott,ATL,25.0,7,7,30.4,5,17,29.4,44.1,5.4,0,3,0.0,25.0,5,14,35.7,2014,wide_open
Kyle Korver,ATL,33.0,7,7,24.6,10,16,62.5,84.4,4.6,3,3,100,20.0,7,13,53.8,2014,wide_open
Dwyane Wade,MIA,32.0,20,11,5.9,8,16,50.0,56.3,3.0,6,8,75.0,3.0,2,8,25.0,2014,wide_open
Martell Webster,WAS,27.0,11,8,41.0,7,16,43.8,59.4,5.1,2,2,100,35.9,5,14,35.7,2014,wide_open
Klay Thompson,GSW,24.0,7,5,16.7,5,16,31.3,46.9,2.1,0,2,0.0,14.6,5,14,35.7,2014,wide_open
Chandler Parsons,HOU,25.0,6,5,16.3,5,16,31.3,37.5,6.1,3,6,50.0,10.2,2,10,20.0,2014,wide_open
Shawn Marion,DAL,36.0,7,7,28.6,4,16,25.0,37.5,1.8,0,1,0.0,26.8,4,15,26.7,2014,wide_open
Andre Iguodala,GSW,30.0,7,6,25.4,9,15,60.0,76.7,11.9,4,7,57.1,13.6,5,8,62.5,2014,wide_open
Patrick Beverley,HOU,25.0,6,5,32.6,8,15,53.3,70.0,6.5,3,3,100,26.1,5,12,41.7,2014,wide_open
Stephen Curry,GSW,26.0,7,6,13.5,6,15,40.0,56.7,2.7,1,3,33.3,10.8,5,12,41.7,2014,wide_open
Beno Udrih,MEM,31.0,7,7,33.3,5,15,33.3,46.7,8.9,1,4,25.0,24.4,4,11,36.4,2014,wide_open
Drew Gooden,WAS,32.0,10,6,39.5,5,15,33.3,33.3,34.2,5,13,38.5,5.3,0,2,0.0,2014,wide_open
Shelvin Mack,ATL,24.0,7,6,33.3,5,15,33.3,50.0,2.2,0,1,0.0,31.1,5,14,35.7,2014,wide_open
Patrick Patterson,TOR,25.0,7,6,31.1,7,14,50.0,64.3,8.9,3,4,75.0,22.2,4,10,40.0,2014,wide_open
Shane Battier,MIA,35.0,16,8,53.8,7,14,50.0,75.0,0.0,0,0,-,53.8,7,14,50.0,2014,wide_open
Kirk Hinrich,CHI,33.0,5,4,26.4,6,14,42.9,57.1,11.3,2,6,33.3,15.1,4,8,50.0,2014,wide_open
Jeremy Lin,HOU,25.0,6,5,24.6,5,14,35.7,42.9,8.8,3,5,60.0,15.8,2,9,22.2,2014,wide_open
Mike Miller,MEM,34.0,7,6,33.3,7,13,53.8,80.8,0.0,0,0,-,33.3,7,13,53.8,2014,wide_open
Tayshaun Prince,MEM,34.0,7,7,52.0,6,13,46.2,50.0,44.0,5,11,45.5,8.0,1,2,50.0,2014,wide_open
Robin Lopez,POR,26.0,11,7,16.3,6,13,46.2,46.2,16.3,6,13,46.2,0.0,0,0,-,2014,wide_open
Darren Collison,LAC,26.0,13,7,16.7,5,13,38.5,38.5,11.5,5,9,55.6,5.1,0,4,0.0,2014,wide_open
Matt Bonner,SAS,34.0,22,6,65.0,5,13,38.5,53.8,10.0,1,2,50.0,55.0,4,11,36.4,2014,wide_open
Pero Antic,ATL,31.0,7,7,34.2,3,13,23.1,30.8,7.9,1,3,33.3,26.3,2,10,20.0,2014,wide_open
