Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jalen Brunson,NYK,27,1,0,1,41.6,45.0,17.0,30.0,56.7,2.0,8.0,25.0,9.0,11.0,81.8,2.0,3.0,5.0,4.0,4.0,1.0,0.0,3.0,56.0,0.0,0.0,2.0
Donovan Mitchell,CLE,27,1,0,1,36.7,38.0,13.0,21.0,61.9,4.0,7.0,57.1,8.0,10.0,80.0,1.0,4.0,5.0,9.0,3.0,1.0,0.0,1.0,57.5,0.0,0.0,0.0
Kevin Durant,PHX,35,1,0,1,38.6,38.0,13.0,27.0,48.1,4.0,6.0,66.7,8.0,10.0,80.0,1.0,8.0,9.0,5.0,4.0,0.0,0.0,4.0,52.3,0.0,0.0,8.0
Joel Embiid,PHI,29,2,1,1,36.7,36.0,9.5,21.5,44.2,0.5,4.0,12.5,16.5,18.0,91.7,5.0,9.0,14.0,4.5,5.0,1.5,1.0,3.5,62.1,2.0,0.0,-4.0
Nikola Jokic,DEN,28,2,2,0,35.7,32.5,11.0,19.5,56.4,2.0,4.5,44.4,8.5,9.5,89.5,5.0,10.0,15.0,9.0,4.0,1.0,0.5,2.5,64.5,2.0,0.0,10.0
Dejounte Murray,ATL,27,1,1,0,37.5,32.0,11.0,21.0,52.4,1.0,4.0,25.0,9.0,9.0,100.0,0.0,5.0,5.0,10.0,2.0,3.0,0.0,2.0,60.0,1.0,0.0,9.0
Luka Doncic,DAL,24,3,1,2,32.1,31.3,11.0,20.3,54.1,5.0,8.3,60.0,4.3,5.3,81.3,1.3,4.7,6.0,5.3,6.0,0.3,0.3,1.0,42.5,1.0,0.0,0.7
Karl-Anthony Towns,MIN,28,2,2,0,38.0,31.0,11.5,23.5,48.9,4.0,9.5,42.1,4.0,4.0,100.0,1.0,10.5,11.5,2.0,4.0,1.0,0.0,1.0,46.8,2.0,0.0,4.5
Shai Gilgeous-Alexander,OKC,25,2,1,1,32.9,30.5,12.0,20.5,58.5,0.5,3.0,16.7,6.0,6.5,92.3,0.5,6.0,6.5,5.0,2.0,4.5,1.0,1.5,60.3,0.0,0.0,11.0
Damian Lillard,MIL,33,1,1,0,36.1,30.0,7.0,15.0,46.7,4.0,7.0,57.1,12.0,12.0,100.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,42.8,0.0,0.0,2.0
Stephen Curry,GSW,35,1,1,0,31.4,30.0,9.0,15.0,60.0,5.0,10.0,50.0,7.0,7.0,100.0,3.0,5.0,8.0,7.0,3.0,2.0,0.0,1.0,53.1,0.0,0.0,5.0
Desmond Bane,MEM,25,3,0,3,36.7,28.3,10.7,21.3,50.0,4.0,9.3,42.9,3.0,3.7,81.8,0.3,4.0,4.3,6.7,2.7,1.7,1.7,3.0,50.9,0.0,0.0,-4.0
Brandon Ingram,NOP,26,2,1,1,37.3,28.0,11.0,22.0,50.0,2.0,8.0,25.0,4.0,5.5,72.7,0.5,7.0,7.5,6.0,3.0,1.0,0.5,1.0,47.5,0.0,0.0,9.5
Jaylen Brown,BOS,27,1,1,0,29.5,28.0,10.0,19.0,52.6,5.0,9.0,55.6,3.0,5.0,60.0,0.0,3.0,3.0,5.0,3.0,1.0,0.0,0.0,39.1,0.0,0.0,6.0
Jordan Clarkson,UTA,31,2,2,0,34.5,28.0,11.0,17.5,62.9,3.0,7.0,42.9,3.0,3.0,100.0,1.0,1.5,2.5,3.5,2.0,2.0,0.5,1.5,41.8,0.0,0.0,11.0
Kevin Huerter,SAC,25,1,1,0,33.9,28.0,11.0,19.0,57.9,4.0,10.0,40.0,2.0,2.0,100.0,0.0,9.0,9.0,2.0,2.0,3.0,1.0,4.0,51.8,0.0,0.0,8.0
Tyrese Maxey,PHI,23,2,1,1,38.8,28.0,9.0,21.0,42.9,2.0,6.0,33.3,8.0,8.0,100.0,0.0,5.0,5.0,8.0,2.0,1.5,1.0,2.5,51.5,1.0,0.0,5.5
Gordon Hayward,CHA,33,1,1,0,36.0,27.0,10.0,20.0,50.0,1.0,4.0,25.0,6.0,8.0,75.0,0.0,5.0,5.0,9.0,0.0,4.0,1.0,0.0,61.5,0.0,0.0,16.0
LaMelo Ball,CHA,22,2,1,1,38.4,26.5,9.0,22.5,40.0,4.0,9.0,44.4,4.5,5.0,90.0,2.5,3.5,6.0,8.5,5.0,2.5,0.0,5.0,49.0,1.0,0.0,1.0
Jerami Grant,POR,29,2,1,1,35.5,26.0,9.5,20.0,47.5,3.0,6.5,46.2,4.0,6.5,61.5,1.0,4.0,5.0,2.0,2.5,0.0,1.0,1.5,35.5,0.0,0.0,-1.0
Jimmy Butler,MIA,34,2,2,0,32.7,26.0,8.5,12.5,68.0,1.0,1.5,66.7,8.0,10.0,80.0,1.5,4.0,5.5,3.5,2.5,2.5,0.0,1.0,42.9,0.0,0.0,4.0
Tyrese Haliburton,IND,23,2,2,0,36.4,25.5,8.0,16.0,50.0,3.5,8.5,41.2,6.0,7.0,85.7,0.5,4.0,4.5,14.0,2.0,2.0,0.5,1.5,57.4,2.0,0.0,11.0
Jalen Green,HOU,21,1,1,0,34.7,25.0,7.0,18.0,38.9,2.0,8.0,25.0,9.0,10.0,90.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,30.3,0.0,0.0,-1.0
Alperen Sengun,HOU,21,1,1,0,33.6,24.0,11.0,15.0,73.3,0.0,2.0,0.0,2.0,5.0,40.0,4.0,4.0,8.0,3.0,4.0,2.0,1.0,3.0,43.1,0.0,0.0,-3.0
Anthony Edwards,MIN,22,2,2,0,36.7,24.0,8.0,18.5,43.2,2.5,7.0,35.7,5.5,8.0,68.8,1.0,4.5,5.5,4.5,4.5,2.5,0.5,1.0,41.9,0.0,0.0,-3.0
Bradley Beal,PHX,30,1,0,1,31.5,24.0,9.0,17.0,52.9,2.0,4.0,50.0,4.0,6.0,66.7,2.0,2.0,4.0,2.0,2.0,2.0,0.0,4.0,35.8,0.0,0.0,-14.0
DeMar DeRozan,CHI,34,1,0,1,33.5,24.0,9.0,20.0,45.0,2.0,4.0,50.0,4.0,4.0,100.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,31.2,0.0,0.0,-16.0
Keegan Murray,SAC,23,1,1,0,40.2,24.0,8.0,17.0,47.1,3.0,10.0,30.0,5.0,5.0,100.0,4.0,7.0,11.0,1.0,3.0,3.0,1.0,1.0,47.7,1.0,0.0,-3.0
LeBron James,LAL,38,2,2,0,29.5,24.0,8.5,14.0,60.7,3.0,5.0,60.0,4.0,6.5,61.5,0.5,9.5,10.0,6.0,4.0,1.0,0.5,1.0,45.5,1.0,0.0,8.5
Malcolm Brogdon,POR,30,1,1,0,44.4,24.0,6.0,19.0,31.6,2.0,9.0,22.2,10.0,12.0,83.3,0.0,7.0,7.0,10.0,4.0,3.0,0.0,1.0,52.4,1.0,0.0,14.0
Tyler Herro,MIA,23,1,1,0,36.7,24.0,9.0,17.0,52.9,4.0,7.0,57.1,2.0,2.0,100.0,0.0,10.0,10.0,9.0,3.0,2.0,0.0,3.0,52.5,1.0,0.0,7.0
Zach LaVine,CHI,28,1,0,1,38.4,24.0,10.0,21.0,47.6,1.0,6.0,16.7,3.0,4.0,75.0,1.0,6.0,7.0,5.0,2.0,1.0,1.0,2.0,43.9,0.0,0.0,8.0
Lauri Markkanen,UTA,26,2,2,0,34.2,23.5,8.0,15.5,51.6,3.0,9.0,33.3,4.5,5.0,90.0,0.5,7.5,8.0,0.5,1.5,1.5,1.5,2.0,41.4,0.0,0.0,4.0
Brandin Podziemski,GSW,20,1,0,1,39.0,23.0,9.0,18.0,50.0,3.0,8.0,37.5,2.0,2.0,100.0,1.0,6.0,7.0,5.0,3.0,1.0,0.0,4.0,38.9,0.0,0.0,11.0
Jayson Tatum,BOS,25,1,1,0,33.3,23.0,6.0,17.0,35.3,4.0,11.0,36.4,7.0,9.0,77.8,1.0,9.0,10.0,3.0,2.0,0.0,0.0,1.0,37.5,1.0,0.0,28.0
Tobias Harris,PHI,31,2,1,1,37.3,23.0,9.5,16.0,59.4,1.0,2.0,50.0,3.0,3.5,85.7,0.5,5.5,6.0,2.5,2.0,0.5,0.5,2.0,35.0,0.0,0.0,1.0
Giannis Antetokounmpo,MIL,28,1,1,0,35.8,22.0,6.0,10.0,60.0,3.0,3.0,100.0,7.0,13.0,53.8,1.0,7.0,8.0,6.0,7.0,0.0,1.0,3.0,36.6,0.0,0.0,13.0
Kyrie Irving,DAL,31,3,1,2,29.6,22.0,7.7,15.7,48.9,3.0,7.0,42.9,3.7,4.7,78.6,1.3,1.7,3.0,5.3,2.0,2.0,0.7,1.0,39.6,0.0,0.0,-4.7
