Team,GP,POSS,FREQ%,PPP,Points,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE,year,playtype,full_name,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,PLAY_TYPE,TYPE_GROUPING,FGMX
POR,82,1170,13.1,0.944,1104,405,1082,37.4,47.8,4.2,4.0,3.7,0.7000000000000001,37.9,86.2,2014,spot,Portland Trail Blazers,,,,,,
NYK,82,551,6.6000000000000005,1.256,692,280,442,63.3,63.3,16.7,6.4,15.6,3.6,63.7,17.2,2014,cut,New York Knicks,,,,,,
NOP,82,656,7.6,1.172,769,319,518,61.6,61.6,15.7,8.4,14.000000000000002,3.0,60.1,75.9,2014,cut,New Orleans Pelicans,,,,,,
GSW,82,322,3.6,0.904,291,105,263,39.900000000000006,47.1,8.7,11.2,6.800000000000001,1.6,39.4,41.4,2014,hand_off,Golden State Warriors,,,,,,
CHI,82,608,7.199999999999999,1.118,680,292,502,58.2,58.2,13.5,7.399999999999999,13.2,3.5000000000000004,56.7,96.6,2014,cut,Chicago Bulls,,,,,,
BOS,82,722,8.3,1.27,917,378,569,66.4,66.4,16.5,8.4,16.1,4.0,64.1,3.4000000000000004,2014,cut,Boston Celtics,,,,,,
DEN,82,538,5.9,1.009,543,225,451,49.9,50.2,12.5,5.6000000000000005,11.2,1.9,51.7,86.2,2014,oreb,Denver Nuggets,,,,,,
TOR,82,507,5.9,1.055,535,216,411,52.6,52.8,14.4,6.7,12.4,2.2,53.5,48.3,2014,oreb,Toronto Raptors,,,,,,
ATL,82,1740,19.7,0.963,1675,608,1584,38.4,49.6,3.9,5.7,3.4000000000000004,0.6,38.0,65.5,2014,spot,Atlanta Hawks,,,,,,
NYK,82,501,6.0,1.032,517,211,409,51.6,51.8,14.2,6.6000000000000005,12.4,2.6,52.900000000000006,72.39999999999999,2014,oreb,New York Knicks,,,,,,
MIA,82,527,6.2,0.512,270,53,136,39.0,44.1,18.0,56.49999999999999,4.4,0.6,26.6,27.6,2014,misc,Miami Heat,,,,,,
NOP,82,573,6.6000000000000005,0.525,301,38,121,31.4,35.099999999999994,24.8,54.6,2.8000000000000003,0.5,29.0,13.8,2014,misc,New Orleans Pelicans,,,,,,
GSW,82,539,6.0,0.499,269,39,130,30.0,33.800000000000004,22.6,53.400000000000006,2.4,0.2,27.800000000000004,41.4,2014,misc,Golden State Warriors,,,,,,
CHA,82,557,6.5,0.517,288,47,131,35.9,40.1,21.0,56.39999999999999,2.5,0.8999999999999999,27.500000000000004,20.7,2014,misc,Charlotte Bobcats,,,,,,
SAC,82,562,6.4,0.536,301,36,115,31.3,35.7,29.4,50.4,2.0,0.2,31.1,6.9,2014,misc,Sacramento Kings,,,,,,
WAS,82,603,6.9,0.469,283,43,127,33.900000000000006,37.0,20.9,58.9,2.8000000000000003,0.8,25.7,69.0,2014,misc,Washington Wizards,,,,,,
PHI,82,526,5.7,1.148,604,246,420,58.6,58.6,17.1,5.5,15.6,2.5,59.9,10.3,2014,oreb,Philadelphia 76ers,,,,,,
POR,82,553,6.2,1.089,602,260,474,54.900000000000006,55.2,11.4,4.9,9.8,2.0,55.50000000000001,31.0,2014,oreb,Portland Trail Blazers,,,,,,
HOU,82,568,6.3,1.056,600,264,502,52.6,53.0,8.6,4.0,7.7,1.2,53.3,44.8,2014,oreb,Houston Rockets,,,,,,
PHX,82,536,6.0,1.103,591,261,468,55.8,56.2,9.3,6.0,9.0,2.6,54.900000000000006,24.1,2014,oreb,Phoenix Suns,,,,,,
DAL,82,550,6.2,1.055,580,249,458,54.400000000000006,54.7,11.3,7.3,9.8,1.7999999999999998,53.6,51.7,2014,oreb,Dallas Mavericks,,,,,,
ATL,82,522,5.9,1.109,579,238,429,55.50000000000001,55.7,15.3,5.6000000000000005,13.6,3.1,56.10000000000001,17.2,2014,oreb,Atlanta Hawks,,,,,,
BOS,82,503,5.800000000000001,1.149,578,245,416,58.9,58.9,13.900000000000002,5.6000000000000005,12.5,2.2,59.0,6.9,2014,oreb,Boston Celtics,,,,,,
MIL,82,562,6.4,1.011,568,235,480,49.0,49.2,12.8,3.2,11.7,1.6,51.8,82.8,2014,oreb,Milwaukee Bucks,,,,,,
MIN,82,533,5.9,1.053,561,237,445,53.3,53.6,11.4,6.4,9.4,1.5,53.5,55.2,2014,oreb,Minnesota Timberwolves,,,,,,
GSW,82,509,5.7,1.102,561,237,425,55.8,56.10000000000001,13.900000000000002,5.5,12.0,3.1,56.2,27.6,2014,oreb,Golden State Warriors,,,,,,
BKN,82,532,6.2,1.049,558,239,447,53.5,54.0,12.0,6.6000000000000005,10.3,2.6,53.0,62.1,2014,oreb,Brooklyn Nets,,,,,,
CHA,82,463,5.4,1.181,547,229,393,58.3,58.8,14.3,3.7,13.4,2.8000000000000003,60.3,0.0,2014,oreb,Charlotte Bobcats,,,,,,
PHX,82,652,7.3,0.491,320,53,132,40.2,42.4,21.6,58.4,2.5,0.3,27.6,44.8,2014,misc,Phoenix Suns,,,,,,
BKN,82,610,7.1,0.515,314,48,128,37.5,40.2,23.4,55.7,2.5,0.3,29.8,24.1,2014,misc,Brooklyn Nets,,,,,,
BOS,82,574,6.6000000000000005,0.547,314,45,130,34.599999999999994,37.3,25.1,52.8,3.1,0.5,30.7,3.4000000000000004,2014,misc,Boston Celtics,,,,,,
CLE,82,221,2.5,1.1,243,91,185,49.2,56.99999999999999,9.0,8.6,7.7,1.4,48.9,0.0,2014,hand_off,Cleveland Cavaliers,,,,,,
UTA,82,1314,15.5,1.07,1406,506,1226,41.3,54.0,4.2,3.1,3.7,0.6,42.1,3.4000000000000004,2014,spot,Utah Jazz,,,,,,
SAS,82,1375,15.6,0.999,1373,496,1242,39.900000000000006,50.6,4.9,5.3,4.8,0.6,40.3,34.5,2014,spot,San Antonio Spurs,,,,,,
BOS,82,1457,16.8,0.931,1357,503,1326,37.9,48.4,3.6,6.0,3.1,0.7000000000000001,37.1,89.7,2014,spot,Boston Celtics,,,,,,
WAS,82,446,5.1,1.121,500,203,363,55.900000000000006,56.3,14.6,5.4,12.8,1.3,57.6,13.8,2014,oreb,Washington Wizards,,,,,,
BOS,82,697,8.1,0.925,645,244,567,43.0,46.6,11.9,9.3,10.6,2.6,44.0,0.0,2014,iso,Boston Celtics,,,,,,
IND,82,506,5.9,0.955,483,202,420,48.1,48.5,13.2,6.7,12.1,3.4000000000000004,48.4,93.1,2014,oreb,Indiana Pacers,,,,,,
UTA,82,1217,14.3,1.192,1451,542,919,59.0,64.1,17.1,11.5,15.6,4.1000000000000005,56.7,3.4000000000000004,2014,tran,Utah Jazz,,,,,,
GSW,82,1041,11.6,0.84,874,334,791,42.2,42.2,13.4,12.5,11.1,1.9,42.9,55.2,2014,post,Golden State Warriors,,,,,,
POR,82,930,10.4,0.927,862,351,742,47.3,47.3,13.5,11.1,11.4,4.4,46.1,3.4000000000000004,2014,post,Portland Trail Blazers,,,,,,
UTA,82,893,10.5,0.948,847,329,680,48.4,48.4,14.8,11.5,11.9,2.5,48.4,0.0,2014,post,Utah Jazz,,,,,,
SAC,82,925,10.6,0.888,821,312,698,44.7,44.7,16.8,11.0,14.8,3.6,45.6,31.0,2014,post,Sacramento Kings,,,,,,
NOP,82,910,10.5,0.899,818,320,672,47.6,47.6,15.5,13.3,12.7,2.9000000000000004,46.6,20.7,2014,post,New Orleans Pelicans,,,,,,
DAL,82,942,10.7,0.866,816,304,691,44.0,44.0,15.7,13.1,14.000000000000002,2.2,44.8,44.8,2014,post,Dallas Mavericks,,,,,,
LAL,82,901,9.7,0.897,808,314,682,46.0,46.0,15.6,12.4,14.099999999999998,3.8,45.6,24.1,2014,post,Los Angeles Lakers,,,,,,
BOS,82,1269,14.7,1.114,1414,518,938,55.2,60.8,15.4,13.5,13.6,2.8000000000000003,52.6,58.6,2014,tran,Boston Celtics,,,,,,
CHA,82,946,11.0,1.074,1016,375,718,52.2,58.6,14.000000000000002,13.3,12.7,3.3000000000000003,49.7,96.6,2014,tran,Charlotte Bobcats,,,,,,
CHA,82,916,10.7,0.845,774,311,713,43.6,43.6,12.4,12.2,10.6,2.5,43.0,48.3,2014,post,Charlotte Bobcats,,,,,,
PHX,82,931,10.4,0.822,765,294,700,42.0,42.0,14.499999999999998,12.6,12.0,2.3,42.9,79.3,2014,post,Phoenix Suns,,,,,,
MIN,82,868,9.6,0.844,733,291,669,43.5,43.5,12.4,12.6,10.3,2.2,43.2,51.7,2014,post,Minnesota Timberwolves,,,,,,
SAS,82,874,9.9,0.826,722,297,687,43.2,43.2,10.5,12.9,8.9,2.1,42.0,72.39999999999999,2014,post,San Antonio Spurs,,,,,,
TOR,82,822,9.5,0.869,714,273,613,44.5,44.5,15.5,12.2,12.9,2.2,45.1,41.4,2014,post,Toronto Raptors,,,,,,
HOU,82,876,9.6,0.792,694,263,667,39.4,39.4,13.8,12.0,11.4,2.2,41.1,93.1,2014,post,Houston Rockets,,,,,,
