Name,EntityId,TeamId,TeamAbbreviation,GamesPlayed,OffPoss,DefPoss,Minutes,FtPoints,FTA,AtRimFGA,AtRimFGM,AtRimAccuracy,ShortMidRangeFGA,ShortMidRangeFGM,ShortMidRangeAccuracy,ShortMidRangeFrequency,LongMidRangeFGM,LongMidRangeFGA,FG2A,FG2M,FG3A,NonHeaveFg3Pct,NonHeaveArc3FGA,HeaveAttempts,Corner3FGA,Corner3FGM,NonHeaveFg3Pct,NonHeaveArc3FGM,TsPct,Points,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShotQualityAvg,year
Allen Iverson,947,1610612755,PHI,22,1863.0,1856.0,1023.0,161.0,208.0,136.0,72.0,0.5294117647058824,136.0,44.0,0.3235294117647059,0.2057488653555219,93.0,247.0,519.0,209.0,142.0,0.3404255319148936,119.0,1.0,22.0,7.0,0.3404255319148936,41.0,0.4738255033557047,723.0,0.4251134644478063,0.3389830508474576,0.3819875776397515,0.40625,0.4803921568627451,0.4204,0.4506375776397515,0.4545205614567526,2001
Dikembe Mutombo,87,1610612755,PHI,23,1769.0,1774.0,982.0,115.0,148.0,95.0,56.0,0.5894736842105263,107.0,44.0,0.411214953271028,0.5144230769230769,2.0,5.0,207.0,102.0,1.0,,1.0,,,,,,0.5778985507246377,319.0,0.4903846153846153,0.5555555555555556,0.5609756097560976,0.6460674157303371,0.664179104477612,0.5167894736842106,0.4420890243902439,0.4462632211538461,2001
Aaron McKie,243,1610612755,PHI,23,1623.0,1606.0,891.0,59.0,75.0,56.0,35.0,0.625,73.0,21.0,0.2876712328767123,0.2425249169435216,42.0,108.0,237.0,98.0,64.0,0.4285714285714285,34.0,1.0,29.0,16.0,0.4285714285714285,11.0,0.5,336.0,0.4601328903654485,0.5975609756097561,0.4666666666666667,0.6136363636363636,0.5141509433962265,0.4826111111111111,0.4332522471910112,0.4392666666666667,2001
Ray Allen,951,1610612749,MIL,18,1420.0,1418.0,768.0,79.0,86.0,59.0,30.0,0.5084745762711864,95.0,41.0,0.431578947368421,0.2870090634441087,30.0,58.0,212.0,101.0,119.0,0.4956521739130435,87.0,4.0,28.0,18.0,0.4956521739130435,39.0,0.6084010840108401,452.0,0.5634441087613293,0.4487179487179487,0.5492957746478874,0.4756097560975609,0.6235294117647059,0.4538413793103448,0.4653710144927536,0.4678010703363914,2001
Tyrone Hill,238,1610612755,PHI,23,1330.0,1339.0,742.0,36.0,53.0,56.0,33.0,0.5892857142857143,87.0,29.0,0.3333333333333333,0.5471698113207547,3.0,15.0,158.0,65.0,1.0,,,1.0,,,,,0.456043956043956,166.0,0.4088050314465409,0.4848484848484848,0.2758620689655172,0.5405405405405406,0.3552631578947368,0.50359375,0.4310607142857142,0.4392683544303797,2001
Eric Snow,727,1610612755,PHI,23,1297.0,1285.0,717.0,40.0,55.0,47.0,24.0,0.5106382978723404,65.0,25.0,0.3846153846153846,0.3095238095238095,38.0,91.0,203.0,87.0,7.0,,6.0,,1.0,,,,0.4533898305084746,214.0,0.4142857142857143,0.5384615384615384,0.34375,0.5833333333333334,0.4457831325301205,0.4192391304347826,0.3952046875,0.4137066666666666,2001
Kobe Bryant,977,1610612747,LAL,16,1327.0,1323.0,694.0,124.0,151.0,94.0,58.0,0.6170212765957447,108.0,49.0,0.4537037037037037,0.3016759776536313,50.0,122.0,324.0,157.0,34.0,0.3333333333333333,30.0,1.0,3.0,2.0,0.3333333333333333,9.0,0.5449172576832151,471.0,0.4846368715083798,0.5545454545454546,0.494949494949495,0.576271186440678,0.5877862595419847,0.4818634146341463,0.4329091836734693,0.4580056022408963,2001
Glenn Robinson,299,1610612749,MIL,18,1286.0,1277.0,688.0,50.0,56.0,44.0,21.0,0.4772727272727273,134.0,57.0,0.4253731343283582,0.4161490683229814,36.0,82.0,260.0,114.0,62.0,0.4,58.0,2.0,2.0,,0.4,24.0,0.5,350.0,0.4658385093167702,0.4852941176470588,0.5,0.4852941176470588,0.5638297872340425,0.4715634615384615,0.4170105263157894,0.4271298742138365,2001
Sam Cassell,208,1610612749,MIL,18,1272.0,1270.0,681.0,84.0,97.0,34.0,16.0,0.4705882352941176,126.0,46.0,0.365079365079365,0.4532374100719424,38.0,88.0,248.0,100.0,30.0,0.3448275862068966,26.0,1.0,3.0,2.0,0.3448275862068966,8.0,0.4875776397515527,314.0,0.4136690647482014,0.4428571428571428,0.4047619047619047,0.5365853658536586,0.5465116279069767,0.4416016666666666,0.4186274193548386,0.4347032490974729,2001
Shaquille O'Neal,406,1610612747,LAL,16,1296.0,1291.0,676.0,105.0,200.0,167.0,123.0,0.7365269461077845,177.0,68.0,0.384180790960452,0.5145348837209303,,,344.0,191.0,,,,,,,,,0.5599078341013825,487.0,0.5552325581395349,0.765625,0.6375,0.702247191011236,0.5932203389830508,0.5405814814814816,0.5149475,0.4861104651162791,2001
