Player,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Team
Trae Young,,0,P,0,0,0,0.0,ATL
Jalen Johnson,,RFA,0,EE,0,0,0.0,ATL
Terance Mann,,0,0,0,0,0,0.0,ATL
Onyeka Okongwu,,EE,0,0,0,0,0.0,ATL
Zaccharie Risacher,,0,T,T,RFA,0,0.0,ATL
Georges Niang,,0,0,0,0,0,0.0,ATL
Dyson Daniels,,EE,RFA,0,0,0,0.0,ATL
Kobe Bufkin,,0,T,RFA,0,0,0.0,ATL
Vit Krejci,,NG,EE,T,0,0,0.0,ATL
Dominick Barlow,,T,RFA,0,0,0,0.0,ATL
Mouhamed Gueye,,EE,T,0,0,0,0.0,ATL
Daeqwon Plowden,,0,RFA,0,0,0,0.0,ATL
Jayson Tatum,,0,0,EE,0,P,0.0,BOS
Jaylen Brown,,0,EE,0,0,0,0.0,BOS
Jrue Holiday,,0,EE,P,0,0,0.0,BOS
Kristaps Porzingis,,EE,0,0,0,0,0.0,BOS
Derrick White,,0,EE,0,0,0,0.0,BOS
Sam Hauser,,0,0,EE,0,0,0.0,BOS
Payton Pritchard,,0,EE,0,0,0,0.0,BOS
Baylor Scheierman,,0,T,T,RFA,0,0.0,BOS
Xavier Tillman,,0,0,0,0,0,0.0,BOS
Neemias Queta,,NG,T,0,0,0,0.0,BOS
J.D. Davison,,T,0,0,0,0,0.0,BOS
Jordan Walsh,,EE,T,0,0,0,0.0,BOS
Miles Norris,,0,RFA,0,0,0,0.0,BOS
Nicolas Claxton,,0,EE,0,0,,,BKN
Cameron Johnson,,EE,0,0,0,,,BKN
Noah Clowney,,EE,T,RFA,0,,,BKN
Dariq Whitehead,,0,T,RFA,0,,,BKN
Keon Johnson,,T,0,0,0,,,BKN
Jalen Wilson,,T,NG,0,0,,,BKN
Maxwell Lewis,,NG,T,0,0,,,BKN
Tyrese Martin,,T,RFA,0,0,,,BKN
Drew Timme,,T,RFA,0,0,,,BKN
Tosan Evbuomwan,,0,0,0,0,,,BKN
LaMelo Ball,,0,EE,0,0,0,,CHA
Miles Bridges,,0,EE,0,0,0,,CHA
Jusuf Nurkic,,0,0,0,0,0,,CHA
Josh Green,,EE,0,0,0,0,,CHA
Grant Williams,,EE,0,0,0,0,,CHA
Brandon Miller,,0,T,RFA,0,0,,CHA
Tidjane Salaun,,0,T,T,RFA,0,,CHA
Josh Okogie,,NG,0,0,0,0,,CHA
Mark Williams,,EE,RFA,0,0,0,,CHA
DaQuan Jeffries,,NG,EE,0,0,0,,CHA
Nick Smith Jr.,,0,T,RFA,0,0,,CHA
Moussa Diabate,,RFA,NG,0,0,0,,CHA
K.J. Simpson,,0,RFA,0,0,0,,CHA
Damion Baugh,,0,RFA,0,0,0,,CHA
Nikola Vucevic,,EE,0,0,0,0,,CHI
Zach Collins,,EE,0,0,0,0,,CHI
Patrick Williams,,0,0,EE,P,0,,CHI
Kevin Huerter,,0,0,0,0,0,,CHI
Coby White,,EE,0,0,0,0,,CHI
Lonzo Ball,,0,T,EE,0,0,,CHI
Jalen Smith,,0,EE,0,0,0,,CHI
