Name,EntityId,TeamId,TeamAbbreviation,GamesPlayed,OffPoss,DefPoss,FtPoints,FTA,AtRimFGA,AtRimFGM,AtRimAccuracy,ShortMidRangeFGA,ShortMidRangeFGM,ShortMidRangeAccuracy,ShortMidRangeFrequency,LongMidRangeFGM,LongMidRangeFGA,FG2A,FG2M,FG3A,NonHeaveFg3Pct,NonHeaveArc3FGA,HeaveAttempts,Corner3FGA,Corner3FGM,NonHeaveFg3Pct.1,NonHeaveArc3FGM,TsPct,Points,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShotQualityAvg,year
DAL,1610612742,1610612742,DAL,10,885,884,217,256,223,119,0.5336322869955157,197,62,0.3147208121827411,0.2438118811881188,80.0,216,636,261,172,0.3546511627906977,154,,18,6.0,0.3546511627906977,55,0.4972796517954298,922,0.4362623762376237,0.4409448818897638,0.4679802955665024,0.4821428571428571,0.5632183908045977,0.50835,0.4519036945812808,0.4807659034653465,2001
LAL,1610612747,1610612747,LAL,16,1487,1488,332,491,430,273,0.6348837209302326,367,142,0.3869209809264305,0.280366692131398,99.0,258,1055,514,254,0.3904382470119522,193,3.0,58,28.0,0.3904382470119522,70,0.5369522563767168,1654,0.5049656226126814,0.5681818181818182,0.5337837837837838,0.5765957446808511,0.5727848101265823,0.5092815625,0.474461277173913,0.4834831417624521,2001
MIL,1610612749,1610612749,MIL,18,1606,1606,341,426,303,167,0.5511551155115512,498,203,0.4076305220883534,0.3434482758620689,139.0,333,1134,509,316,0.3915857605177993,250,7.0,59,28.0,0.3915857605177993,93,0.5218712029161604,1722,0.4762068965517241,0.469047619047619,0.4853372434017595,0.5126582278481012,0.5687645687645687,0.4759815789473684,0.4471513473053892,0.4519333448993754,2001
MIN,1610612750,1610612750,MIN,4,349,352,70,86,62,31,0.5,86,30,0.3488372093023256,0.270440251572327,50.0,130,278,111,40,0.3157894736842105,17,2.0,21,7.0,0.3157894736842105,5,0.4565826330532213,328,0.4056603773584906,0.4418604651162791,0.3863636363636363,0.4803921568627451,0.5058139534883721,0.4693175,0.4492984375,0.4528462025316456,2001
ORL,1610612753,1610612753,ORL,4,386,384,67,98,106,67,0.6320754716981132,63,21,0.3333333333333333,0.1754874651810584,36.0,108,277,124,82,0.3902439024390244,67,,15,8.0,0.3902439024390244,24,0.5074626865671642,411,0.479108635097493,0.4680851063829787,0.3478260869565217,0.490566037735849,0.4318181818181818,0.5002444444444445,0.4546576086956521,0.4687285515320334,2001
PHI,1610612755,1610612755,PHI,23,2017,2017,470,618,498,297,0.5963855421686747,553,195,0.352622061482821,0.2974717590102205,203.0,546,1597,695,262,0.3424124513618677,188,5.0,69,30.0,0.3424124513618677,58,0.4943661971830986,2124,0.4448628294782141,0.505,0.4269311064718162,0.5642857142857143,0.5098684210526315,0.4812892988929889,0.4383754736842105,0.4476965191581219,2001
SAC,1610612758,1610612758,SAC,8,776,780,187,229,220,124,0.5636363636363636,148,45,0.304054054054054,0.2151162790697674,68.0,206,574,237,114,0.3539823008849557,79,1.0,34,12.0,0.3539823008849557,28,0.4911616161616162,781,0.4316860465116279,0.4774774774774775,0.4946808510638298,0.5338345864661654,0.5675105485232067,0.4897075,0.4757346774193548,0.4735792700729926,2001
NYK,1610612752,1610612752,NYK,5,442,440,91,117,104,65,0.625,103,43,0.4174757281553398,0.2885154061624649,39.0,91,298,147,59,0.3508771929824561,44,2.0,13,6.0,0.3508771929824561,14,0.5414634146341464,445,0.4957983193277311,0.5303030303030303,0.4594594594594595,0.5641025641025641,0.5728155339805825,0.5274826923076923,0.4357618055555555,0.456679014084507,2001
PHX,1610612756,1610612756,PHX,4,390,389,65,91,80,39,0.4875,88,34,0.3863636363636363,0.2458100558659217,46.0,122,290,119,68,0.2575757575757575,48,2.0,18,5.0,0.2575757575757575,12,0.4411027568922305,354,0.4036312849162011,0.34,0.3944444444444444,0.3611111111111111,0.4380952380952381,0.52406,0.4763605555555555,0.4687630617977528,2001
UTA,1610612762,1610612762,UTA,5,429,431,100,129,159,95,0.5974842767295597,78,18,0.2307692307692307,0.2005141388174807,34.0,97,334,147,55,0.3272727272727272,41,,14,6.0,0.3272727272727272,12,0.4909502262443438,448,0.4473007712082262,0.4833333333333333,0.4555555555555555,0.5078125,0.55,0.5335390909090909,0.47848,0.4796724226804124,2001
TOR,1610612761,1610612761,TOR,12,1046,1049,189,250,228,126,0.5526315789473685,179,74,0.4134078212290503,0.1876310272536687,152.0,366,773,352,181,0.398876404494382,148,3.0,30,15.0,0.398876404494382,56,0.5159774436090225,1106,0.4806079664570231,0.5112781954887218,0.4437751004016064,0.5566666666666666,0.5131578947368421,0.4831962184873949,0.4342825203252032,0.4513966351209253,2001
CHH,1610612766,1610612766,CHH,10,893,892,235,314,260,142,0.5461538461538461,160,57,0.35625,0.204865556978233,96.0,241,661,295,120,0.3697478991596639,97,1.0,22,12.0,0.3697478991596639,32,0.5151351351351351,957,0.4622279129321383,0.5357142857142857,0.4958158995815899,0.5703703703703704,0.5515625,0.4966934579439252,0.4633582278481012,0.4623686136071887,2001
IND,1610612754,1610612754,IND,4,350,347,62,75,61,44,0.7213114754098361,101,26,0.2574257425742574,0.3069908814589666,36.0,94,256,106,73,0.3472222222222222,53,1.0,19,6.0,0.3472222222222222,19,0.4777777777777778,349,0.4361702127659574,0.4545454545454545,0.3834951456310679,0.5204081632653061,0.4621848739495798,0.4542121212121212,0.417485294117647,0.4402533536585366,2001
