PLAYER,TEAM_x,overall_freq_x,overall_dfg_x,year,rim_acc_on_x,rim_acc_off_x,TEAM_y,rim_freq_x,rim_dfg_x,rim_freq_on_x,rim_freq_off_x,TEAM_x,overall_freq_y,overall_dfg_y,rim_acc_on_y,rim_acc_off_y,TEAM_y,rim_freq_y,rim_dfg_y,rim_freq_on_y,rim_freq_off_y,TEAM_x,overall_freq_x,overall_dfg_x,rim_acc_on_x,rim_acc_off_x,TEAM_y,rim_freq_x,rim_dfg_x,rim_freq_on_x,rim_freq_off_x,TEAM_x,overall_freq_y,overall_dfg_y,rim_acc_on_y,rim_acc_off_y,TEAM_y,rim_freq_y,rim_dfg_y,rim_freq_on_y,rim_freq_off_y,TEAM_x,overall_freq_x,overall_dfg_x,rim_acc_on_x,rim_acc_off_x,TEAM_y,rim_freq_x,rim_dfg_x,rim_freq_on_x,rim_freq_off_x,TEAM_x,overall_freq_y,overall_dfg_y,rim_acc_on_y,rim_acc_off_y,TEAM_y,rim_freq_y,rim_dfg_y,rim_freq_on_y,rim_freq_off_y,TEAM_x,overall_freq_x,overall_dfg_x,rim_acc_on_x,rim_acc_off_x,TEAM_y,rim_freq_x,rim_dfg_x,rim_freq_on_x,rim_freq_off_x,TEAM_x,overall_freq_y,overall_dfg_y,rim_acc_on_y,rim_acc_off_y,TEAM_y,rim_freq_y,rim_dfg_y,rim_freq_on_y,rim_freq_off_y,TEAM_x,overall_freq_x,overall_dfg_x,rim_acc_on_x,rim_acc_off_x,TEAM_y,rim_freq_x,rim_dfg_x,rim_freq_on_x,rim_freq_off_x,TEAM_x,overall_freq_y,overall_dfg_y,rim_acc_on_y,rim_acc_off_y,TEAM_y,rim_freq_y,rim_dfg_y,rim_freq_on_y,rim_freq_off_y,TEAM_x,overall_freq,overall_dfg,rim_acc_on,rim_acc_off,TEAM_y,rim_freq,rim_dfg,rim_freq_on,rim_freq_off
DeAndre Jordan,LAC,100.0,45.5,2014,0.617,0.622,LAC,45.2,56.4,0.32,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robin Lopez,POR,100.0,43.4,2014,0.565,0.579,POR,48.8,46.7,0.341,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Hawes,CLE,100.0,45.7,2014,0.64,0.627,CLE,45.5,56.4,0.274,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Hawes,CLE,100.0,45.7,2014,0.64,0.627,CLE,45.5,56.4,0.317,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Hawes,CLE,100.0,45.7,2014,0.604,0.651,CLE,45.5,56.4,0.274,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Hawes,CLE,100.0,45.7,2014,0.604,0.651,CLE,45.5,56.4,0.317,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Ibaka,OKC,100.0,44.4,2014,0.552,0.603,OKC,48.9,48.8,0.344,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joakim Noah,CHI,100.0,42.5,2014,0.573,0.573,CHI,36.2,51.2,0.298,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Gortat,WAS,100.0,47.0,2014,0.613,0.639,WAS,49.4,54.0,0.302,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Love,MIN,100.0,50.1,2014,0.667,0.611,MIN,46.4,64.4,0.315,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Hibbert,IND,100.0,41.8,2014,0.514,0.553,IND,48.0,43.6,0.281,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Millsap,ATL,100.0,46.9,2014,0.595,0.628,ATL,43.8,57.4,0.325,0.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Drummond,DET,100.0,48.8,2014,0.628,0.624,DET,50.8,56.0,0.343,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Smith,DET,100.0,44.9,2014,0.62,0.642,DET,40.5,54.1,0.336,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Bosh,MIA,100.0,46.2,2014,0.591,0.632,MIA,40.8,59.0,0.319,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
