PLAYERID,FIRSTNAME,LASTNAME,PLAYERNAME,TEAMID,TEAMCITY,TEAMNAME,TEAMABBREVIATION,AVGSHOTQUALITY,AVGMADESHOTQUALITY,AVGMISSEDSHOTQUALITY,MINSHOTQUALITYONMAKE,AVGSHOTQUALITY2PT,AVGMADESHOTQUALITY2PT,AVGMISSEDSHOTQUALITY2PT,AVGSHOTQUALITY3PT,AVGMADESHOTQUALITY3PT,AVGMISSEDSHOTQUALITY3PT,FGPCT,FGPCTABOVEEXPECTED,FG3PCT,FG3PCTABOVEEXPECTED,AVGDEFENSIVEHANDHEIGHT,AVGDEFENDERBALLDISTANCE,AVGSHOOTERSPEED,AVGROTATIONDEGREES,AVGDEFENDERPRESSURESCORE,AVGSHOTQUALITY_RANK,AVGMADESHOTQUALITY_RANK,AVGMISSEDSHOTQUALITY_RANK,MINSHOTQUALITYONMAKE_RANK,AVGSHOTQUALITY2PT_RANK,AVGMADESHOTQUALITY2PT_RANK,AVGMISSEDSHOTQUALITY2PT_RANK,AVGSHOTQUALITY3PT_RANK,AVGMADESHOTQUALITY3PT_RANK,AVGMISSEDSHOTQUALITY3PT_RANK,FGPCT_RANK,FGPCTABOVEEXPECTED_RANK,FG3PCT_RANK,FG3PCTABOVEEXPECTED_RANK,AVGDEFENSIVEHANDHEIGHT_RANK,AVGDEFENDERBALLDISTANCE_RANK,AVGSHOOTERSPEED_RANK,AVGROTATIONDEGREES_RANK,AVGDEFENDERPRESSURESCORE_RANK
1627826,Ivica,Zubac,Ivica Zubac,1610612746,LA,Clippers,LAC,0.56,0.657,0.392,0.401,0.56,0.657,0.392,0.0,0.0,0.0,0.656,0.096,0.0,0.0,94.668,31.3,5.274,0.0,0.91,19,20,71,140,57,52,111,138,132,138,14,31,131,138,8,147,58,1,1
1629674,Neemias,Queta,Neemias Queta,1610612738,Boston,Celtics,BOS,0.571,0.697,0.36,0.441,0.571,0.697,0.36,0.0,0.0,0.0,0.706,0.135,0.0,0.0,94.393,39.7,5.825,0.0,0.897,17,10,116,145,47,31,122,138,132,138,6,18,131,138,9,109,37,1,2
1631117,Walker,Kessler,Walker Kessler,1610612762,Utah,Jazz,UTA,0.904,0.904,0.0,0.904,0.904,0.904,0.0,0.0,0.0,0.0,1.0,0.096,1.0,0.0,71.639,52.5,2.655,0.0,0.894,1,1,147,148,1,1,145,138,132,138,1,32,1,138,148,20,146,1,3
1641718,Keyonte,George,Keyonte George,1610612762,Utah,Jazz,UTA,0.407,0.469,0.375,0.156,0.462,0.5,0.431,0.324,0.345,0.32,0.407,0.0,0.154,-0.17,91.551,32.7,6.525,0.0,0.893,124,118,97,14,125,129,75,127,100,124,121,85,128,120,31,144,19,1,4
1629627,Zion,Williamson,Zion Williamson,1610612740,New Orleans,Pelicans,NOP,0.497,0.579,0.391,0.023,0.497,0.579,0.391,0.0,0.0,0.0,0.462,-0.035,0.0,0.0,92.156,31.9,6.948,0.0,0.885,44,43,75,1,102,94,112,138,132,138,91,110,131,138,23,145,12,1,5
201942,DeMar,DeRozan,DeMar DeRozan,1610612758,Sacramento,Kings,SAC,0.436,0.447,0.426,0.264,0.447,0.458,0.435,0.379,0.373,0.384,0.5,0.064,0.375,-0.004,88.139,37.8,2.81,0.0,0.882,100,129,33,45,135,140,71,24,51,14,70,48,64,77,58,122,143,1,6
1642259,Alex,Sarr,Alex Sarr,1610612764,Washington,Wizards,WAS,0.509,0.584,0.43,0.286,0.526,0.597,0.439,0.386,0.366,0.393,0.543,0.034,0.25,-0.136,96.644,35.8,4.107,0.0,0.879,37,41,29,65,82,82,67,14,66,7,43,67,107,112,2,135,107,1,7
1629656,Quentin,Grimes,Quentin Grimes,1610612755,Philadelphia,76ers,PHI,0.364,0.356,0.374,0.274,0.437,0.419,0.448,0.319,0.33,0.3,0.455,0.091,0.538,0.219,93.104,31.5,4.666,0.0,0.87,146,148,100,54,136,146,53,130,117,132,94,33,17,12,18,146,81,1,8
201142,Kevin,Durant,Kevin Durant,1610612745,Houston,Rockets,HOU,0.454,0.509,0.388,0.29,0.484,0.541,0.406,0.343,0.35,0.337,0.529,0.075,0.429,0.086,92.08,36.1,4.143,0.0,0.869,88,93,85,69,114,112,105,103,89,95,51,41,45,41,25,133,105,1,9
203954,Joel,Embiid,Joel Embiid,1610612755,Philadelphia,76ers,PHI,0.384,0.421,0.32,0.33,0.459,0.482,0.368,0.322,0.339,0.304,0.4,0.016,0.3,-0.022,85.898,38.8,2.709,0.0,0.865,138,134,143,96,126,137,117,128,107,130,124,77,95,84,76,118,145,1,10
