Season,ORtg
2023-24,115.5
2022-23,114.8
2021-22,112.0
2020-21,112.3
2019-20,110.6
2018-19,110.4
2017-18,108.6
2016-17,108.8
2015-16,106.4
2014-15,105.6
2013-14,106.6
2012-13,105.8
2011-12,104.6
2010-11,107.3
2009-10,107.6
2008-09,108.3
2007-08,107.5
2006-07,106.5
2005-06,106.2
2004-05,106.1
2003-04,102.9
2002-03,103.6
2001-02,104.5
2000-01,103.0
1999-00,104.1
1998-99,102.2
1997-98,105.0
1996-97,106.7
1995-96,107.6
1994-95,108.3
1993-94,106.3
1992-93,108.0
1991-92,108.2
1990-91,107.9
1989-90,108.1
1988-89,107.8
1987-88,108.0
1986-87,108.3
1985-86,107.2
1984-85,107.9
1983-84,107.6
1982-83,104.7
1981-82,106.9
1980-81,105.5
1979-80,105.3
