Team,GP,POSS,FREQ%,PPP,Points,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE,year,playtype,full_name,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,PLAY_TYPE,TYPE_GROUPING,FGMX
UTA,82,436,5.1,0.89,386,156,382,40.8,44.0,7.6,7.1,6.0,2.3,41.1,27.6,2014,off_screen,Utah Jazz,,,,,,
DAL,82,764,8.8,1.19,909,400,634,63.1,63.1,11.3,7.9,10.7,2.0,60.1,34.5,2014,cut,Dallas Mavericks,,,,,,
MIL,82,739,8.5,1.18,873,376,609,61.7,61.7,13.3,6.4,12.9,2.0,60.9,31.0,2014,cut,Milwaukee Bucks,,,,,,
UTA,82,638,7.4,1.07,681,281,523,53.7,53.7,16.0,6.6,14.6,5.0,53.8,0.0,2014,cut,Utah Jazz,,,,,,
SAC,82,591,6.6,1.15,682,277,467,59.3,59.3,16.8,6.4,15.9,2.0,60.2,10.3,2014,cut,Sacramento Kings,,,,,,
BOS,82,584,6.6,1.17,683,278,460,60.4,60.4,15.6,7.2,14.6,2.0,60.3,24.1,2014,cut,Boston Celtics,,,,,,
ORL,82,484,5.6,1.08,524,235,422,55.7,55.8,10.1,5.4,9.3,2.7,54.5,58.6,2014,oreb,Orlando Magic,,,,,,
PHX,82,537,6.0,1.0,535,221,446,49.6,49.9,11.7,5.6,10.1,0.6,51.2,13.8,2014,oreb,Phoenix Suns,,,,,,
HOU,82,528,5.9,1.1,579,238,411,57.9,58.3,18.6,6.6,16.1,3.4,56.4,65.5,2014,oreb,Houston Rockets,,,,,,
SAS,82,1746,20.1,1.06,1849,672,1576,42.6,54.7,4.8,6.1,4.6,1.1,42.0,96.6,2014,spot,San Antonio Spurs,,,,,,
ORL,82,543,6.3,0.45,246,46,124,37.1,41.5,17.3,60.4,2.0,0.6,24.1,24.1,2014,misc,Orlando Magic,,,,,,
CHI,82,599,7.0,0.41,248,31,113,27.4,31.0,19.0,62.1,2.0,0.0,23.0,3.4,2014,misc,Chicago Bulls,,,,,,
BOS,82,548,6.2,0.46,254,49,125,39.2,42.8,18.8,59.1,3.1,0.7,24.8,34.5,2014,misc,Boston Celtics,,,,,,
ATL,82,531,6.1,0.49,258,32,97,33.0,35.6,21.3,60.5,0.9,0.0,26.2,55.2,2014,misc,Atlanta Hawks,,,,,,
MIA,82,552,6.7,0.48,265,43,108,39.8,43.5,20.1,60.9,3.1,0.5,26.6,44.8,2014,misc,Miami Heat,,,,,,
BKN,82,555,6.6,0.48,267,44,119,37.0,39.9,22.2,57.3,4.0,0.9,26.1,48.3,2014,misc,Brooklyn Nets,,,,,,
IND,82,1410,16.4,1.02,1442,542,1305,41.5,52.1,3.6,4.3,3.2,0.5,41.4,75.9,2014,spot,Indiana Pacers,,,,,,
SAS,82,363,4.2,1.11,403,179,310,57.7,58.1,8.3,7.4,8.0,1.1,56.2,79.3,2014,oreb,San Antonio Spurs,,,,,,
MIA,82,355,4.3,1.17,415,179,309,57.9,58.4,10.4,3.9,9.9,1.4,59.4,100.0,2014,oreb,Miami Heat,,,,,,
CHA,82,394,4.6,1.1,434,177,314,56.4,56.5,14.7,6.9,13.2,1.8,56.6,72.4,2014,oreb,Charlotte Bobcats,,,,,,
WAS,82,400,4.6,1.13,451,201,353,56.9,57.6,9.0,5.0,8.0,2.3,56.5,93.1,2014,oreb,Washington Wizards,,,,,,
LAL,82,417,4.7,1.08,452,183,341,53.7,54.3,14.6,6.2,13.7,2.9,54.9,62.1,2014,oreb,Los Angeles Lakers,,,,,,
DAL,82,431,5.0,1.07,461,189,357,52.9,53.6,13.0,5.8,10.4,1.6,54.5,44.8,2014,oreb,Dallas Mavericks,,,,,,
IND,82,470,5.5,1.02,480,207,405,51.1,51.2,11.3,4.7,9.6,2.1,52.8,31.0,2014,oreb,Indiana Pacers,,,,,,
LAC,82,438,4.9,1.11,486,211,358,58.9,59.5,14.2,6.4,12.8,2.5,56.2,75.9,2014,oreb,Los Angeles Clippers,,,,,,
GSW,82,506,5.6,0.98,495,218,450,48.4,48.7,9.5,3.8,8.9,2.2,49.2,6.9,2014,oreb,Golden State Warriors,,,,,,
NYK,82,459,5.4,1.08,495,198,378,52.4,53.3,14.4,5.0,13.3,2.0,54.5,51.7,2014,oreb,New York Knicks,,,,,,
CLE,82,522,5.9,0.95,497,199,426,46.7,47.1,14.8,5.4,12.8,1.7,49.0,0.0,2014,oreb,Cleveland Cavaliers,,,,,,
NOP,82,544,6.3,0.43,233,41,128,32.0,33.6,18.8,57.9,1.8,0.2,24.4,20.7,2014,misc,New Orleans Pelicans,,,,,,
MIL,82,561,6.4,0.42,237,44,120,36.7,37.9,17.3,62.0,2.5,0.7,22.6,10.3,2014,misc,Milwaukee Bucks,,,,,,
SAS,82,513,5.9,0.46,237,41,99,41.4,46.5,17.2,63.9,1.6,0.4,23.8,31.0,2014,misc,San Antonio Spurs,,,,,,
CLE,82,463,5.2,0.82,379,158,406,38.9,43.0,4.3,9.1,3.5,0.9,37.6,10.3,2014,off_screen,Cleveland Cavaliers,,,,,,
HOU,82,1850,20.6,1.0,1842,639,1641,38.9,51.6,6.0,6.4,5.2,1.1,38.9,51.7,2014,spot,Houston Rockets,,,,,,
NYK,82,1792,21.2,1.03,1849,671,1650,40.7,53.0,3.7,4.9,3.3,0.7,40.2,82.8,2014,spot,New York Knicks,,,,,,
ATL,82,762,8.8,1.23,934,390,627,62.2,62.2,15.2,6.2,14.8,4.0,61.9,55.2,2014,cut,Atlanta Hawks,,,,,,
BKN,82,1901,22.6,1.01,1918,685,1679,40.8,52.7,5.3,6.8,5.0,0.5,40.6,62.1,2014,spot,Brooklyn Nets,,,,,,
DAL,82,259,3.0,0.93,240,92,213,43.2,47.4,9.7,9.7,8.9,1.5,43.6,72.4,2014,hand_off,Dallas Mavericks,,,,,,
MIA,82,2005,24.3,1.01,2024,738,1805,40.9,52.5,4.6,6.3,4.1,0.9,40.2,65.5,2014,spot,Miami Heat,,,,,,
MEM,82,275,3.2,0.9,247,103,242,42.6,46.3,6.9,6.2,6.9,1.1,41.8,55.2,2014,hand_off,Memphis Grizzlies,,,,,,
OKC,82,517,5.8,0.87,449,167,397,42.1,42.1,14.5,11.4,12.6,2.9,43.7,69.0,2014,post,Oklahoma City Thunder,,,,,,
ATL,82,543,6.3,0.84,459,183,392,46.7,46.7,13.3,16.9,12.2,2.6,43.6,48.3,2014,post,Atlanta Hawks,,,,,,
