Player,Pos,Age,2026-27,2027-28,2028-29,2029-30,2030-31,Team
Ricky Rubio,0.0,0.0,424672.0,0.0,0.0,0.0,0.0,CLE
JaVale McGee,,,2208856.0,2208856.0,0.0,0.0,0.0,DAL
Olivier-Maxence Prosper,,,1002360.0,1002360.0,0.0,0.0,0.0,DAL
Cole Anthony,,,3700000.0,3700000.0,0.0,0.0,,MEM
Mamadi Diakite,,,464050.0,0.0,0.0,0.0,,MEM
Lillard Damian WAIVED,0.0,0.0,22516603.0,22516603.0,22516603.0,22516603.0,0.0,MIL
Micic Vasilije WAIVED,0.0,0.0,666667.0,666667.0,0.0,0.0,0.0,MIL
Bradley Beal,0.0,0.0,19383010.0,19383010.0,19383010.0,19383010.0,0.0,PHX
Nassir Little,0.0,0.0,3107143.0,3107143.0,3107143.0,3107143.0,3107143.0,PHX
E.J. Liddell,0.0,0.0,706898.0,0.0,0.0,0.0,0.0,PHX
Didi Louzada,0.0,0.0,268032.0,268031.0,268031.0,0.0,0.0,POR
