Name,EntityId,TeamId,TeamAbbreviation,GamesPlayed,OffPoss,DefPoss,FtPoints,FTA,AtRimFGA,AtRimFGM,AtRimAccuracy,ShortMidRangeFGA,ShortMidRangeFGM,ShortMidRangeAccuracy,ShortMidRangeFrequency,LongMidRangeFGM,LongMidRangeFGA,FG2A,FG2M,FG3A,NonHeaveFg3Pct,NonHeaveArc3FGA,HeaveAttempts,Corner3FGA,Corner3FGM,NonHeaveArc3FGM,TsPct,Points,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShotQualityAvg,year
HOU,1610612745,1610612745,HOU,82,7496,7491,1385,1862,1848,1125,0.6087662337662337,1759,671,0.381466742467311,0.2612505569582652,865,2111,5718,2661,1015,0.3611670020120724,737,21.0,257,95,264,0.5107818494509856,7784,0.4751967919203921,0.5379041248606466,0.4625850340136054,0.565068493150685,0.522437673130194,0.4901242462311557,0.4557585625859697,0.4680090475480697,2001
LAC,1610612746,1610612746,LAC,82,7484,7474,1474,1983,1940,1184,0.6103092783505155,1817,677,0.3725921849201981,0.2672058823529412,780,1968,5725,2641,1075,0.332391713747646,814,13.0,247,88,265,0.5061333681325851,7818,0.4664705882352941,0.4786680541103018,0.4573033707865168,0.5133149678604224,0.5176252319109462,0.4927278186274509,0.4626778061224489,0.4675828343902079,2001
BOS,1610612738,1610612738,BOS,82,7657,7662,1634,2178,1985,1203,0.6060453400503778,1129,432,0.3826395039858282,0.1766270337922403,870,2108,5222,2505,1170,0.3727193744569939,892,19.0,258,108,321,0.5352925207004208,7934,0.4928035043804756,0.5168269230769231,0.4759199134199134,0.5551508844953174,0.5418614534636634,0.4959045261669024,0.4689000274273176,0.4772608675153229,2001
CLE,1610612739,1610612739,CLE,82,7558,7538,1633,2125,1982,1186,0.5983854692230071,1435,495,0.3449477351916376,0.218018839258584,824,2010,5427,2505,1155,0.3705985915492957,779,19.0,356,134,287,0.5214589423332447,7909,0.4767547857793983,0.4852320675105485,0.4709567198177676,0.5289449112978525,0.5401459854014599,0.4981777641277641,0.4735465417867435,0.4801133541793776,2001
CHI,1610612741,1610612741,CHI,82,7402,7403,1607,2202,2129,1335,0.6270549553781118,1272,479,0.3765723270440251,0.2009478672985782,827,1956,5357,2641,973,0.3620146904512067,747,20.0,205,84,261,0.5382565924306599,7927,0.4992101105845181,0.5216907675194661,0.5047568710359408,0.5457677165354331,0.5559058427910887,0.5035612965340179,0.4759490101658641,0.4792696176423925,2001
DAL,1610612742,1610612742,DAL,82,7696,7708,1631,2231,2265,1323,0.5841059602649007,1496,526,0.3516042780748663,0.2235171074256686,708,1792,5553,2557,1140,0.339572192513369,832,18.0,290,108,273,0.5091725214676034,7888,0.4674286568056178,0.487408184679958,0.4586737145603075,0.5308810172570391,0.519907228449942,0.503319557195572,0.4778472546161322,0.4827338182363527,2001
DEN,1610612743,1610612743,DEN,82,7665,7677,1542,2049,2050,1258,0.6136585365853658,1627,588,0.3614013521819299,0.235319641307492,819,2069,5746,2665,1168,0.3621291448516579,838,22.0,307,115,300,0.5152173913043478,8120,0.475701475267573,0.5010384215991692,0.4696004632310365,0.5326492537313433,0.5313807531380753,0.4969652676399027,0.465440281855549,0.4773450058072009,2001
ATL,1610612737,1610612737,ATL,82,7606,7600,1646,2153,1869,1103,0.5901551631888711,1754,639,0.3643101482326111,0.2653956725677107,784,1906,5529,2526,1080,0.3729933899905571,773,21.0,285,117,278,0.5171617161716172,7886,0.47208352246936,0.4730021598272138,0.441077441077441,0.5100574712643678,0.5204626334519573,0.4900694339622641,0.4668648127128263,0.4718306792280808,2001
GSW,1610612744,1610612744,GSW,82,7819,7808,1529,2011,2211,1431,0.6472184531886025,1554,584,0.3758043758043758,0.2305637982195845,725,1816,5581,2740,1159,0.3828671328671328,872,15.0,271,110,328,0.5431532004197271,8326,0.5042284866468842,0.5075187969924813,0.5038575667655787,0.5397890699904123,0.5616438356164384,0.4885981912144703,0.4718748502994012,0.4790661609400565,2001
LAL,1610612747,1610612747,LAL,82,7604,7619,1595,2114,1795,1098,0.611699164345404,1664,603,0.3623798076923077,0.2441672780630961,869,2188,5647,2570,1168,0.3585069444444444,919,16.0,233,94,319,0.5112127851527258,7974,0.4680117388114453,0.4914893617021276,0.4606770833333333,0.5235626767200754,0.5288907633909743,0.4871457972805933,0.4606948548812665,0.4656622495580436,2001
