bref_id,Player,Season,team,Offensive Archetype,Minutes,Games,Pos,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,NBA ID,boxLEBRON,boxOLEBRON,boxDLEBRON,year
cartevi01,vince carter,2019-20,ATL,Stationary Shooter,876,60,PF,43,-2.38,-1.7,-0.68,0.00,1713.0,-2.19,-1.71,-0.48,2020
crawfja01,jamal crawford,2019-20,BRK,Off Screen Shooter,6,1,SG,39,-0.97,-1.16,0.19,0.00,2037.0,-1.0,-1.2,0.2,2020
chandty01,tyson chandler,2019-20,HOU,Roll + Cut Big,219,26,C,37,-1.65,-2.09,0.43,0.10,2199.0,-1.85,-2.18,0.33,2020
jamesle01,lebron james,2019-20,LAL,Shot Creator,2316,67,PG,35,5.5,4.48,1.02,11.70,2544.0,4.8,4.22,0.58,2020
anthoca01,carmelo anthony,2019-20,POR,Versatile Big,1902,58,PF,35,-0.43,-0.42,-0.01,2.40,2546.0,-1.21,-0.52,-0.69,2020
korveky01,kyle korver,2019-20,MIL,Off Screen Shooter,960,58,SF,38,-0.03,0.29,-0.32,1.50,2594.0,-0.23,-0.3,0.07,2020
hasleud01,udonis haslem,2019-20,MIA,Stretch Big,44,4,C,39,-1.98,-1.96,-0.02,0.00,2617.0,-1.64,-1.66,0.02,2020
howardw01,dwight howard,2019-20,LAL,Roll + Cut Big,1306,69,C,34,0.87,-0.61,1.48,2.80,2730.0,1.11,-0.72,1.83,2020
iguodan01,andre iguodala,2019-20,MIA,Stationary Shooter,418,21,SF,36,-0.78,-2.2,1.42,0.40,2738.0,-1.26,-2.11,0.85,2020
smithjr01,jr smith,2019-20,LAL,Secondary Ball Handler,79,6,SG,34,-2.6,-1.97,-0.63,0.00,2747.0,-2.49,-1.84,-0.65,2020
arizatr01,trevor ariza,2019-20,TOT,Stationary Shooter,1492,53,SF,34,-0.22,-1.89,1.68,2.10,2772.0,-0.55,-1.14,0.6,2020
willima02,marvin williams,2019-20,TOT,Versatile Big,1129,58,PF,33,-0.57,-1.01,0.44,1.30,101107.0,-1.12,-1.62,0.5,2020
paulch01,chris paul,2019-20,OKC,Shot Creator,2208,70,PG,34,5.15,3.85,1.3,10.70,101108.0,3.08,2.38,0.71,2020
mahinia01,ian mahinmi,2019-20,WAS,Roll + Cut Big,808,38,C,33,0.06,-1.31,1.37,1.30,101133.0,0.06,-1.34,1.4,2020
milescj01,cj miles,2019-20,WAS,Movement Shooter,161,10,SF,32,-0.95,-0.77,-0.18,0.10,101139.0,-1.28,-1.18,-0.1,2020
ilyaser01,ersan ilyasova,2019-20,MIL,Stretch Big,986,63,PF,32,1.26,0.07,1.19,2.30,101141.0,1.03,-0.13,1.16,2020
willilo02,lou williams,2019-20,LAC,Primary Ball Handler,1864,65,PG,33,-0.04,1.78,-1.82,2.80,101150.0,0.59,1.66,-1.07,2020
aldrila01,lamarcus aldridge,2019-20,SAS,Post Scorer,1754,53,C,34,1.07,0.48,0.59,3.90,200746.0,1.09,0.8,0.3,2020
gayru01,rudy gay,2019-20,SAS,Shot Creator,1461,67,PF,33,0.0,-0.63,0.62,2.30,200752.0,-0.74,-0.3,-0.44,2020
redicjj01,jj redick,2019-20,NOP,Off Screen Shooter,1581,60,SG,35,-1.2,1.26,-2.46,1.20,200755.0,-0.43,1.2,-1.62,2020
sefolth01,thabo sefolosha,2019-20,HOU,Stationary Shooter,436,41,PF,35,-0.75,-1.18,0.43,0.50,200757.0,-1.5,-2.16,0.65,2020
rondora01,rajon rondo,2019-20,LAL,Primary Ball Handler,984,48,PG,33,-0.85,-0.21,-0.63,1.00,200765.0,-0.87,-0.34,-0.53,2020
lowryky01,kyle lowry,2019-20,TOR,Primary Ball Handler,2098,58,PG,33,3.05,2.13,0.91,7.40,200768.0,2.98,1.96,1.02,2020
tuckepj01,p.j. tucker,2019-20,HOU,Stationary Shooter,2467,72,PF,34,-0.51,-1.52,1.01,3.00,200782.0,-0.71,-1.42,0.71,2020
millspa01,paul millsap,2019-20,DEN,Versatile Big,1240,51,PF,34,1.65,0.56,1.09,3.30,200794.0,0.42,0.14,0.27,2020
bareajo01,j.j. barea,2019-20,DAL,Secondary Ball Handler,450,29,PG,35,-0.7,0.66,-1.35,0.50,200826.0,-0.86,0.81,-1.67,2020
