TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%,shot_coverage,round,year
San Antonio Spurs,4,4,19.0,36,67,53.7,53.7,18.7,36,66,54.5,0.3,0,1,0.0,very_tight,3,2017
Boston Celtics,5,5,16.4,32,67,47.8,47.8,15.9,32,65,49.2,0.5,0,2,0.0,very_tight,3,2017
Cleveland Cavaliers,5,5,13.7,30,52,57.7,60.6,11.6,27,44,61.4,2.1,3,8,37.5,very_tight,3,2017
Golden State Warriors,4,4,14.8,34,48,70.8,74.0,13.5,31,44,70.5,1.2,3,4,75.0,very_tight,3,2017
San Antonio Spurs,4,4,40.2,68,142,47.9,49.3,36.5,64,129,49.6,3.7,4,13,30.8,tight,3,2017
Boston Celtics,5,5,29.6,60,121,49.6,52.5,23.7,53,97,54.6,5.9,7,24,29.2,tight,3,2017
Cleveland Cavaliers,5,5,31.1,68,118,57.6,62.3,23.2,57,88,64.8,7.9,11,30,36.7,tight,3,2017
Golden State Warriors,4,4,33.8,63,110,57.3,59.5,28.6,58,93,62.4,5.2,5,17,29.4,tight,3,2017
Cleveland Cavaliers,5,5,33.2,74,126,58.7,71.8,15.5,41,59,69.5,17.6,33,67,49.3,open,3,2017
Boston Celtics,5,5,26.9,41,110,37.3,43.2,13.7,28,56,50.0,13.2,13,54,24.1,open,3,2017
Golden State Warriors,4,4,24.6,42,80,52.5,62.5,11.4,26,37,70.3,13.2,16,43,37.2,open,3,2017
San Antonio Spurs,4,4,22.7,36,80,45.0,53.1,13.0,23,46,50.0,9.6,13,34,38.2,open,3,2017
Boston Celtics,5,5,27.1,54,111,48.6,66.2,6.1,15,25,60.0,21.0,39,86,45.3,wide_open,3,2017
Golden State Warriors,4,4,26.8,44,87,50.6,67.8,5.5,14,18,77.8,21.2,30,69,43.5,wide_open,3,2017
Cleveland Cavaliers,5,5,22.1,39,84,46.4,63.1,5.0,11,19,57.9,17.1,28,65,43.1,wide_open,3,2017
San Antonio Spurs,4,4,18.1,22,64,34.4,43.0,7.1,11,25,44.0,11.0,11,39,28.2,wide_open,3,2017
