PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,year
Nikola Jokic,DEN,27,C,74,74,100,759,1580,48.0,49.0,-1.0,2022
Nikola Vucevic,CHI,31,C,73,73,100,713,1461,48.8,49.0,-0.2,2022
Rudy Gobert,UTA,30,C,66,66,100,571,1372,41.6,48.5,-6.9,2022
Jakob Poeltl,SAS,26,C,68,68,100,621,1317,47.2,48.9,-1.7,2022
Joel Embiid,PHI,28,C-F,68,68,100,609,1300,46.8,49.6,-2.7,2022
Miles Bridges,CHA,24,F,79,79,100,567,1252,45.3,46.6,-1.3,2022
Jonas Valanciunas,NOP,30,C,74,74,100,592,1220,48.5,49.6,-1.1,2022
Ivica Zubac,LAC,25,C,76,76,100,568,1215,46.7,49.0,-2.3,2022
Evan Mobley,CLE,21,C,69,69,100,544,1198,45.4,47.8,-2.4,2022
Scottie Barnes,TOR,20,F,74,74,100,562,1195,47.0,46.6,0.5,2022
Christian Wood,HOU,26,F,68,68,100,524,1112,47.1,47.1,0.0,2022
Pascal Siakam,TOR,28,F,68,68,100,520,1109,46.9,46.2,0.7,2022
Karl-Anthony Towns,MIN,26,C-F,74,74,100,524,1104,47.5,48.9,-1.4,2022
Dorian Finney-Smith,DAL,29,F,80,80,100,501,1099,45.6,46.3,-0.7,2022
Steven Adams,MEM,28,C,76,76,100,533,1065,50.0,49.8,0.2,2022
Clint Capela,ATL,28,C,74,74,100,515,1047,49.2,49.1,0.1,2022
Buddy Hield,IND,29,G,80,80,100,527,1046,50.4,45.5,4.9,2022
Al Horford,BOS,36,C-F,69,69,100,441,1039,42.4,47.2,-4.8,2022
Mikal Bridges,PHX,25,F,82,82,100,476,1033,46.1,45.5,0.5,2022
Andrew Wiggins,GSW,27,F,73,73,100,448,1032,43.4,46.8,-3.4,2022
Mason Plumlee,CHA,32,F-C,72,72,100,487,1027,47.4,48.9,-1.5,2022
Isaiah Stewart,DET,21,F-C,71,71,100,451,1020,44.2,48.1,-3.9,2022
Mo Bamba,ORL,24,C,71,71,100,451,1020,44.2,48.3,-4.1,2022
RJ Barrett,NYK,22,F-G,70,70,100,448,1000,44.8,46.2,-1.4,2022
Kevon Looney,GSW,26,F,82,82,100,451,998,45.2,48.7,-3.5,2022
Deni Avdija,WAS,21,F,81,81,100,434,997,43.5,45.8,-2.3,2022
Reggie Jackson,LAC,32,G,75,75,100,435,997,43.6,45.7,-2.0,2022
Darius Bazley,OKC,22,F,69,69,100,479,987,48.5,46.5,2.0,2022
Royce O'Neale,UTA,29,F,77,77,100,461,974,47.3,46.4,0.9,2022
Domantas Sabonis,SAC,26,F-C,62,62,100,472,970,48.7,47.8,0.8,2022
Bobby Portis,MIL,27,F,72,72,100,425,969,43.9,47.9,-4.0,2022
Jaren Jackson Jr.,MEM,22,F-C,78,78,100,400,959,41.7,47.7,-6.0,2022
Dwight Powell,DAL,30,F-C,82,82,100,465,950,48.9,48.8,0.1,2022
Jrue Holiday,MIL,32,G,66,66,100,417,947,44.0,45.6,-1.6,2022
Deandre Ayton,PHX,23,C,58,58,100,418,944,44.3,48.4,-4.1,2022
Derrick White,BOS,27,G,75,75,100,427,944,45.2,45.8,-0.5,2022
Julius Randle,NYK,27,F-C,72,72,100,406,942,43.1,47.3,-4.2,2022
Devin Booker,PHX,25,G,68,68,100,405,936,43.3,45.5,-2.2,2022
Cade Cunningham,DET,20,G,64,64,100,436,929,46.9,46.7,0.2,2022
Giannis Antetokounmpo,MIL,27,F,67,67,100,413,926,44.6,47.8,-3.2,2022
Anthony Edwards,MIN,20,G,72,72,100,438,926,47.3,46.2,1.1,2022
Fred VanVleet,TOR,28,G,65,65,100,442,925,47.8,45.6,2.2,2022
Herbert Jones,NOP,23,F,78,78,100,436,924,47.2,45.8,1.4,2022
Tyrese Haliburton,IND,22,G,76,76,100,460,914,50.3,44.8,5.5,2022
Desmond Bane,MEM,24,G,76,76,100,390,912,42.8,45.6,-2.8,2022
Franz Wagner,ORL,20,F,77,77,100,394,912,43.2,45.8,-2.6,2022
Wendell Carter Jr.,ORL,23,C-F,62,62,100,414,910,45.5,48.5,-3.0,2022
Keldon Johnson,SAS,22,F-G,75,75,100,415,909,45.7,46.1,-0.5,2022
Luka Doncic,DAL,23,F-G,65,65,100,433,906,47.8,46.2,1.6,2022
Tyrese Maxey,PHI,21,G,75,75,100,412,905,45.5,44.9,0.6,2022
Jayson Tatum,BOS,24,F-G,76,76,100,387,904,42.8,45.8,-3.0,2022
Tobias Harris,PHI,29,F,73,73,100,418,900,46.4,47.0,-0.6,2022
Jae'Sean Tate,HOU,26,F,78,78,100,408,896,45.5,46.9,-1.3,2022
Harrison Barnes,SAC,30,F,76,76,100,439,890,49.3,47.1,2.2,2022
Terry Rozier,CHA,28,G,72,72,100,435,888,49.0,45.8,3.2,2022
Jarrett Allen,CLE,24,C,56,56,100,367,882,41.6,48.2,-6.6,2022
James Harden,PHI,32,G,65,65,100,414,880,47.0,46.6,0.5,2022
Alperen Sengun,HOU,19,C,72,72,100,447,878,50.9,47.7,3.2,2022
Dejounte Murray,SAS,25,G,68,68,100,429,878,48.9,46.5,2.4,2022
D'Angelo Russell,MIN,26,G,65,65,100,406,875,46.4,45.7,0.7,2022
Aaron Gordon,DEN,26,F,75,75,100,393,874,45.0,46.3,-1.4,2022
Alec Burks,NYK,30,G,81,81,100,389,867,44.9,45.8,-0.9,2022
Daniel Gafford,WAS,23,F-C,72,72,100,426,866,49.2,48.2,0.9,2022
Grant Williams,BOS,23,F,77,77,100,389,866,44.9,46.1,-1.2,2022
Isaiah Hartenstein,LAC,24,C-F,68,68,100,380,847,44.9,47.2,-2.3,2022
P.J. Tucker,MIA,37,F,71,71,100,366,841,43.5,46.0,-2.5,2022
Mitchell Robinson,NYK,24,C-F,72,72,100,364,840,43.3,48.6,-5.3,2022
Trae Young,ATL,23,G,76,76,100,401,838,47.9,44.3,3.5,2022
Robert Covington,LAC,31,F,71,71,100,391,835,46.8,46.9,0.0,2022
Precious Achiuwa,TOR,22,F,73,73,100,370,835,44.3,47.7,-3.4,2022
Khris Middleton,MIL,30,F,66,66,100,394,835,47.2,45.7,1.5,2022
Kevin Huerter,ATL,23,G-F,74,74,100,394,835,47.2,45.2,2.0,2022
Russell Westbrook,LAL,33,G,78,78,100,412,833,49.5,46.2,3.3,2022
CJ McCollum,NOP,30,G,62,62,100,391,827,47.3,45.4,1.9,2022
Lauri Markkanen,CLE,25,F-C,61,61,100,405,826,49.0,47.3,1.8,2022
Malik Monk,LAL,24,G,76,76,100,397,823,48.2,45.6,2.6,2022
Robert Williams III,BOS,24,C-F,61,61,100,330,820,40.2,47.3,-7.1,2022
De'Aaron Fox,SAC,24,G,58,58,100,406,818,49.6,45.5,4.1,2022
Terance Mann,LAC,25,G-F,81,81,100,369,818,45.1,45.8,-0.7,2022
Jaylen Brown,BOS,25,G-F,66,66,100,371,813,45.6,45.8,-0.2,2022
Kyle Kuzma,WAS,26,F,66,66,100,356,812,43.8,46.5,-2.7,2022
Montrezl Harrell,CHA,28,F-C,71,71,100,368,809,45.5,48.0,-2.5,2022
LaMelo Ball,CHA,20,G,74,74,100,371,796,46.6,45.6,1.0,2022
P.J. Washington,CHA,23,F,65,65,100,371,796,46.6,47.4,-0.8,2022
Jeff Green,DEN,35,F,75,75,100,374,795,47.0,47.1,-0.1,2022
Evan Fournier,NYK,29,G-F,80,80,100,374,793,47.2,45.4,1.8,2022
Jalen Brunson,DAL,25,G,79,79,100,364,789,46.1,44.5,1.6,2022
Shai Gilgeous-Alexander,OKC,23,G,56,56,100,376,789,47.7,45.5,2.1,2022
Andre Drummond,BKN,28,C,73,73,100,390,785,49.7,48.6,1.1,2022
Kevin Durant,BKN,33,F,55,55,100,334,784,42.6,46.1,-3.5,2022
Jaden McDaniels,MIN,21,F,70,70,100,319,783,40.7,45.7,-4.9,2022
Jae Crowder,PHX,31,F,67,67,100,361,780,46.3,46.6,-0.3,2022
Bruce Brown,BKN,25,G-F,72,72,100,322,780,41.3,46.1,-4.8,2022
Zach LaVine,CHI,27,G-F,67,67,100,370,779,47.5,45.0,2.5,2022
Tyler Herro,MIA,22,G,66,66,100,354,775,45.7,44.8,0.8,2022
Jusuf Nurkic,POR,27,C,56,56,100,392,774,50.6,49.6,1.1,2022
John Collins,ATL,24,F-C,54,54,100,371,772,48.1,47.1,0.9,2022
Darius Garland,CLE,22,G,68,68,100,371,768,48.3,44.4,4.0,2022
Davion Mitchell,SAC,23,G,74,74,100,330,767,43.0,44.9,-1.9,2022
JaVale McGee,PHX,34,C-F,74,74,100,338,763,44.3,47.7,-3.4,2022
DeMar DeRozan,CHI,32,G-F,76,76,100,368,761,48.4,45.6,2.8,2022
Kyle Lowry,MIA,36,G,63,63,100,380,758,50.1,46.1,4.0,2022
Bogdan Bogdanovic,ATL,29,G,63,63,100,363,757,48.0,45.5,2.4,2022
Marcus Smart,BOS,28,G,71,71,100,339,754,45.0,45.4,-0.5,2022
Pat Connaughton,MIL,29,G,65,65,100,356,751,47.4,45.7,1.7,2022
