PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%,year
Nikola Jokic,DEN,27,C,74,74,39.4,383.0,622.0,61.6,64.1,-2.5,2022
Nikola Vucevic,CHI,31,C,73,73,42.3,391.0,618.0,63.3,64.1,-0.8,2022
Jakob Poeltl,SAS,26,C,68,68,44.3,324.0,584.0,55.5,63.7,-8.2,2022
Joel Embiid,PHI,28,C-F,68,68,43.5,325.0,565.0,57.5,64.2,-6.6,2022
Evan Mobley,CLE,21,C,69,68,46.9,297.0,562.0,52.8,63.5,-10.7,2022
Scottie Barnes,TOR,20,F,74,74,41.8,297.0,499.0,59.5,63.0,-3.4,2022
Rudy Gobert,UTA,30,C,66,66,34.5,240.0,473.0,50.7,63.8,-13.0,2022
Buddy Hield,IND,29,G,80,79,43.6,297.0,456.0,65.1,62.7,2.4,2022
Mason Plumlee,CHA,32,F-C,72,71,43.9,273.0,451.0,60.5,64.6,-4.1,2022
Pascal Siakam,TOR,28,F,68,67,40.2,257.0,446.0,57.6,62.6,-4.9,2022
Miles Bridges,CHA,24,F,79,79,35.3,269.0,442.0,60.9,63.7,-2.9,2022
Steven Adams,MEM,28,C,76,75,41.3,266.0,440.0,60.5,64.4,-4.0,2022
Ivica Zubac,LAC,25,C,76,76,35.7,246.0,434.0,56.7,64.4,-7.7,2022
Clint Capela,ATL,28,C,74,74,40.2,255.0,421.0,60.6,64.8,-4.2,2022
Jonas Valanciunas,NOP,30,C,74,74,34.2,269.0,417.0,64.5,65.2,-0.7,2022
Karl-Anthony Towns,MIN,26,C-F,74,73,37.3,253.0,412.0,61.4,64.4,-3.0,2022
Dejounte Murray,SAS,25,G,68,68,46.8,248.0,411.0,60.3,63.2,-2.8,2022
Alperen Sengun,HOU,19,C,72,71,46.6,251.0,409.0,61.4,63.2,-1.9,2022
Domantas Sabonis,SAC,26,F-C,62,62,41.8,252.0,405.0,62.2,63.9,-1.6,2022
Dwight Powell,DAL,30,F-C,82,80,42.5,257.0,404.0,63.6,63.8,-0.2,2022
Mo Bamba,ORL,24,C,71,69,39.4,232.0,402.0,57.7,63.8,-6.1,2022
Daniel Gafford,WAS,23,F-C,72,70,46.3,222.0,401.0,55.4,63.8,-8.4,2022
Jaren Jackson Jr.,MEM,22,F-C,78,78,41.8,199.0,401.0,49.6,64.1,-14.5,2022
Jarrett Allen,CLE,24,C,56,56,44.8,192.0,395.0,48.6,63.7,-15.1,2022
Cade Cunningham,DET,20,G,64,64,42.1,231.0,391.0,59.1,64.1,-5.1,2022
Deni Avdija,WAS,21,F,81,80,39.1,222.0,390.0,56.9,62.8,-5.8,2022
Darius Bazley,OKC,22,F,69,68,38.6,248.0,381.0,65.1,64.1,0.9,2022
Christian Wood,HOU,26,F,68,68,33.7,228.0,375.0,60.8,63.6,-2.8,2022
Derrick White,BOS,27,G,75,73,39.6,211.0,374.0,56.4,63.4,-7.0,2022
Mikal Bridges,PHX,25,F,82,82,36.1,237.0,373.0,63.5,62.5,1.0,2022
Andrew Wiggins,GSW,27,F,73,72,35.8,218.0,369.0,59.1,63.6,-4.5,2022
Fred VanVleet,TOR,28,G,65,65,39.7,211.0,367.0,57.5,62.0,-4.5,2022
Isaiah Stewart,DET,21,F-C,71,69,35.9,195.0,366.0,53.3,64.4,-11.2,2022
Lauri Markkanen,CLE,25,F-C,61,61,44.1,225.0,364.0,61.8,63.0,-1.2,2022
Bobby Portis,MIL,27,F,72,71,37.5,212.0,363.0,58.4,64.2,-5.8,2022
Dorian Finney-Smith,DAL,29,F,80,80,32.9,217.0,362.0,59.9,63.3,-3.4,2022
Tyrese Haliburton,IND,22,G,76,75,39.6,251.0,362.0,69.3,61.9,7.4,2022
Luka Doncic,DAL,23,F-G,65,65,39.7,225.0,360.0,62.5,63.0,-0.5,2022
Isaiah Hartenstein,LAC,24,C-F,68,68,42.3,188.0,358.0,52.5,62.9,-10.3,2022
Precious Achiuwa,TOR,22,F,73,70,42.9,196.0,358.0,54.7,63.5,-8.8,2022
Kevon Looney,GSW,26,F,82,80,35.0,201.0,349.0,57.6,63.8,-6.2,2022
Anthony Edwards,MIN,20,G,72,68,37.7,218.0,349.0,62.5,63.5,-1.0,2022
Keldon Johnson,SAS,22,F-G,75,74,38.3,196.0,348.0,56.3,63.1,-6.7,2022
Giannis Antetokounmpo,MIL,27,F,67,67,37.1,182.0,344.0,52.9,64.1,-11.2,2022
Kyle Kuzma,WAS,26,F,66,65,42.2,195.0,343.0,56.9,62.2,-5.3,2022
Jayson Tatum,BOS,24,F-G,76,75,37.9,192.0,343.0,56.0,62.5,-6.5,2022
Royce O'Neale,UTA,29,F,77,75,35.1,206.0,342.0,60.2,62.8,-2.6,2022
Reggie Jackson,LAC,32,G,75,75,34.2,196.0,341.0,57.5,62.7,-5.2,2022
James Harden,PHI,32,G,65,65,38.6,213.0,340.0,62.6,63.3,-0.7,2022
Tobias Harris,PHI,29,F,73,72,37.6,229.0,338.0,67.8,62.8,5.0,2022
Harrison Barnes,SAC,30,F,76,75,37.6,216.0,335.0,64.5,63.9,0.6,2022
Al Horford,BOS,36,C-F,69,66,32.1,182.0,333.0,54.7,63.0,-8.4,2022
RJ Barrett,NYK,22,F-G,70,70,33.1,214.0,331.0,64.7,63.3,1.4,2022
Malik Monk,LAL,24,G,76,74,40.1,219.0,330.0,66.4,63.0,3.3,2022
Jusuf Nurkic,POR,27,C,56,56,42.6,211.0,330.0,63.9,64.4,-0.5,2022
Terance Mann,LAC,25,G-F,81,81,40.2,193.0,329.0,58.7,62.1,-3.4,2022
D'Angelo Russell,MIN,26,G,65,65,37.6,213.0,329.0,64.7,62.9,1.9,2022
Terry Rozier,CHA,28,G,72,71,37.0,214.0,329.0,65.0,62.9,2.2,2022
Wendell Carter Jr.,ORL,23,C-F,62,61,36.0,174.0,328.0,53.0,64.3,-11.3,2022
Devin Booker,PHX,25,G,68,67,34.9,188.0,327.0,57.5,62.8,-5.3,2022
Deandre Ayton,PHX,23,C,58,57,34.3,188.0,324.0,58.0,63.8,-5.8,2022
Robert Covington,LAC,31,F,71,69,38.6,194.0,322.0,60.2,63.5,-3.2,2022
DeMar DeRozan,CHI,32,G-F,76,74,42.3,209.0,322.0,64.9,63.1,1.8,2022
Julius Randle,NYK,27,F-C,72,71,34.0,188.0,320.0,58.8,64.2,-5.5,2022
P.J. Washington,CHA,23,F,65,64,40.1,198.0,319.0,62.1,63.6,-1.5,2022
De'Anthony Melton,MEM,24,G,73,71,46.6,205.0,318.0,64.5,62.8,1.7,2022
Kevin Porter Jr.,HOU,22,G-F,61,61,42.6,223.0,317.0,70.3,63.1,7.2,2022
Aaron Gordon,DEN,26,F,75,73,35.8,190.0,313.0,60.7,62.8,-2.1,2022
Nemanja Bjelica,GSW,34,F,71,69,42.2,194.0,313.0,62.0,62.6,-0.6,2022
Jae'Sean Tate,HOU,26,F,78,75,34.7,187.0,311.0,60.1,63.3,-3.1,2022
Ayo Dosunmu,CHI,22,G,77,74,42.4,193.0,311.0,62.1,61.3,0.7,2022
Andre Drummond,BKN,28,C,73,71,39.5,184.0,310.0,59.4,64.3,-4.9,2022
Kristaps Porzingis,WAS,26,F-C,51,50,41.8,176.0,310.0,56.8,64.0,-7.2,2022
Trey Lyles,SAC,26,F,73,66,44.3,198.0,308.0,64.3,63.5,0.8,2022
JaVale McGee,PHX,34,C-F,74,73,40.2,159.0,307.0,51.8,62.7,-10.9,2022
Franz Wagner,ORL,20,F,77,74,33.7,168.0,307.0,54.7,63.0,-8.3,2022
LaMelo Ball,CHA,20,G,74,72,38.6,190.0,307.0,61.9,63.2,-1.3,2022
Jalen Green,HOU,20,G,67,65,44.1,212.0,306.0,69.3,64.0,5.3,2022
Russell Westbrook,LAL,33,G,78,74,36.0,204.0,300.0,68.0,63.1,4.9,2022
Chris Boucher,TOR,29,F-C,80,74,42.0,177.0,298.0,59.4,63.3,-3.9,2022
Jarred Vanderbilt,MIN,23,F,74,73,40.3,178.0,297.0,59.9,64.8,-4.9,2022
Mitchell Robinson,NYK,24,C-F,72,71,35.4,160.0,297.0,53.9,63.9,-10.0,2022
Shai Gilgeous-Alexander,OKC,23,G,56,55,37.5,178.0,296.0,60.1,63.3,-3.1,2022
De'Aaron Fox,SAC,24,G,58,58,36.1,197.0,295.0,66.8,61.9,4.9,2022
Herbert Jones,NOP,23,F,78,76,31.9,179.0,295.0,60.7,63.4,-2.7,2022
John Collins,ATL,24,F-C,54,54,37.8,177.0,292.0,60.6,64.1,-3.5,2022
Josh Giddey,OKC,19,G,54,53,44.3,171.0,291.0,58.8,63.1,-4.3,2022
Devin Vassell,SAS,21,G-F,71,70,44.7,172.0,290.0,59.3,62.5,-3.2,2022
Kevin Huerter,ATL,23,G-F,74,70,34.7,188.0,290.0,64.8,61.7,3.2,2022
Tyrese Maxey,PHI,21,G,75,70,32.0,174.0,290.0,60.0,61.4,-1.4,2022
Hassan Whiteside,UTA,33,C,65,64,38.8,170.0,290.0,58.6,63.8,-5.2,2022
Naz Reid,MIN,22,C-F,77,71,46.1,155.0,290.0,53.4,64.0,-10.5,2022
Drew Eubanks,POR,25,F-C,70,63,42.2,177.0,288.0,61.5,63.1,-1.6,2022
Kevin Love,CLE,33,F-C,74,72,38.7,161.0,288.0,55.9,62.9,-7.0,2022
Kelly Oubre Jr.,CHA,26,F-G,75,73,39.0,183.0,288.0,63.5,63.1,0.4,2022
Grant Williams,BOS,23,F,77,72,33.1,177.0,287.0,61.7,62.9,-1.2,2022
