Team,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Indiana Pacers,16,16,36.5,17.6,31.9,55.2,62.0,-6.8
Washington Wizards,17,17,36.5,18.2,32.8,55.7,61.4,-5.8
Phoenix Suns,15,15,35.8,17.3,30.1,57.5,63.2,-5.6
LA Clippers,18,18,33.6,17.1,29.7,57.4,61.6,-4.2
Milwaukee Bucks,16,16,29.8,15.6,26.8,58.4,62.0,-3.6
Oklahoma City Thunder,17,17,39.0,21.2,35.4,59.8,63.1,-3.3
Brooklyn Nets,17,17,34.3,18.5,30.4,60.7,62.9,-2.2
Minnesota Timberwolves,16,16,32.2,17.6,29.0,60.6,62.5,-2.0
Los Angeles Lakers,15,15,33.4,19.1,30.7,62.3,63.8,-1.6
Charlotte Hornets,18,18,33.5,18.7,30.0,62.4,63.5,-1.1
Golden State Warriors,18,18,31.3,17.9,28.2,63.5,64.1,-0.6
Boston Celtics,17,17,31.7,17.6,28.8,61.2,61.7,-0.4
Utah Jazz,18,18,40.8,22.6,36.5,61.8,62.0,-0.2
Cleveland Cavaliers,17,17,32.9,17.9,28.2,63.5,63.5,0.0
Memphis Grizzlies,17,17,34.5,19.4,30.9,62.7,62.5,0.2
San Antonio Spurs,18,18,38.8,22.3,34.9,64.0,63.6,0.4
New York Knicks,18,18,30.3,17.6,27.9,63.1,62.6,0.5
Chicago Bulls,17,17,34.8,18.8,29.6,63.6,63.0,0.7
Houston Rockets,17,17,35.7,20.5,31.5,65.1,63.9,1.2
Detroit Pistons,18,18,36.5,21.3,32.7,65.3,64.0,1.3
Atlanta Hawks,17,17,36.3,20.6,32.5,63.4,61.9,1.5
Portland Trail Blazers,17,17,36.2,20.3,31.2,65.0,63.2,1.8
Orlando Magic,17,17,35.9,20.6,32.1,64.4,62.5,1.9
Dallas Mavericks,16,16,33.0,17.4,26.8,65.0,62.5,2.5
Toronto Raptors,17,17,38.0,20.2,31.2,64.7,61.8,2.9
Sacramento Kings,15,15,36.4,21.3,31.7,67.0,63.5,3.5
Philadelphia 76ers,16,16,32.2,18.2,27.2,66.9,63.3,3.6
Miami Heat,18,18,29.9,17.4,25.6,68.1,64.1,4.0
New Orleans Pelicans,17,17,32.9,19.7,28.9,68.2,62.6,5.7
Denver Nuggets,16,16,36.1,21.6,31.3,69.0,62.4,6.6
