PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
AJ Green,MIL,1,1,0,2,0,0,0,-,-,-,-,-
AJ Griffin,ATL,10,5,5,126,25,11,23,47.8,3,8,37.5,54.3
Aaron Gordon,DEN,13,9,4,377,22,9,21,42.9,4,11,36.4,52.4
Aaron Holiday,ATL,14,9,5,269,22,10,19,52.6,2,4,50.0,57.9
Aaron Nesmith,IND,8,3,5,169,17,7,10,70.0,3,5,60.0,85.0
Aaron Wiggins,OKC,11,6,5,228,2,1,2,50.0,0,1,0.0,50.0
Admiral Schofield,ORL,5,3,2,32,0,0,0,-,0,0,-,-
Al Horford,BOS,11,8,3,345,4,2,2,100,0,0,-,100
Alec Burks,DET,2,0,2,42,16,7,13,53.8,2,4,50.0,61.5
Aleksej Pokusevski,OKC,12,6,6,293,9,4,8,50.0,1,3,33.3,56.3
Alex Caruso,CHI,14,6,8,353,2,1,7,14.3,0,2,0.0,14.3
Alex Len,SAC,4,3,1,13,2,1,1,100,-,-,-,100
Alperen Sengun,HOU,12,1,11,318,4,2,6,33.3,0,2,0.0,33.3
Amir Coffey,LAC,13,6,7,117,2,1,6,16.7,0,0,-,16.7
Andre Drummond,CHI,8,3,5,134,2,1,1,100,0,0,-,100
Andrew Nembhard,IND,11,6,5,221,14,6,16,37.5,2,5,40.0,43.8
Andrew Wiggins,GSW,13,6,7,434,32,15,44,34.1,2,11,18.2,36.4
Anfernee Simons,POR,12,9,3,431,74,29,92,31.5,16,52,30.8,40.2
Anthony Davis,LAL,12,3,9,414,22,11,30,36.7,0,0,-,36.7
Anthony Edwards,MIN,14,6,8,505,84,31,95,32.6,22,69,31.9,44.2
Anthony Gill,WAS,13,7,6,173,2,1,5,20.0,0,2,0.0,20.0
Anthony Lamb,GSW,6,3,3,123,3,1,3,33.3,1,1,100,50.0
Austin Reaves,LAL,13,3,10,350,10,5,14,35.7,0,2,0.0,35.7
Austin Rivers,MIN,7,4,3,44,3,1,1,100,1,1,100,150.0
Ayo Dosunmu,CHI,13,6,7,394,13,6,11,54.5,1,1,100,59.1
Bam Adebayo,MIA,14,7,7,490,24,12,34,35.3,0,2,0.0,35.3
Ben Simmons,BKN,10,3,7,266,0,0,4,0.0,0,1,0.0,0.0
Bennedict Mathurin,IND,12,6,6,338,49,17,38,44.7,15,28,53.6,64.5
Bismack Biyombo,PHX,11,6,5,130,2,1,1,100,-,-,-,100
Blake Griffin,BOS,6,4,2,71,0,0,0,-,0,0,-,-
Blake Wesley,SAS,2,2,0,23,2,1,3,33.3,0,0,-,33.3
Boban Marjanovic,HOU,6,1,5,19,2,1,2,50.0,-,-,-,50.0
Bobby Portis,MIL,13,10,3,344,21,10,27,37.0,1,1,100,38.9
Bojan Bogdanovic,DET,15,3,12,468,86,36,68,52.9,14,32,43.8,63.2
Bol Bol,ORL,14,4,10,336,23,10,24,41.7,3,7,42.9,47.9
Bones Hyland,DEN,9,7,2,187,51,18,45,40.0,15,29,51.7,56.7
Bradley Beal,WAS,9,4,5,316,56,25,53,47.2,6,20,30.0,52.8
Brandon Boston Jr.,LAC,5,1,4,16,10,4,7,57.1,2,3,66.7,71.4
Brandon Clarke,MEM,15,9,6,286,6,3,3,100,0,0,-,100
Brandon Ingram,NOP,10,6,4,330,82,39,85,45.9,4,8,50.0,48.2
Braxton Key,DET,2,0,2,7,2,1,1,100,-,-,-,100
Brook Lopez,MIL,13,10,3,409,7,3,13,23.1,1,3,33.3,26.9
Bruce Brown,DEN,13,9,4,360,15,7,16,43.8,1,5,20.0,46.9
Bruno Fernando,HOU,2,0,2,37,2,1,1,100,-,-,-,100
Bryce McGowens,CHA,5,2,3,30,0,0,2,0.0,0,1,0.0,0.0
Bryn Forbes,MIN,8,3,5,87,13,6,13,46.2,1,3,33.3,50.0
Buddy Boeheim,DET,1,0,1,1,0,0,0,-,-,-,-,-
Buddy Hield,IND,12,6,6,378,39,15,35,42.9,9,25,36.0,55.7
CJ McCollum,NOP,14,8,6,504,114,51,129,39.5,12,43,27.9,44.2
Cade Cunningham,DET,12,3,9,400,96,44,106,41.5,8,33,24.2,45.3
