PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FTFreq%,TOVFreq%,SFFreq%,And OneFreq%,ScoreFreq%,Percentile
Shai Gilgeous-Alexander,OKC,15,100,24.0,1.27,127,41,72,56.9,59.0,26.0,7.0,26.0,5.0,62.0,76.1
Giannis Antetokounmpo,MIL,12,93,25.8,1.1,102,36,66,54.5,55.3,30.0,8.0,29.0,10.0,55.0,49.6
RJ Barrett,NYK,17,85,24.5,0.83,71,27,63,42.9,46.0,14.0,12.0,14.0,0.0,42.0,13.4
Trae Young,ATL,15,83,18.8,1.05,87,28,64,43.8,50.8,17.0,8.0,12.0,2.0,47.0,42.5
Jaylen Brown,BOS,15,80,21.5,1.18,94,37,63,58.7,61.9,14.0,10.0,12.0,2.0,58.0,61.6
Devin Booker,PHX,16,79,19.6,1.18,93,36,64,56.3,64.1,9.0,10.0,4.0,0.0,54.0,62.7
De'Aaron Fox,SAC,14,74,23.9,1.3,96,38,58,65.5,67.2,18.0,9.0,16.0,5.0,62.0,80.6
O.G. Anunoby,TOR,17,74,23.1,1.24,92,37,58,63.8,65.5,16.0,11.0,15.0,5.0,61.0,70.9
Jaden Ivey,DET,17,74,23.7,1.08,80,27,49,55.1,60.2,23.0,15.0,18.0,4.0,55.0,47.9
Kelly Oubre Jr.,CHA,18,72,20.5,0.97,70,27,62,43.5,46.8,12.0,4.0,12.0,3.0,47.0,28.4
Kyle Kuzma,WAS,17,71,20.9,0.9,64,25,55,45.5,50.0,10.0,17.0,10.0,4.0,39.0,20.9
CJ McCollum,NOP,16,71,20.7,0.87,62,22,62,35.5,42.7,10.0,6.0,10.0,3.0,38.0,16.0
Kevin Durant,BKN,17,69,15.5,1.16,80,27,51,52.9,61.8,13.0,12.0,12.0,0.0,52.0,59.3
Stephen Curry,GSW,16,68,16.9,1.13,77,26,51,51.0,59.8,12.0,13.0,13.0,1.0,49.0,56.0
Desmond Bane,MEM,12,66,25.0,1.01,67,25,57,43.9,53.5,8.0,9.0,6.0,3.0,42.0,35.1
Anthony Edwards,MIN,16,65,18.1,1.06,69,27,44,61.4,65.9,17.0,25.0,15.0,9.0,49.0,44.0
Buddy Hield,IND,15,64,25.6,1.17,75,28,58,48.3,61.2,3.0,6.0,3.0,0.0,47.0,60.8
Dejounte Murray,ATL,16,64,18.0,1.05,67,27,47,57.4,61.7,11.0,20.0,12.0,6.0,47.0,40.8
LeBron James,LAL,10,64,23.7,1.05,67,29,51,56.9,57.8,14.0,16.0,14.0,9.0,50.0,40.8
Jayson Tatum,BOS,16,63,14.8,1.3,82,29,48,60.4,65.6,19.0,10.0,19.0,5.0,60.0,82.1
Gary Trent Jr.,TOR,14,63,27.3,1.09,69,21,50,42.0,50.0,17.0,3.0,16.0,0.0,51.0,49.3
Ja Morant,MEM,14,62,15.5,1.15,71,24,39,61.5,69.2,18.0,21.0,15.0,2.0,55.0,57.8
Bennedict Mathurin,IND,15,60,22.2,1.3,78,23,41,56.1,73.2,20.0,12.0,20.0,0.0,58.0,81.6
Julius Randle,NYK,17,60,17.1,1.1,66,25,48,52.1,58.3,13.0,12.0,13.0,5.0,50.0,50.9
Bojan Bogdanovic,DET,18,59,18.9,1.15,68,25,47,53.2,59.6,12.0,8.0,7.0,0.0,54.0,58.8
Paul George,LAC,16,59,15.5,1.15,68,20,38,52.6,61.8,22.0,15.0,19.0,2.0,53.0,58.8
Lauri Markkanen,UTA,18,57,16.7,1.35,77,29,45,64.4,68.9,16.0,9.0,14.0,4.0,63.0,86.6
Donovan Mitchell,CLE,14,57,15.3,1.28,73,27,42,64.3,75.0,14.0,18.0,9.0,5.0,56.0,77.6
Lonnie Walker IV,LAL,13,57,28.4,1.25,71,27,48,56.3,62.5,14.0,4.0,11.0,2.0,60.0,71.6
Norman Powell,LAC,17,57,25.3,1.14,65,22,39,56.4,66.7,18.0,16.0,14.0,2.0,54.0,57.1
Keldon Johnson,SAS,16,57,16.6,1.09,62,25,51,49.0,59.8,5.0,9.0,4.0,4.0,46.0,48.5
Russell Westbrook,LAL,14,57,21.4,0.65,37,15,36,41.7,44.4,5.0,32.0,4.0,0.0,32.0,3.7
Jalen Brunson,NYK,17,56,17.6,1.32,74,25,44,56.8,61.4,20.0,4.0,16.0,2.0,61.0,84.3
