PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
A.J. Lawson,MIN,1,2,0,0,0,-,-,-,-,-
AJ Green,MIL,2,17,3,1,4,25.0,1,4,25.0,37.5
AJ Griffin,ATL,12,177,32,11,29,37.9,10,27,37.0,55.2
Aaron Gordon,DEN,13,377,21,7,23,30.4,7,23,30.4,45.7
Aaron Holiday,ATL,16,288,18,6,14,42.9,6,14,42.9,64.3
Aaron Nesmith,IND,11,221,33,11,36,30.6,11,35,31.4,45.8
Aaron Wiggins,OKC,13,276,30,10,24,41.7,10,23,43.5,62.5
Admiral Schofield,ORL,8,63,6,2,9,22.2,2,9,22.2,33.3
Al Horford,BOS,13,407,81,27,60,45.0,27,58,46.6,67.5
Alec Burks,DET,5,109,18,6,13,46.2,6,13,46.2,69.2
Aleksej Pokusevski,OKC,14,321,57,19,46,41.3,19,45,42.2,62.0
Alex Caruso,CHI,16,404,46,16,40,40.0,14,37,37.8,57.5
Alex Len,SAC,5,15,0,0,0,-,-,-,-,-
Alperen Sengun,HOU,15,396,8,3,16,18.8,2,11,18.2,25.0
Amir Coffey,LAC,14,125,3,1,4,25.0,1,4,25.0,37.5
Andre Drummond,CHI,10,164,0,0,3,0.0,0,2,0.0,0.0
Andrew Nembhard,IND,14,282,42,14,35,40.0,14,35,40.0,60.0
Andrew Wiggins,GSW,16,533,125,42,89,47.2,41,87,47.1,70.2
Anfernee Simons,POR,14,497,107,36,86,41.9,35,85,41.2,62.2
Anthony Davis,LAL,14,476,14,5,25,20.0,4,17,23.5,28.0
Anthony Edwards,MIN,16,579,49,17,40,42.5,15,35,42.9,61.3
Anthony Gill,WAS,13,173,8,3,8,37.5,2,7,28.6,50.0
Anthony Lamb,GSW,9,166,40,14,30,46.7,12,28,42.9,66.7
Austin Reaves,LAL,15,414,50,17,39,43.6,16,38,42.1,64.1
Austin Rivers,MIN,7,44,0,0,4,0.0,0,4,0.0,0.0
Ayo Dosunmu,CHI,15,445,54,18,55,32.7,18,55,32.7,49.1
Bam Adebayo,MIA,15,517,14,7,26,26.9,0,3,0.0,26.9
Ben Simmons,BKN,12,333,0,0,0,-,0,0,-,-
Bennedict Mathurin,IND,15,415,63,21,53,39.6,21,52,40.4,59.4
Bismack Biyombo,PHX,12,151,0,0,2,0.0,-,-,-,0.0
Blake Griffin,BOS,7,78,9,3,9,33.3,3,8,37.5,50.0
Blake Wesley,SAS,2,23,6,2,3,66.7,2,3,66.7,100
Boban Marjanovic,HOU,6,19,2,1,1,100,-,-,-,100
Bobby Portis,MIL,15,407,62,22,62,35.5,18,55,32.7,50.0
Bojan Bogdanovic,DET,18,571,94,32,72,44.4,30,70,42.9,65.3
Bol Bol,ORL,17,435,31,11,23,47.8,9,21,42.9,67.4
Bones Hyland,DEN,12,271,48,16,35,45.7,16,34,47.1,68.6
Bradley Beal,WAS,12,442,51,18,42,42.9,15,35,42.9,60.7
Brandon Boston Jr.,LAC,5,16,0,0,0,-,0,0,-,-
Brandon Clarke,MEM,17,325,17,8,20,40.0,1,6,16.7,42.5
Brandon Ingram,NOP,12,400,59,21,43,48.8,17,35,48.6,68.6
Braxton Key,DET,2,7,0,0,0,-,-,-,-,-
Brook Lopez,MIL,15,474,113,39,97,40.2,35,87,40.2,58.2
Bruce Brown,DEN,16,447,54,18,45,40.0,18,44,40.9,60.0
Bruno Fernando,HOU,2,37,0,0,0,-,-,-,-,-
Bryce McGowens,CHA,5,30,3,1,2,50.0,1,2,50.0,75.0
Bryn Forbes,MIN,8,87,9,3,13,23.1,3,11,27.3,34.6
Buddy Boeheim,DET,1,1,0,0,0,-,-,-,-,-
Buddy Hield,IND,15,472,141,47,113,41.6,47,113,41.6,62.4
CJ McCollum,NOP,16,576,73,25,72,34.7,23,67,34.3,50.7
