Team,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Atlanta Hawks,17,10,7,4130,449,198,512,38.7,53,170,31.2,43.8
Boston Celtics,17,13,4,4130,322,131,328,39.9,60,180,33.3,49.1
Brooklyn Nets,17,8,9,4105,408,180,413,43.6,48,140,34.3,49.4
Charlotte Hornets,18,4,14,4445,345,148,410,36.1,49,170,28.8,42.1
Chicago Bulls,17,7,10,4080,387,177,387,45.7,33,83,39.8,50.0
Cleveland Cavaliers,17,11,6,4205,410,167,404,41.3,76,180,42.2,50.7
Dallas Mavericks,16,9,7,3890,300,118,348,33.9,64,219,29.2,43.1
Denver Nuggets,16,10,6,3840,351,145,380,38.2,61,164,37.2,46.2
Detroit Pistons,18,3,15,4320,392,171,461,37.1,50,180,27.8,42.5
Golden State Warriors,18,8,10,4345,395,158,407,38.8,79,206,38.3,48.5
Houston Rockets,17,3,14,4080,305,122,347,35.2,61,182,33.5,43.9
Indiana Pacers,16,10,6,3840,346,136,327,41.6,74,177,41.8,52.9
LA Clippers,18,11,7,4320,448,195,466,41.8,58,173,33.5,48.1
Los Angeles Lakers,15,5,10,3625,189,80,257,31.1,29,98,29.6,36.8
Memphis Grizzlies,17,10,7,4130,375,155,390,39.7,65,179,36.3,48.1
Miami Heat,18,7,11,4370,355,148,406,36.5,59,185,31.9,43.7
Milwaukee Bucks,16,12,4,3890,288,124,357,34.7,40,141,28.4,40.3
Minnesota Timberwolves,17,9,8,4105,336,137,364,37.6,62,192,32.3,46.2
New Orleans Pelicans,17,10,7,4155,319,141,351,40.2,37,108,34.3,45.4
New York Knicks,18,9,9,4370,338,142,395,35.9,54,185,29.2,42.8
Oklahoma City Thunder,17,7,10,4155,344,155,371,41.8,34,127,26.8,46.4
Orlando Magic,18,5,13,4345,349,149,395,37.7,51,151,33.8,44.2
Philadelphia 76ers,16,8,8,3840,332,147,371,39.6,38,139,27.3,44.7
Phoenix Suns,16,10,6,3865,396,171,429,39.9,54,152,35.5,46.2
Portland Trail Blazers,17,10,7,4105,329,135,382,35.3,59,178,33.1,43.1
Sacramento Kings,15,9,6,3625,289,118,303,38.9,53,145,36.6,47.7
San Antonio Spurs,18,6,12,4345,334,152,405,37.5,30,111,27.0,41.2
Toronto Raptors,17,9,8,4105,315,136,403,33.7,43,157,27.4,39.1
Utah Jazz,19,12,7,4610,387,156,406,38.4,75,217,34.6,47.7
Washington Wizards,17,10,7,4130,323,142,368,38.6,39,120,32.5,43.9
