PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,Diff%
Lauri Markkanen,UTA,25,F-C,16,16,55.4,69.0,128.0,53.9,63.2,-9.3
Jakob Poeltl,SAS,27,C,16,16,45.2,78.0,126.0,61.9,63.1,-1.2
Domantas Sabonis,SAC,26,F-C,14,14,48.8,74.0,124.0,59.7,64.7,-5.0
Kristaps Porzingis,WAS,27,F-C,15,14,45.7,64.0,123.0,52.0,62.1,-10.0
Brook Lopez,MIL,34,C,15,15,33.1,58.0,116.0,50.0,61.5,-11.5
Kelly Olynyk,UTA,31,F-C,16,16,46.9,71.0,114.0,62.3,63.8,-1.5
Nikola Vucevic,CHI,32,C,16,16,43.3,74.0,113.0,65.5,60.9,4.5
Nikola Jokic,DEN,27,C,13,13,42.9,71.0,109.0,65.1,64.7,0.4
Aleksej Pokusevski,OKC,20,F,14,14,55.1,62.0,108.0,57.4,64.9,-7.5
Evan Mobley,CLE,21,C,15,15,40.8,60.0,107.0,56.1,63.7,-7.6
Santi Aldama,MEM,21,F-C,16,16,41.1,59.0,101.0,58.4,63.6,-5.2
Tre Jones,SAS,22,G,15,15,45.9,58.0,100.0,58.0,61.2,-3.2
Ivica Zubac,LAC,25,C,16,15,35.2,41.0,99.0,41.4,63.6,-22.1
Jabari Smith Jr.,HOU,19,F,15,15,45.3,57.0,97.0,58.8,62.1,-3.3
Clint Capela,ATL,28,C,15,15,36.7,51.0,97.0,52.6,63.2,-10.6
Paul George,LAC,32,F,15,15,41.2,50.0,96.0,52.1,60.2,-8.1
Scottie Barnes,TOR,21,F,15,15,43.8,57.0,96.0,59.4,61.4,-2.0
Royce O'Neale,BKN,29,F,16,16,38.8,60.0,95.0,63.2,62.5,0.7
Alperen Sengun,HOU,20,C,14,14,48.0,58.0,95.0,61.1,64.2,-3.1
Steven Adams,MEM,29,C,15,15,49.2,58.0,95.0,61.1,63.0,-1.9
Josh Hart,POR,27,G,15,15,41.8,57.0,94.0,60.6,65.3,-4.7
Jusuf Nurkic,POR,28,C,12,12,47.7,61.0,94.0,64.9,63.7,1.2
Mason Plumlee,CHA,32,F-C,16,16,42.7,66.0,93.0,71.0,67.2,3.8
Jordan Clarkson,UTA,30,G,16,16,52.5,55.0,93.0,59.1,59.9,-0.7
Isaiah Stewart,DET,21,F-C,15,15,39.7,60.0,92.0,65.2,65.3,-0.1
Nic Claxton,BKN,23,C,16,16,41.4,52.0,92.0,56.5,61.9,-5.4
Kevin Porter Jr.,HOU,22,G-F,15,15,39.6,58.0,91.0,63.7,62.8,0.9
Josh Giddey,OKC,20,G,13,13,49.5,51.0,90.0,56.7,63.0,-6.3
Anthony Davis,LAL,29,F-C,13,13,39.7,54.0,89.0,60.7,64.8,-4.1
John Collins,ATL,25,F-C,15,15,39.0,50.0,85.0,58.8,62.5,-3.6
Dejounte Murray,ATL,26,G,15,15,44.7,47.0,84.0,56.0,59.9,-4.0
Isaiah Hartenstein,NYK,24,C-F,16,16,38.1,50.0,83.0,60.2,65.6,-5.4
Wendell Carter Jr.,ORL,23,C-F,14,14,38.9,47.0,82.0,57.3,62.0,-4.7
John Konchar,MEM,26,G,15,15,43.1,44.0,81.0,54.3,60.6,-6.3
Luka Doncic,DAL,23,F-G,14,14,43.5,51.0,81.0,63.0,61.9,1.0
Kevin Durant,BKN,34,F,16,16,34.9,44.0,81.0,54.3,62.9,-8.6
Kevin Huerter,SAC,24,G-F,14,14,44.4,58.0,80.0,72.5,64.0,8.5
Julius Randle,NYK,27,F-C,16,16,36.4,51.0,79.0,64.6,65.4,-0.9
Paolo Banchero,ORL,20,F,11,11,47.3,39.0,79.0,49.4,61.4,-12.1
Keldon Johnson,SAS,23,F-G,14,14,49.7,50.0,78.0,64.1,62.2,1.9
Jaylen Brown,BOS,26,G-F,15,15,39.6,41.0,78.0,52.6,62.3,-9.7
Rudy Gobert,MIN,30,C,12,12,38.0,44.0,78.0,56.4,63.1,-6.6
Jaden McDaniels,MIN,22,F,14,14,39.5,39.0,77.0,50.6,61.1,-10.5
Kyle Lowry,MIA,36,G,16,16,37.6,44.0,77.0,57.1,64.0,-6.9
Karl-Anthony Towns,MIN,27,C-F,14,14,39.7,44.0,77.0,57.1,62.1,-5.0
Joel Embiid,PHI,28,C-F,11,11,35.0,53.0,77.0,68.8,62.4,6.4
Shai Gilgeous-Alexander,OKC,24,G,15,15,37.9,48.0,77.0,62.3,61.7,0.7
Mike Conley,UTA,35,G,15,15,41.2,48.0,77.0,62.3,60.1,2.2
Jayson Tatum,BOS,24,F-G,16,16,36.7,42.0,77.0,54.5,61.8,-7.3
Myles Turner,IND,26,C-F,9,9,51.0,45.0,76.0,59.2,64.6,-5.4
