,Position,Player,Team,GP,% Time,Poss,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score,year,playtype,And One Freq%,Percentile,FTFreq%,TOVFreq%,SFFreq%,And OneFreq%,ScoreFreq%
15311,,Kyrie Irving,CLE,18,31.7,141,155,1.1,,59,123,48.0,56.5,7.1,7.8,5.7,47.5,2017,iso,2.1,75.0,,,,,
15312,,LeBron James,CLE,18,23.3,122,143,1.17,,52,101,51.5,59.4,6.6,13.9,12.3,52.5,2017,iso,3.3,80.6,,,,,
15313,,James Harden,HOU,11,23.7,77,81,1.05,,28,61,45.9,56.6,10.4,13.0,13.0,44.2,2017,iso,2.6,69.4,,,,,
15314,,DeMar DeRozan,TOR,10,25.1,59,78,1.32,,31,48,64.6,64.6,6.8,16.9,16.9,64.4,2017,iso,5.1,97.2,,,,,
15315,,John Wall,WAS,13,17.7,66,69,1.04,,26,53,49.1,50.0,9.1,18.2,16.7,50.0,2017,iso,7.6,66.7,,,,,
15316,,Kevin Durant,GSW,15,10.6,37,43,1.16,,16,33,48.5,54.5,2.7,10.8,10.8,51.4,2017,iso,2.7,77.8,,,,,
15317,,Stephen Curry,GSW,17,8.2,34,42,1.24,,15,28,53.6,64.3,8.8,8.8,5.9,52.9,2017,iso,0.0,86.1,,,,,
15318,,Russell Westbrook,OKC,5,26.8,57,42,0.74,,16,47,34.0,35.1,7.0,10.5,10.5,38.6,2017,iso,0.0,25.0,,,,,
15319,,Kawhi Leonard,SAS,12,21.0,57,39,0.68,,11,44,25.0,25.0,7.0,15.8,15.8,35.1,2017,iso,0.0,16.7,,,,,
15320,,Gordon Hayward,UTA,11,13.4,32,31,0.97,,10,26,38.5,40.4,6.3,18.8,18.8,43.8,2017,iso,6.3,58.3,,,,,
15321,,Isaiah Thomas,BOS,15,9.6,34,28,0.82,,10,30,33.3,36.7,2.9,11.8,11.8,38.2,2017,iso,2.9,34.3,,,,,
15322,,Bradley Beal,WAS,13,10.3,32,27,0.84,,12,28,42.9,42.9,6.3,6.3,6.3,43.8,2017,iso,0.0,38.9,,,,,
15323,,Dennis Schroder,ATL,6,14.7,20,26,1.3,,9,14,64.3,67.9,5.0,30.0,20.0,70.0,2017,iso,5.0,94.3,,,,,
