PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%,year
Draymond Green,GSW,28,F,21,21,100,153,380,40.3,47.6,-7.4,2018
Al Horford,BOS,32,F-C,19,19,100,137,314,43.6,48.4,-4.8,2018
Kevin Love,CLE,29,C-F,21,21,100,135,291,46.4,48.1,-1.7,2018
Kevin Durant,GSW,29,F,21,21,100,117,285,41.1,46.6,-5.5,2018
Clint Capela,HOU,24,C,17,17,100,114,269,42.4,48.3,-5.9,2018
LeBron James,CLE,33,F-G,22,22,100,119,268,44.4,46.6,-2.2,2018
Rudy Gobert,UTA,26,C,11,11,100,113,252,44.8,48.4,-3.5,2018
James Harden,HOU,28,G,17,17,100,116,250,46.4,48.0,-1.6,2018
Aron Baynes,BOS,31,C,19,19,100,117,248,47.2,48.9,-1.7,2018
Terry Rozier,BOS,24,G,19,19,100,117,232,50.4,47.1,3.3,2018
JR Smith,CLE,32,G-F,22,22,100,107,224,47.8,47.3,0.4,2018
Klay Thompson,GSW,28,G,21,21,100,96,218,44.0,46.2,-2.2,2018
Kevon Looney,GSW,22,F,20,20,100,87,216,40.3,47.3,-7.0,2018
Stephen Curry,GSW,30,G,15,15,100,85,209,40.7,46.6,-5.9,2018
George Hill,CLE,32,G,19,19,100,106,201,52.7,45.5,7.2,2018
Jeff Green,CLE,31,F,22,22,100,93,201,46.3,46.6,-0.3,2018
Kyle Korver,CLE,37,G,22,22,100,87,199,43.7,46.2,-2.5,2018
P.J. Tucker,HOU,33,F,17,17,100,86,196,43.9,48.1,-4.2,2018
Marcus Morris Sr.,BOS,28,F,19,19,100,72,191,37.7,48.7,-11.0,2018
Chris Paul,HOU,33,G,15,15,100,93,184,50.5,47.5,3.0,2018
Anthony Davis,NOP,25,F-C,9,9,100,69,174,39.7,46.6,-6.9,2018
Jaylen Brown,BOS,21,G-F,18,18,100,74,168,44.0,47.3,-3.2,2018
Eric Gordon,HOU,29,G,17,17,100,70,168,41.7,47.5,-5.8,2018
Tristan Thompson,CLE,27,C-F,19,19,100,79,165,47.9,46.7,1.2,2018
Jonas Valanciunas,TOR,26,C,10,10,100,80,162,49.4,47.2,2.2,2018
Jayson Tatum,BOS,20,F,19,19,100,69,160,43.1,46.7,-3.5,2018
Dario Saric,PHI,24,F,10,10,100,81,156,51.9,45.9,6.0,2018
Larry Nance Jr.,CLE,25,F,20,20,100,76,153,49.7,47.0,2.6,2018
Nikola Mirotic,NOP,27,F,9,9,100,76,151,50.3,47.0,3.3,2018
Marcus Smart,BOS,24,G,15,15,100,75,151,49.7,46.8,2.9,2018
Trevor Ariza,HOU,33,F-G,17,17,100,76,141,53.9,48.6,5.3,2018
